,model,lnL,AIC,AICc,timing,tree.no,delta,w
226,SRC,194.8882101,-383.7764201,-383.6720723,SRC 118,21,17.541059,0.000104303285088646
227,OUS,191.6801558,-373.3603116,-373.0983029,OUS 53.297964181391,21,28.1148284,5.27512961719428e-07
228,OUMA,197.6043946,-383.2087891,-382.8403681,OUMA 50.5478699634104,21,18.3727632,6.88169966008556e-05
229,OUMV,202.0464795,-392.0929591,-391.724538,OUMV 50.571005962794,21,9.48859329999999,0.00584613307035847
230,OUMVA,196.9311363,-379.8622727,-379.3688806,OUMVA 52.6600934528614,21,21.8442507,1.21303067120217e-05
231,fit_env,192.547136069152,-379.094272138304,-378.990376034408,NA,21,22.222755265592,1.00387712894968e-05
232,EB,208.4771276,-408.9542552,-408.7803422,EB21,22,28.9417777,5.19244328862462e-07
233,delta,222.9480165,-437.8960329,-437.7221199,delta21,22,0,0.99999755396685
234,DensDep,206.0846551,-408.1693102,-408.1175861,DensDep21,22,29.6045338,3.72783003726692e-07
235,TS,206.4995276,-406.9990551,-406.8947073,TS 1112,22,30.8274126,2.02260625477122e-07
236,TRC,208.3475399,-408.6950798,-408.5204073,TRC 61,22,29.2017126,4.55960913991744e-07
237,SRC,207.6666803,-409.3333606,-409.2290128,SRC 119,22,28.4931071,6.49829383109711e-07
238,OUS,206.3893783,-402.7787566,-402.5167479,OUS 40.4270747867249,22,35.205372,2.26594592325864e-08
239,OUMA,206.5333872,-401.0667744,-400.6983534,OUMA 52.191381809203,22,37.0237665,9.1283060519139e-09
240,OUMV,208.5356587,-405.0713173,-404.7028962,OUMV 51.9198345785632,22,33.0192237,6.76029445755567e-08
241,OUMVA,208.7900458,-403.5800917,-403.0866996,OUMVA 51.8714575875661,22,34.6354203,3.013096079377e-08
242,fit_env,205.947062537701,-405.894125075402,-405.790228971506,NA,22,31.931890928494,1.16433224295733e-07
243,EB,205.9942163,-403.9884326,-403.8145195,EB22,23,5.30845479999999,0.0651407513853093
244,delta,204.0091295,-400.0182591,-399.844346,delta22,23,9.27862830000004,0.00894830013064563
245,DensDep,179.5173699,-355.0347397,-354.9830156,DensDep22,23,54.1399587,1.62265585195441e-12
246,TS,186.6435002,-367.2870004,-367.1826526,TS 38,23,41.9403217,7.23342421199307e-10
247,TRC,208.6488234,-409.2976468,-409.1229743,TRC 82,23,0,0.925910645371527
248,SRC,192.6102586,-379.2205172,-379.1161694,SRC 102,23,30.0068049,2.8227614875115e-07
249,OUS,180.4320117,-350.8640234,-350.6020146,OUS 52.4558851209287,23,58.5209597,1.81511497832826e-13
250,OUMA,187.5123176,-363.0246351,-362.6562141,OUMA 50.3612284330661,23,46.4667602,7.52385303683363e-11
251,OUMV,193.087056,-374.1741121,-373.805691,OUMV 49.7559535419219,23,35.3172833,1.98389393981915e-08
252,OUMVA,188.4535516,-362.9071032,-362.4137111,OUMVA 52.22861812185,23,46.7092632,6.66471291152662e-11
253,fit_env,184.929979103439,-363.859958206878,-363.756062102982,NA,23,45.366912197018,1.30397499428711e-10
254,EB,205.1729064,-402.3458129,-402.1718998,EB23,24,5.59053360000001,0.0201182514938565
255,delta,206.5601445,-405.120289,-404.946376,delta23,24,2.81605740000003,0.0805489873276021
256,DensDep,205.0871841,-406.1743682,-406.1226441,DensDep23,24,1.63978930000002,0.145038552671149
257,TS,205.4075413,-404.8150827,-404.7107348,TS 4,24,3.05169860000001,0.0715964103240844
258,TRC,207.7078842,-407.4157685,-407.241096,TRC 9,24,0.521337399999993,0.253718538781409
259,SRC,206.9333906,-407.8667812,-407.7624334,SRC 103,24,0,0.329275319293578
