timing	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100
27.4 to 28.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.5 to 28.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.6 to 28.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.7 to 28.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.8 to 28.8	8	7	5	8	11	3	3	4	2	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10
27.9 to 28.9	8	7	5	8	11	3	3	4	2	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10
28 to 29	8	7	5	8	11	3	3	4	2	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10
28.1 to 29.1	8	7	5	8	11	3	3	4	2	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10
28.2 to 29.2	8	7	5	8	11	3	3	4	2	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10
28.3 to 29.3	8	7	5	8	11	3	3	4	2	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10
28.4 to 29.4	8	7	5	8	11	3	3	4	2	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10
28.5 to 29.5	8	7	5	8	11	3	3	4	2	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10
28.6 to 29.6	8	7	5	8	11	3	3	4	2	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10
28.7 to 29.7	8	7	5	8	11	3	3	4	2	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10	9	9	5	8	12	4	12	13	2	3	8	5	11	6	6	6	12	7	10
28.8 to 29.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.9 to 29.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29 to 30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.1 to 30.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.2 to 30.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.3 to 30.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.4 to 30.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.5 to 30.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.6 to 30.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.7 to 30.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.8 to 30.8	4	0	0	2	4	0	4	0	5	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3
29.9 to 30.9	4	0	0	2	4	0	4	0	5	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3
30 to 31	4	0	0	2	4	0	4	0	5	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3
30.1 to 31.1	4	0	0	2	4	0	4	0	5	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3
30.2 to 31.2	4	0	0	2	4	0	4	0	5	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3
30.3 to 31.3	4	0	0	2	4	0	4	0	5	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3
30.4 to 31.4	4	0	0	2	4	0	4	0	5	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3
30.5 to 31.5	4	0	0	2	4	0	4	0	5	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3
30.6 to 31.6	4	0	0	2	4	0	4	0	5	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3
30.7 to 31.7	4	0	0	2	4	0	4	0	5	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3	2	3	0	3	2	1	3	1	2	2	1	1	1	0	1	1	1	1	3
30.8 to 31.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30.9 to 31.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31 to 32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.1 to 32.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.2 to 32.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.3 to 32.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.4 to 32.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.5 to 32.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.6 to 32.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.7 to 32.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.8 to 32.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.9 to 32.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32 to 33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.1 to 33.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.2 to 33.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.3 to 33.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.4 to 33.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.5 to 33.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.6 to 33.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.7 to 33.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.8 to 33.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.9 to 33.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33 to 34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.1 to 34.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.2 to 34.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.3 to 34.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.4 to 34.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.5 to 34.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.6 to 34.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.7 to 34.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.8 to 34.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
