timing	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100
18 to 19	2	3	0	0	59	1	4	0	5	0	0	4	12	49	8	0	1	0	3	1	16	0	1	1	2	1	44	37	27	6	0	24	0	0	0	0	0	39	1	0	0	23	0	1	0	0	0	2	0	0	36	1	0	0	11	5	9	0	0	24	14	0	0	1	49	34	10	1	3	3	6	0	2	0	0	29	50	19	2	1	0	0	0	0	6	1	0	39	1	0	0	23	0	1	0	0	0	2	0	0
18.1 to 19.1	2	3	0	0	59	1	4	0	5	0	0	4	12	49	8	0	1	0	3	1	16	0	1	1	2	1	44	37	27	6	0	24	0	0	0	0	0	39	1	0	0	23	0	1	0	0	0	2	0	0	36	1	0	0	11	5	9	0	0	24	14	0	0	1	49	34	10	1	3	3	6	0	2	0	0	29	50	19	2	1	0	0	0	0	6	1	0	39	1	0	0	23	0	1	0	0	0	2	0	0
18.2 to 19.2	2	3	0	0	59	1	4	0	5	0	0	4	12	49	8	0	1	0	3	1	16	0	1	1	2	1	44	37	27	6	0	24	0	0	0	0	0	39	1	0	0	23	0	1	0	0	0	2	0	0	36	1	0	0	11	5	9	0	0	24	14	0	0	1	49	34	10	1	3	3	6	0	2	0	0	29	50	19	2	1	0	0	0	0	6	1	0	39	1	0	0	23	0	1	0	0	0	2	0	0
18.3 to 19.3	7	4	1	0	59	1	4	3	5	0	1	19	12	55	8	0	2	0	3	1	16	0	11	1	2	3	44	37	60	8	0	26	0	16	0	7	0	39	2	0	1	23	0	1	0	1	21	2	0	0	36	1	8	7	11	5	17	2	0	42	35	0	31	2	50	34	12	1	10	3	6	2	4	0	11	29	52	19	2	1	0	18	0	0	6	1	0	39	2	0	1	23	0	1	0	1	21	2	0	0
18.4 to 19.4	34	33	1	0	60	1	5	18	5	2	1	19	13	57	38	1	2	11	3	11	16	0	12	11	2	3	47	50	64	10	1	28	37	16	0	7	0	43	2	0	1	29	0	2	0	1	21	40	0	31	36	1	8	7	12	5	17	2	0	44	64	2	31	2	56	35	14	1	10	7	6	2	6	0	37	32	52	39	12	1	0	18	0	0	7	1	0	43	2	0	1	29	0	2	0	1	21	40	0	31
18.5 to 19.5	34	33	1	0	60	1	5	18	5	2	1	19	13	57	38	1	2	11	3	11	16	0	12	11	2	3	47	50	64	10	1	28	37	16	0	7	0	43	2	0	1	29	0	2	0	1	21	40	0	31	36	1	8	7	12	5	17	2	0	44	64	2	31	2	56	35	14	1	10	7	6	2	6	0	37	32	52	39	12	1	0	18	0	0	7	1	0	43	2	0	1	29	0	2	0	1	21	40	0	31
18.6 to 19.6	33	32	1	0	38	1	5	18	3	2	1	17	1	56	38	1	1	11	0	10	16	0	11	10	0	2	42	13	37	10	1	13	37	16	0	7	0	43	1	0	1	28	0	1	0	1	21	40	0	31	0	0	8	7	11	1	8	2	0	20	51	2	31	2	55	35	14	0	8	5	0	2	6	0	37	3	45	20	11	0	0	18	0	0	1	1	0	43	1	0	1	28	0	1	0	1	21	40	0	31
18.7 to 19.7	32	30	1	0	1	0	1	18	0	2	1	15	1	8	30	1	1	11	0	10	0	0	11	10	0	2	3	13	37	4	1	4	37	16	0	7	0	4	1	0	1	6	0	1	0	1	21	38	0	31	0	0	8	7	1	0	8	2	0	20	50	2	31	1	7	1	4	0	7	4	0	2	4	0	37	3	2	20	10	0	0	18	0	0	1	0	0	4	1	0	1	6	0	1	0	1	21	38	0	31
18.8 to 19.8	32	30	1	0	1	0	1	18	0	2	1	15	1	8	30	1	1	11	0	10	0	0	11	10	0	2	3	13	37	4	1	4	37	16	0	7	0	4	1	0	1	6	0	1	0	1	21	38	0	31	0	0	8	7	1	0	8	2	0	20	50	2	31	1	7	1	4	0	7	4	0	2	4	0	37	3	2	20	10	0	0	18	0	0	1	0	0	4	1	0	1	6	0	1	0	1	21	38	0	31
18.9 to 19.9	32	30	1	0	1	0	1	18	0	2	1	15	1	8	30	1	1	11	0	10	0	0	11	10	0	2	3	13	37	4	1	4	37	16	0	7	0	4	1	0	1	6	0	1	0	1	21	38	0	31	0	0	8	7	1	0	8	2	0	20	50	2	31	1	7	1	4	0	7	4	0	2	4	0	37	3	2	20	10	0	0	18	0	0	1	0	0	4	1	0	1	6	0	1	0	1	21	38	0	31
19 to 20	45	39	1	24	1	2	1	18	0	2	1	15	1	8	60	2	1	11	1	10	1	0	40	10	0	6	7	13	37	6	3	11	38	16	1	34	0	4	1	1	4	6	6	1	0	5	21	38	0	31	1	0	8	10	2	2	9	2	0	20	50	3	31	2	7	2	7	0	7	4	1	2	8	0	37	4	3	22	11	0	2	20	1	1	5	0	0	4	1	1	4	6	6	1	0	5	21	38	0	31
19.1 to 20.1	45	39	1	24	1	2	1	18	0	2	1	15	1	8	60	2	1	11	1	10	1	0	40	10	0	6	7	13	37	6	3	11	38	16	1	34	0	4	1	1	4	6	6	1	0	5	21	38	0	31	1	0	8	10	2	2	9	2	0	20	50	3	31	2	7	2	7	0	7	4	1	2	8	0	37	4	3	22	11	0	2	20	1	1	5	0	0	4	1	1	4	6	6	1	0	5	21	38	0	31
19.2 to 20.2	45	39	1	24	1	2	1	18	0	2	1	15	1	8	60	2	1	11	1	10	1	0	40	10	0	6	7	13	37	6	3	11	38	16	1	34	0	4	1	1	4	6	6	1	0	5	21	38	0	31	1	0	8	10	2	2	9	2	0	20	50	3	31	2	7	2	7	0	7	4	1	2	8	0	37	4	3	22	11	0	2	20	1	1	5	0	0	4	1	1	4	6	6	1	0	5	21	38	0	31
19.3 to 20.3	40	38	0	24	1	2	1	15	0	2	0	0	1	2	60	2	0	11	1	10	1	0	30	10	0	4	7	13	4	4	3	9	38	0	1	27	0	4	0	1	3	6	6	1	0	4	0	38	0	31	1	0	0	3	2	2	1	0	0	2	29	3	0	1	6	2	5	0	0	4	1	0	6	0	26	4	1	22	11	0	2	2	1	1	5	0	0	4	0	1	3	6	6	1	0	4	0	38	0	31
19.4 to 20.4	13	9	0	24	0	2	0	0	0	0	0	0	0	0	30	1	0	0	1	0	1	0	29	0	0	4	4	0	0	2	2	7	1	0	1	27	0	0	0	1	3	0	6	0	0	4	0	0	0	0	1	0	0	3	1	2	1	0	0	0	0	1	0	1	0	1	3	0	0	0	1	0	4	0	0	1	1	2	1	0	2	2	1	1	4	0	0	0	0	1	3	0	6	0	0	4	0	0	0	0
19.5 to 20.5	13	9	0	24	0	2	0	0	0	0	0	0	0	0	30	1	0	0	1	0	1	0	29	0	0	4	4	0	0	2	2	7	1	0	1	27	0	0	0	1	3	0	6	0	0	4	0	0	0	0	1	0	0	3	1	2	1	0	0	0	0	1	0	1	0	1	3	0	0	0	1	0	4	0	0	1	1	2	1	0	2	2	1	1	4	0	0	0	0	1	3	0	6	0	0	4	0	0	0	0
19.6 to 20.6	13	9	0	24	0	2	0	0	0	0	0	0	0	0	30	1	0	0	1	0	1	0	29	0	0	4	4	0	0	2	2	7	1	0	1	27	0	0	0	1	3	0	6	0	0	4	0	0	0	0	1	0	0	3	1	2	1	0	0	0	0	1	0	1	0	1	3	0	0	0	1	0	4	0	0	1	1	2	1	0	2	2	1	1	4	0	0	0	0	1	3	0	6	0	0	4	0	0	0	0
19.7 to 20.7	13	9	0	24	0	2	0	0	0	0	0	0	0	0	30	1	0	0	1	0	1	0	29	0	0	4	4	0	0	2	2	7	1	0	1	27	0	0	0	1	3	0	6	0	0	4	0	0	0	0	1	0	0	3	1	2	1	0	0	0	0	1	0	1	0	1	3	0	0	0	1	0	4	0	0	1	1	2	1	0	2	2	1	1	4	0	0	0	0	1	3	0	6	0	0	4	0	0	0	0
19.8 to 20.8	13	9	0	24	0	2	0	0	0	0	0	0	0	0	30	1	0	0	1	0	1	0	29	0	0	4	4	0	0	2	2	7	1	0	1	27	0	0	0	1	3	0	6	0	0	4	0	0	0	0	1	0	0	3	1	2	1	0	0	0	0	1	0	1	0	1	3	0	0	0	1	0	4	0	0	1	1	2	1	0	2	2	1	1	4	0	0	0	0	1	3	0	6	0	0	4	0	0	0	0
19.9 to 20.9	13	9	0	24	0	2	0	0	0	0	0	0	0	0	30	1	0	0	1	0	1	0	29	0	0	4	4	0	0	2	2	7	1	0	1	27	0	0	0	1	3	0	6	0	0	4	0	0	0	0	1	0	0	3	1	2	1	0	0	0	0	1	0	1	0	1	3	0	0	0	1	0	4	0	0	1	1	2	1	0	2	2	1	1	4	0	0	0	0	1	3	0	6	0	0	4	0	0	0	0
20 to 21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.1 to 21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.2 to 21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.3 to 21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.4 to 21.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.5 to 21.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.6 to 21.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.7 to 21.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.8 to 21.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.9 to 21.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21 to 22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.1 to 22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.2 to 22.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.3 to 22.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.4 to 22.4	8	0	0	0	43	1	0	38	0	0	0	0	2	0	17	0	1	8	3	2	2	0	0	1	1	0	3	8	0	10	0	7	2	0	0	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31	34	0	0	1	0	6	3	37	4	15	1	0	3	4	1	1	3	32	5	7	22	2	15	0	3	33	30	8	2	3	1	0	0	2	8	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31
21.5 to 22.5	8	0	0	0	43	1	0	38	0	0	0	0	2	0	17	0	1	8	3	2	2	0	0	1	1	0	3	8	0	10	0	7	2	0	0	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31	34	0	0	1	0	6	3	37	4	15	1	0	3	4	1	1	3	32	5	7	22	2	15	0	3	33	30	8	2	3	1	0	0	2	8	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31
21.6 to 22.6	8	0	0	0	43	1	0	38	0	0	0	0	2	0	17	0	1	8	3	2	2	0	0	1	1	0	3	8	0	10	0	7	2	0	0	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31	34	0	0	1	0	6	3	37	4	15	1	0	3	4	1	1	3	32	5	7	22	2	15	0	3	33	30	8	2	3	1	0	0	2	8	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31
21.7 to 22.7	8	0	0	0	43	1	0	38	0	0	0	0	2	0	17	0	1	8	3	2	2	0	0	1	1	0	3	8	0	10	0	7	2	0	0	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31	34	0	0	1	0	6	3	37	4	15	1	0	3	4	1	1	3	32	5	7	22	2	15	0	3	33	30	8	2	3	1	0	0	2	8	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31
21.8 to 22.8	8	0	0	0	43	1	0	38	0	0	0	0	2	0	17	0	1	8	3	2	2	0	0	1	1	0	3	8	0	10	0	7	2	0	0	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31	34	0	0	1	0	6	3	37	4	15	1	0	3	4	1	1	3	32	5	7	22	2	15	0	3	33	30	8	2	3	1	0	0	2	8	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31
21.9 to 22.9	8	0	0	0	43	1	0	38	0	0	0	0	2	0	17	0	1	8	3	2	2	0	0	1	1	0	3	8	0	10	0	7	2	0	0	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31	34	0	0	1	0	6	3	37	4	15	1	0	3	4	1	1	3	32	5	7	22	2	15	0	3	33	30	8	2	3	1	0	0	2	8	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31
22 to 23	8	0	0	0	43	1	0	38	0	0	0	0	2	0	17	0	1	8	3	2	2	0	0	1	1	0	3	8	0	10	0	7	2	0	0	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31	34	0	0	1	0	6	3	37	4	15	1	0	3	4	1	1	3	32	5	7	22	2	15	0	3	33	30	8	2	3	1	0	0	2	8	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31
22.1 to 23.1	8	0	0	0	43	1	0	38	0	0	0	0	2	0	17	0	1	8	3	2	2	0	0	1	1	0	3	8	0	10	0	7	2	0	0	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31	34	0	0	1	0	6	3	37	4	15	1	0	3	4	1	1	3	32	5	7	22	2	15	0	3	33	30	8	2	3	1	0	0	2	8	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31
22.2 to 23.2	8	0	0	0	43	1	0	38	0	0	0	0	2	0	17	0	1	8	3	2	2	0	0	1	1	0	3	8	0	10	0	7	2	0	0	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31	34	0	0	1	0	6	3	37	4	15	1	0	3	4	1	1	3	32	5	7	22	2	15	0	3	33	30	8	2	3	1	0	0	2	8	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31
22.3 to 23.3	8	0	0	0	43	1	0	38	0	0	0	0	2	0	17	0	1	8	3	2	2	0	0	1	1	0	3	8	0	10	0	7	2	0	0	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31	34	0	0	1	0	6	3	37	4	15	1	0	3	4	1	1	3	32	5	7	22	2	15	0	3	33	30	8	2	3	1	0	0	2	8	2	9	0	0	0	2	7	1	41	0	1	0	1	0	31
22.4 to 23.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.5 to 23.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.6 to 23.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.7 to 23.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.8 to 23.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.9 to 23.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23 to 24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.1 to 24.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.2 to 24.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.3 to 24.3	2	0	0	1	1	0	3	3	1	0	3	4	0	0	0	0	1	1	35	0	0	0	0	0	3	1	1	3	0	0	1	0	0	0	0	2	0	0	1	1	2	3	2	2	0	0	0	32	0	0	0	0	2	17	1	0	1	0	1	13	0	0	2	0	0	0	0	0	1	6	0	1	3	0	4	0	0	1	1	0	0	5	0	1	0	0	0	0	1	1	2	3	2	2	0	0	0	32	0	0
23.4 to 24.4	2	0	0	1	1	0	3	3	1	0	3	4	0	0	0	0	1	1	35	0	0	0	0	0	3	1	1	3	0	0	1	0	0	0	0	2	0	0	1	1	2	3	2	2	0	0	0	32	0	0	0	0	2	17	1	0	1	0	1	13	0	0	2	0	0	0	0	0	1	6	0	1	3	0	4	0	0	1	1	0	0	5	0	1	0	0	0	0	1	1	2	3	2	2	0	0	0	32	0	0
23.5 to 24.5	2	0	0	1	1	0	3	3	1	0	3	4	0	0	0	0	1	1	35	0	0	0	0	0	3	1	1	3	0	0	1	0	0	0	0	2	0	0	1	1	2	3	2	2	0	0	0	32	0	0	0	0	2	17	1	0	1	0	1	13	0	0	2	0	0	0	0	0	1	6	0	1	3	0	4	0	0	1	1	0	0	5	0	1	0	0	0	0	1	1	2	3	2	2	0	0	0	32	0	0
23.6 to 24.6	2	0	0	1	1	0	3	3	1	0	3	4	0	0	0	0	1	1	35	0	0	0	0	0	3	1	1	3	0	0	1	0	0	0	0	2	0	0	1	1	2	3	2	2	0	0	0	32	0	0	0	0	2	17	1	0	1	0	1	13	0	0	2	0	0	0	0	0	1	6	0	1	3	0	4	0	0	1	1	0	0	5	0	1	0	0	0	0	1	1	2	3	2	2	0	0	0	32	0	0
23.7 to 24.7	2	0	0	1	1	0	3	3	1	0	3	4	0	0	0	0	1	1	35	0	0	0	0	0	3	1	1	3	0	0	1	0	0	0	0	2	0	0	1	1	2	3	2	2	0	0	0	32	0	0	0	0	2	17	1	0	1	0	1	13	0	0	2	0	0	0	0	0	1	6	0	1	3	0	4	0	0	1	1	0	0	5	0	1	0	0	0	0	1	1	2	3	2	2	0	0	0	32	0	0
23.8 to 24.8	2	0	0	1	1	0	3	3	1	0	3	4	0	0	0	0	1	1	35	0	0	0	0	0	3	1	1	3	0	0	1	0	0	0	0	2	0	0	1	1	2	3	2	2	0	0	0	32	0	0	0	0	2	17	1	0	1	0	1	13	0	0	2	0	0	0	0	0	1	6	0	1	3	0	4	0	0	1	1	0	0	5	0	1	0	0	0	0	1	1	2	3	2	2	0	0	0	32	0	0
23.9 to 24.9	15	0	0	1	3	19	3	3	1	0	28	4	4	3	0	0	1	7	35	0	0	0	0	0	3	1	2	16	1	7	2	4	0	0	18	3	0	0	1	1	2	3	2	5	0	0	0	32	0	6	1	0	3	17	1	0	1	0	8	17	1	0	2	0	0	1	3	0	1	6	0	2	3	0	5	6	0	2	2	0	0	5	0	1	0	0	0	0	1	1	2	3	2	5	0	0	0	32	0	6
24 to 25	15	0	0	1	3	19	3	3	1	0	28	4	4	3	0	0	1	7	35	0	0	0	0	0	3	1	2	16	1	7	2	4	0	0	18	3	0	0	1	1	2	3	2	5	0	0	0	32	0	6	1	0	3	17	1	0	1	0	8	17	1	0	2	0	0	1	3	0	1	6	0	2	3	0	5	6	0	2	2	0	0	5	0	1	0	0	0	0	1	1	2	3	2	5	0	0	0	32	0	6
24.1 to 25.1	15	0	0	1	3	19	3	3	1	0	28	4	4	3	0	0	1	7	35	0	0	0	0	0	3	1	2	16	1	7	2	4	0	0	18	3	0	0	1	1	2	3	2	5	0	0	0	32	0	6	1	0	3	17	1	0	1	0	8	17	1	0	2	0	0	1	3	0	1	6	0	2	3	0	5	6	0	2	2	0	0	5	0	1	0	0	0	0	1	1	2	3	2	5	0	0	0	32	0	6
24.2 to 25.2	15	0	0	1	3	19	3	3	1	0	28	4	4	3	0	0	1	7	35	0	0	0	0	0	3	1	2	16	1	7	2	4	0	0	18	3	0	0	1	1	2	3	2	5	0	0	0	32	0	6	1	0	3	17	1	0	1	0	8	17	1	0	2	0	0	1	3	0	1	6	0	2	3	0	5	6	0	2	2	0	0	5	0	1	0	0	0	0	1	1	2	3	2	5	0	0	0	32	0	6
24.3 to 25.3	13	0	0	0	2	19	0	0	0	0	25	0	4	3	0	0	0	6	0	0	0	0	0	0	0	0	1	13	1	7	1	4	0	0	18	1	0	0	0	0	0	0	0	3	0	0	0	0	0	6	1	0	1	0	0	0	0	0	7	4	1	0	0	0	0	1	3	0	0	0	0	1	0	0	1	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6
24.4 to 25.4	13	0	0	0	2	19	0	0	0	0	25	0	4	3	0	0	0	6	0	0	0	0	0	0	0	0	1	13	1	7	1	4	0	0	18	1	0	0	0	0	0	0	0	3	0	0	0	0	0	6	1	0	1	0	0	0	0	0	7	4	1	0	0	0	0	1	3	0	0	0	0	1	0	0	1	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6
