timing	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M100
22.3 to 23.3	25	8	8	21	16	14	26	13	30	12	3	17	23	38	9	14	23	14	21	15	12	25	8	8	21	16	14	26	13	30	12	3	17	23	38	9	14	23	14	21	15	12	25	8	8	21	16	14	26	13	30	12	3	17	23	38	9	14	23	14	21	15	12	25	8	8	21	16	14	26	13	30	12	3	17	23	38	9	14	23	14	21	15	12	25	8	8	21	16	14	26	13	30	12	3	17	23	38	9	14
22.4 to 23.4	25	8	8	21	16	14	26	13	30	12	3	17	23	38	9	14	23	14	21	15	12	25	8	8	21	16	14	26	13	30	12	3	17	23	38	9	14	23	14	21	15	12	25	8	8	21	16	14	26	13	30	12	3	17	23	38	9	14	23	14	21	15	12	25	8	8	21	16	14	26	13	30	12	3	17	23	38	9	14	23	14	21	15	12	25	8	8	21	16	14	26	13	30	12	3	17	23	38	9	14
22.5 to 23.5	25	8	8	21	16	14	26	13	30	12	3	17	23	38	9	14	23	14	21	15	12	25	8	8	21	16	14	26	13	30	12	3	17	23	38	9	14	23	14	21	15	12	25	8	8	21	16	14	26	13	30	12	3	17	23	38	9	14	23	14	21	15	12	25	8	8	21	16	14	26	13	30	12	3	17	23	38	9	14	23	14	21	15	12	25	8	8	21	16	14	26	13	30	12	3	17	23	38	9	14
22.6 to 23.6	35	35	14	28	27	16	44	29	32	19	8	35	41	42	27	25	36	16	28	33	12	35	35	14	28	27	16	44	29	32	19	8	35	41	42	27	25	36	16	28	33	12	35	35	14	28	27	16	44	29	32	19	8	35	41	42	27	25	36	16	28	33	12	35	35	14	28	27	16	44	29	32	19	8	35	41	42	27	25	36	16	28	33	12	35	35	14	28	27	16	44	29	32	19	8	35	41	42	27	25
22.7 to 23.7	35	35	14	28	27	16	44	29	32	19	8	35	41	42	27	25	36	16	28	33	12	35	35	14	28	27	16	44	29	32	19	8	35	41	42	27	25	36	16	28	33	12	35	35	14	28	27	16	44	29	32	19	8	35	41	42	27	25	36	16	28	33	12	35	35	14	28	27	16	44	29	32	19	8	35	41	42	27	25	36	16	28	33	12	35	35	14	28	27	16	44	29	32	19	8	35	41	42	27	25
22.8 to 23.8	35	35	14	28	27	16	44	29	32	19	8	35	41	42	27	25	36	16	28	33	12	35	35	14	28	27	16	44	29	32	19	8	35	41	42	27	25	36	16	28	33	12	35	35	14	28	27	16	44	29	32	19	8	35	41	42	27	25	36	16	28	33	12	35	35	14	28	27	16	44	29	32	19	8	35	41	42	27	25	36	16	28	33	12	35	35	14	28	27	16	44	29	32	19	8	35	41	42	27	25
22.9 to 23.9	38	41	18	31	36	23	51	34	38	29	20	36	44	44	29	28	45	19	31	42	12	38	41	18	31	36	23	51	34	38	29	20	36	44	44	29	28	45	19	31	42	12	38	41	18	31	36	23	51	34	38	29	20	36	44	44	29	28	45	19	31	42	12	38	41	18	31	36	23	51	34	38	29	20	36	44	44	29	28	45	19	31	42	12	38	41	18	31	36	23	51	34	38	29	20	36	44	44	29	28
23 to 24	38	41	18	31	36	23	51	34	38	29	20	36	44	44	29	28	45	19	31	42	12	38	41	18	31	36	23	51	34	38	29	20	36	44	44	29	28	45	19	31	42	12	38	41	18	31	36	23	51	34	38	29	20	36	44	44	29	28	45	19	31	42	12	38	41	18	31	36	23	51	34	38	29	20	36	44	44	29	28	45	19	31	42	12	38	41	18	31	36	23	51	34	38	29	20	36	44	44	29	28
23.1 to 24.1	38	41	18	31	36	23	51	34	38	29	20	36	44	44	29	28	45	19	31	42	12	38	41	18	31	36	23	51	34	38	29	20	36	44	44	29	28	45	19	31	42	12	38	41	18	31	36	23	51	34	38	29	20	36	44	44	29	28	45	19	31	42	12	38	41	18	31	36	23	51	34	38	29	20	36	44	44	29	28	45	19	31	42	12	38	41	18	31	36	23	51	34	38	29	20	36	44	44	29	28
23.2 to 24.2	31	35	15	19	32	19	33	24	19	19	20	31	30	34	27	25	35	12	24	37	6	31	35	15	19	32	19	33	24	19	19	20	31	30	34	27	25	35	12	24	37	6	31	35	15	19	32	19	33	24	19	19	20	31	30	34	27	25	35	12	24	37	6	31	35	15	19	32	19	33	24	19	19	20	31	30	34	27	25	35	12	24	37	6	31	35	15	19	32	19	33	24	19	19	20	31	30	34	27	25
23.3 to 24.3	30	60	25	30	32	20	42	33	16	36	38	22	38	22	28	26	31	9	20	40	8	30	60	25	30	32	20	42	33	16	36	38	22	38	22	28	26	31	9	20	40	8	30	60	25	30	32	20	42	33	16	36	38	22	38	22	28	26	31	9	20	40	8	30	60	25	30	32	20	42	33	16	36	38	22	38	22	28	26	31	9	20	40	8	30	60	25	30	32	20	42	33	16	36	38	22	38	22	28	26
23.4 to 24.4	30	60	25	30	32	20	42	33	16	36	38	22	38	22	28	26	31	9	20	40	8	30	60	25	30	32	20	42	33	16	36	38	22	38	22	28	26	31	9	20	40	8	30	60	25	30	32	20	42	33	16	36	38	22	38	22	28	26	31	9	20	40	8	30	60	25	30	32	20	42	33	16	36	38	22	38	22	28	26	31	9	20	40	8	30	60	25	30	32	20	42	33	16	36	38	22	38	22	28	26
23.5 to 24.5	30	60	25	30	32	20	42	33	16	36	38	22	38	22	28	26	31	9	20	40	8	30	60	25	30	32	20	42	33	16	36	38	22	38	22	28	26	31	9	20	40	8	30	60	25	30	32	20	42	33	16	36	38	22	38	22	28	26	31	9	20	40	8	30	60	25	30	32	20	42	33	16	36	38	22	38	22	28	26	31	9	20	40	8	30	60	25	30	32	20	42	33	16	36	38	22	38	22	28	26
23.6 to 24.6	20	33	19	23	21	18	24	17	14	29	33	4	20	18	10	15	18	7	13	22	8	20	33	19	23	21	18	24	17	14	29	33	4	20	18	10	15	18	7	13	22	8	20	33	19	23	21	18	24	17	14	29	33	4	20	18	10	15	18	7	13	22	8	20	33	19	23	21	18	24	17	14	29	33	4	20	18	10	15	18	7	13	22	8	20	33	19	23	21	18	24	17	14	29	33	4	20	18	10	15
23.7 to 24.7	20	33	19	23	21	18	24	17	14	29	33	4	20	18	10	15	18	7	13	22	8	20	33	19	23	21	18	24	17	14	29	33	4	20	18	10	15	18	7	13	22	8	20	33	19	23	21	18	24	17	14	29	33	4	20	18	10	15	18	7	13	22	8	20	33	19	23	21	18	24	17	14	29	33	4	20	18	10	15	18	7	13	22	8	20	33	19	23	21	18	24	17	14	29	33	4	20	18	10	15
23.8 to 24.8	20	33	19	23	21	18	24	17	14	29	33	4	20	18	10	15	18	7	13	22	8	20	33	19	23	21	18	24	17	14	29	33	4	20	18	10	15	18	7	13	22	8	20	33	19	23	21	18	24	17	14	29	33	4	20	18	10	15	18	7	13	22	8	20	33	19	23	21	18	24	17	14	29	33	4	20	18	10	15	18	7	13	22	8	20	33	19	23	21	18	24	17	14	29	33	4	20	18	10	15
23.9 to 24.9	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12
24 to 25	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12
24.1 to 25.1	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12
24.2 to 25.2	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12	9	4	10	13	8	17	27	15	20	12	11	17	12	8	19	21	3	17	16	8	12
24.3 to 25.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.4 to 25.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.5 to 25.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.6 to 25.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.7 to 25.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.8 to 25.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.9 to 25.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25 to 26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.1 to 26.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.2 to 26.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.3 to 26.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.4 to 26.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.5 to 26.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.6 to 26.6	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11
25.7 to 26.7	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11
25.8 to 26.8	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11
25.9 to 26.9	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11
26 to 27	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11
26.1 to 27.1	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11
26.2 to 27.2	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11
26.3 to 27.3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11
26.4 to 27.4	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11
26.5 to 27.5	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11	5	5	20	4	3	3	15	12	9	0	7	2	3	12	6	5	10	8	6	2	11
26.6 to 27.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26.7 to 27.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26.8 to 27.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26.9 to 27.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27 to 28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.1 to 28.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.2 to 28.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.3 to 28.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.4 to 28.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.5 to 28.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.6 to 28.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.7 to 28.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.8 to 28.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.9 to 28.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28 to 29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.1 to 29.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.2 to 29.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.3 to 29.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.4 to 29.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.5 to 29.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.6 to 29.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.7 to 29.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
