timing	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M100
3.4 to 4.4	79	118	162	89	79	95	75	21	60	128	57	222	128	34	147	99	140	174	55	14	152	79	118	162	89	79	95	75	21	60	128	57	222	128	34	147	99	140	174	55	14	152	79	118	162	89	79	95	75	21	60	128	57	222	128	34	147	99	140	174	55	14	152	79	118	162	89	79	95	75	21	60	128	57	222	128	34	147	99	140	174	55	14	152	79	118	162	89	79	95	75	21	60	128	57	222	128	34	147	99
3.5 to 4.5	71	108	113	78	36	70	34	21	49	63	56	151	91	21	74	91	137	79	37	14	103	71	108	113	78	36	70	34	21	49	63	56	151	91	21	74	91	137	79	37	14	103	71	108	113	78	36	70	34	21	49	63	56	151	91	21	74	91	137	79	37	14	103	71	108	113	78	36	70	34	21	49	63	56	151	91	21	74	91	137	79	37	14	103	71	108	113	78	36	70	34	21	49	63	56	151	91	21	74	91
3.6 to 4.6	129	122	77	80	72	71	37	71	78	26	60	163	227	33	150	98	207	131	70	23	182	129	122	77	80	72	71	37	71	78	26	60	163	227	33	150	98	207	131	70	23	182	129	122	77	80	72	71	37	71	78	26	60	163	227	33	150	98	207	131	70	23	182	129	122	77	80	72	71	37	71	78	26	60	163	227	33	150	98	207	131	70	23	182	129	122	77	80	72	71	37	71	78	26	60	163	227	33	150	98
3.7 to 4.7	129	122	77	80	72	71	37	71	78	26	60	163	227	33	150	98	207	131	70	23	182	129	122	77	80	72	71	37	71	78	26	60	163	227	33	150	98	207	131	70	23	182	129	122	77	80	72	71	37	71	78	26	60	163	227	33	150	98	207	131	70	23	182	129	122	77	80	72	71	37	71	78	26	60	163	227	33	150	98	207	131	70	23	182	129	122	77	80	72	71	37	71	78	26	60	163	227	33	150	98
3.8 to 4.8	159	162	161	47	120	112	56	133	94	72	105	135	254	40	230	140	209	141	93	60	155	159	162	161	47	120	112	56	133	94	72	105	135	254	40	230	140	209	141	93	60	155	159	162	161	47	120	112	56	133	94	72	105	135	254	40	230	140	209	141	93	60	155	159	162	161	47	120	112	56	133	94	72	105	135	254	40	230	140	209	141	93	60	155	159	162	161	47	120	112	56	133	94	72	105	135	254	40	230	140
3.9 to 4.9	144	135	97	14	116	86	30	126	78	64	57	72	227	38	164	94	117	98	76	52	95	144	135	97	14	116	86	30	126	78	64	57	72	227	38	164	94	117	98	76	52	95	144	135	97	14	116	86	30	126	78	64	57	72	227	38	164	94	117	98	76	52	95	144	135	97	14	116	86	30	126	78	64	57	72	227	38	164	94	117	98	76	52	95	144	135	97	14	116	86	30	126	78	64	57	72	227	38	164	94
4 to 5	144	135	97	14	116	86	30	126	78	64	57	72	227	38	164	94	117	98	76	52	95	144	135	97	14	116	86	30	126	78	64	57	72	227	38	164	94	117	98	76	52	95	144	135	97	14	116	86	30	126	78	64	57	72	227	38	164	94	117	98	76	52	95	144	135	97	14	116	86	30	126	78	64	57	72	227	38	164	94	117	98	76	52	95	144	135	97	14	116	86	30	126	78	64	57	72	227	38	164	94
4.1 to 5.1	152	110	115	43	91	104	31	133	76	62	71	98	251	32	162	107	124	83	84	56	106	152	110	115	43	91	104	31	133	76	62	71	98	251	32	162	107	124	83	84	56	106	152	110	115	43	91	104	31	133	76	62	71	98	251	32	162	107	124	83	84	56	106	152	110	115	43	91	104	31	133	76	62	71	98	251	32	162	107	124	83	84	56	106	152	110	115	43	91	104	31	133	76	62	71	98	251	32	162	107
4.2 to 5.2	110	69	115	43	89	104	31	126	76	62	68	98	204	21	161	68	121	79	84	54	103	110	69	115	43	89	104	31	126	76	62	68	98	204	21	161	68	121	79	84	54	103	110	69	115	43	89	104	31	126	76	62	68	98	204	21	161	68	121	79	84	54	103	110	69	115	43	89	104	31	126	76	62	68	98	204	21	161	68	121	79	84	54	103	110	69	115	43	89	104	31	126	76	62	68	98	204	21	161	68
4.3 to 5.3	121	73	119	79	95	110	45	132	81	63	68	114	206	21	199	68	127	90	103	59	103	121	73	119	79	95	110	45	132	81	63	68	114	206	21	199	68	127	90	103	59	103	121	73	119	79	95	110	45	132	81	63	68	114	206	21	199	68	127	90	103	59	103	121	73	119	79	95	110	45	132	81	63	68	114	206	21	199	68	127	90	103	59	103	121	73	119	79	95	110	45	132	81	63	68	114	206	21	199	68
4.4 to 5.4	167	117	127	123	124	110	92	141	153	116	68	114	228	37	240	75	169	134	111	68	107	167	117	127	123	124	110	92	141	153	116	68	114	228	37	240	75	169	134	111	68	107	167	117	127	123	124	110	92	141	153	116	68	114	228	37	240	75	169	134	111	68	107	167	117	127	123	124	110	92	141	153	116	68	114	228	37	240	75	169	134	111	68	107	167	117	127	123	124	110	92	141	153	116	68	114	228	37	240	75
4.5 to 5.5	167	117	127	123	124	110	92	141	153	116	68	114	228	37	240	75	169	134	111	68	107	167	117	127	123	124	110	92	141	153	116	68	114	228	37	240	75	169	134	111	68	107	167	117	127	123	124	110	92	141	153	116	68	114	228	37	240	75	169	134	111	68	107	167	117	127	123	124	110	92	141	153	116	68	114	228	37	240	75	169	134	111	68	107	167	117	127	123	124	110	92	141	153	116	68	114	228	37	240	75
4.6 to 5.6	145	110	142	144	86	79	90	124	130	141	66	70	125	28	194	77	118	109	105	99	25	145	110	142	144	86	79	90	124	130	141	66	70	125	28	194	77	118	109	105	99	25	145	110	142	144	86	79	90	124	130	141	66	70	125	28	194	77	118	109	105	99	25	145	110	142	144	86	79	90	124	130	141	66	70	125	28	194	77	118	109	105	99	25	145	110	142	144	86	79	90	124	130	141	66	70	125	28	194	77
4.7 to 5.7	186	110	146	146	88	98	130	148	130	146	76	75	169	30	194	77	161	155	141	145	29	186	110	146	146	88	98	130	148	130	146	76	75	169	30	194	77	161	155	141	145	29	186	110	146	146	88	98	130	148	130	146	76	75	169	30	194	77	161	155	141	145	29	186	110	146	146	88	98	130	148	130	146	76	75	169	30	194	77	161	155	141	145	29	186	110	146	146	88	98	130	148	130	146	76	75	169	30	194	77
4.8 to 5.8	149	67	62	137	40	55	103	86	83	96	30	64	137	23	114	30	127	139	110	105	20	149	67	62	137	40	55	103	86	83	96	30	64	137	23	114	30	127	139	110	105	20	149	67	62	137	40	55	103	86	83	96	30	64	137	23	114	30	127	139	110	105	20	149	67	62	137	40	55	103	86	83	96	30	64	137	23	114	30	127	139	110	105	20	149	67	62	137	40	55	103	86	83	96	30	64	137	23	114	30
4.9 to 5.9	161	112	63	148	44	68	137	91	94	100	74	67	137	27	125	30	138	145	113	105	60	161	112	63	148	44	68	137	91	94	100	74	67	137	27	125	30	138	145	113	105	60	161	112	63	148	44	68	137	91	94	100	74	67	137	27	125	30	138	145	113	105	60	161	112	63	148	44	68	137	91	94	100	74	67	137	27	125	30	138	145	113	105	60	161	112	63	148	44	68	137	91	94	100	74	67	137	27	125	30
5 to 6	175	120	84	204	80	108	164	95	114	104	87	69	165	65	172	59	166	167	135	118	66	175	120	84	204	80	108	164	95	114	104	87	69	165	65	172	59	166	167	135	118	66	175	120	84	204	80	108	164	95	114	104	87	69	165	65	172	59	166	167	135	118	66	175	120	84	204	80	108	164	95	114	104	87	69	165	65	172	59	166	167	135	118	66	175	120	84	204	80	108	164	95	114	104	87	69	165	65	172	59
5.1 to 6.1	184	120	68	187	81	99	163	117	136	142	79	81	133	101	200	132	208	211	130	124	60	184	120	68	187	81	99	163	117	136	142	79	81	133	101	200	132	208	211	130	124	60	184	120	68	187	81	99	163	117	136	142	79	81	133	101	200	132	208	211	130	124	60	184	120	68	187	81	99	163	117	136	142	79	81	133	101	200	132	208	211	130	124	60	184	120	68	187	81	99	163	117	136	142	79	81	133	101	200	132
5.2 to 6.2	184	120	68	187	81	99	163	117	136	142	79	81	133	101	200	132	208	211	130	124	60	184	120	68	187	81	99	163	117	136	142	79	81	133	101	200	132	208	211	130	124	60	184	120	68	187	81	99	163	117	136	142	79	81	133	101	200	132	208	211	130	124	60	184	120	68	187	81	99	163	117	136	142	79	81	133	101	200	132	208	211	130	124	60	184	120	68	187	81	99	163	117	136	142	79	81	133	101	200	132
5.3 to 6.3	173	116	64	151	75	93	149	111	131	141	79	65	131	101	162	132	202	200	111	119	60	173	116	64	151	75	93	149	111	131	141	79	65	131	101	162	132	202	200	111	119	60	173	116	64	151	75	93	149	111	131	141	79	65	131	101	162	132	202	200	111	119	60	173	116	64	151	75	93	149	111	131	141	79	65	131	101	162	132	202	200	111	119	60	173	116	64	151	75	93	149	111	131	141	79	65	131	101	162	132
5.4 to 6.4	127	72	56	107	46	93	102	102	59	88	79	65	109	85	121	125	160	156	103	110	56	127	72	56	107	46	93	102	102	59	88	79	65	109	85	121	125	160	156	103	110	56	127	72	56	107	46	93	102	102	59	88	79	65	109	85	121	125	160	156	103	110	56	127	72	56	107	46	93	102	102	59	88	79	65	109	85	121	125	160	156	103	110	56	127	72	56	107	46	93	102	102	59	88	79	65	109	85	121	125
