timing	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72	P73	P74	P75	P76	P77	P78	P79	P80	P81	P82	P83	P84	P85	P86	P87	P88	P89	P90	P91	P92	P93	P94	P95	P96	P97	P98	P99	P100
28.3 to 29.3	13	0	0	0	5	0	0	2	0	5	2	3	0	0	0	6	0	7	0	0	0	6	4	7	0	1	0	0	0	0	0	3	0	0	0	5	4	0	0	1	0	0	0	6	4	0	3	0	1	0	0	3	0	1	0	0	1	0	6	5	0	0	1	0	4	0	0	0	2	0	0	5	1	17	0	3	4	8	1	0	1	3	0	0	11	7	0	0	0	0	7	6	2	6	2	0	2	2	1	7
28.4 to 29.4	13	0	0	0	5	0	0	2	0	5	2	3	0	0	0	6	0	7	0	0	0	6	4	7	0	1	0	0	0	0	0	3	0	0	0	5	4	0	0	1	0	0	0	6	4	0	3	0	1	0	0	3	0	1	0	0	1	0	6	5	0	0	1	0	4	0	0	0	2	0	0	5	1	17	0	3	4	8	1	0	1	3	0	0	11	7	0	0	0	0	7	6	2	6	2	0	2	2	1	7
28.5 to 29.5	13	0	0	0	5	0	0	2	0	5	2	3	0	0	0	6	0	7	0	0	0	6	4	7	0	1	0	0	0	0	0	3	0	0	0	5	4	0	0	1	0	0	0	6	4	0	3	0	1	0	0	3	0	1	0	0	1	0	6	5	0	0	1	0	4	0	0	0	2	0	0	5	1	17	0	3	4	8	1	0	1	3	0	0	11	7	0	0	0	0	7	6	2	6	2	0	2	2	1	7
28.6 to 29.6	13	0	0	0	5	0	0	2	0	5	2	3	0	0	0	6	0	7	0	0	0	6	4	7	0	1	0	0	0	0	0	3	0	0	0	5	4	0	0	1	0	0	0	6	4	0	3	0	1	0	0	3	0	1	0	0	1	0	6	5	0	0	1	0	4	0	0	0	2	0	0	5	1	17	0	3	4	8	1	0	1	3	0	0	11	7	0	0	0	0	7	6	2	6	2	0	2	2	1	7
28.7 to 29.7	13	0	0	0	5	0	0	2	0	5	2	3	0	0	0	6	0	7	0	0	0	6	4	7	0	1	0	0	0	0	0	3	0	0	0	5	4	0	0	1	0	0	0	6	4	0	3	0	1	0	0	3	0	1	0	0	1	0	6	5	0	0	1	0	4	0	0	0	2	0	0	5	1	17	0	3	4	8	1	0	1	3	0	0	11	7	0	0	0	0	7	6	2	6	2	0	2	2	1	7
28.8 to 29.8	13	0	0	0	5	0	0	2	0	5	2	3	0	0	0	6	0	7	0	0	0	6	4	7	0	1	0	0	0	0	0	3	0	0	0	5	4	0	0	1	0	0	0	6	4	0	3	0	1	0	0	3	0	1	0	0	1	0	6	5	0	0	1	0	4	0	0	0	2	0	0	5	1	17	0	3	4	8	1	0	1	3	0	0	11	7	0	0	0	0	7	6	2	6	2	0	2	2	1	7
28.9 to 29.9	13	0	0	0	5	0	0	2	0	5	2	3	0	0	0	6	0	7	0	0	0	6	4	7	0	1	0	0	0	0	0	3	0	0	0	5	4	0	0	1	0	0	0	6	4	0	3	0	1	0	0	3	0	1	0	0	1	0	6	5	0	0	1	0	4	0	0	0	2	0	0	5	1	17	0	3	4	8	1	0	1	3	0	0	11	7	0	0	0	0	7	6	2	6	2	0	2	2	1	7
29 to 30	13	0	0	0	5	0	0	2	0	5	2	3	0	0	0	6	0	7	0	0	0	6	4	7	0	1	0	0	0	0	0	3	0	0	0	5	4	0	0	1	0	0	0	6	4	0	3	0	1	0	0	3	0	1	0	0	1	0	6	5	0	0	1	0	4	0	0	0	2	0	0	5	1	17	0	3	4	8	1	0	1	3	0	0	11	7	0	0	0	0	7	6	2	6	2	0	2	2	1	7
29.1 to 30.1	13	0	0	0	5	0	0	2	0	5	2	3	0	0	0	6	0	7	0	0	0	6	4	7	0	1	0	0	0	0	0	3	0	0	0	5	4	0	0	1	0	0	0	6	4	0	3	0	1	0	0	3	0	1	0	0	1	0	6	5	0	0	1	0	4	0	0	0	2	0	0	5	1	17	0	3	4	8	1	0	1	3	0	0	11	7	0	0	0	0	7	6	2	6	2	0	2	2	1	7
29.2 to 30.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.3 to 30.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.4 to 30.4	0	1	2	0	1	4	0	2	2	5	5	1	0	4	1	0	0	0	0	3	4	13	0	10	0	0	1	4	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	3	4	0	0	6	4	0	0	0	4	10	0	0	1	4	0	0	1	2	0	2	2	1	8	1	0	2	4	0	0	0	0	4	0	0	3	0	0	0	0	1	1	0	0	1	1	4	0	2	7	0	0	6	7	1	2	1
29.5 to 30.5	0	1	2	0	1	4	0	2	2	5	5	1	0	4	1	0	0	0	0	3	4	13	0	10	0	0	1	4	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	3	4	0	0	6	4	0	0	0	4	10	0	0	1	4	0	0	1	2	0	2	2	1	8	1	0	2	4	0	0	0	0	4	0	0	3	0	0	0	0	1	1	0	0	1	1	4	0	2	7	0	0	6	7	1	2	1
29.6 to 30.6	0	1	2	0	1	4	0	2	2	5	5	1	0	4	1	0	0	0	0	3	4	13	0	10	0	0	1	4	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	3	4	0	0	6	4	0	0	0	4	10	0	0	1	4	0	0	1	2	0	2	2	1	8	1	0	2	4	0	0	0	0	4	0	0	3	0	0	0	0	1	1	0	0	1	1	4	0	2	7	0	0	6	7	1	2	1
29.7 to 30.7	0	1	2	0	1	4	0	2	2	5	5	1	0	4	1	0	0	0	0	3	4	13	0	10	0	0	1	4	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	3	4	0	0	6	4	0	0	0	4	10	0	0	1	4	0	0	1	2	0	2	2	1	8	1	0	2	4	0	0	0	0	4	0	0	3	0	0	0	0	1	1	0	0	1	1	4	0	2	7	0	0	6	7	1	2	1
29.8 to 30.8	1	1	3	10	2	17	11	3	8	5	9	1	4	7	14	2	0	0	16	3	4	13	6	20	0	13	1	4	0	2	0	0	12	0	14	4	1	17	4	3	2	0	1	5	5	1	1	7	5	9	3	7	12	10	0	0	1	12	1	1	5	2	1	2	2	1	12	2	2	2	12	10	3	7	2	6	0	8	8	1	7	0	2	1	1	11	0	8	4	4	3	6	7	1	0	6	7	1	2	1
29.9 to 30.9	1	1	3	10	2	17	11	3	8	5	9	1	4	7	14	2	0	0	16	3	4	13	6	20	0	13	1	4	0	2	0	0	12	0	14	4	1	17	4	3	2	0	1	5	5	1	1	7	5	9	3	7	12	10	0	0	1	12	1	1	5	2	1	2	2	1	12	2	2	2	12	10	3	7	2	6	0	8	8	1	7	0	2	1	1	11	0	8	4	4	3	6	7	1	0	6	7	1	2	1
30 to 31	1	1	3	10	2	17	11	3	8	5	9	1	4	7	14	2	0	0	16	3	4	13	6	20	0	13	1	4	0	2	0	0	12	0	14	4	1	17	4	3	2	0	1	5	5	1	1	7	5	9	3	7	12	10	0	0	1	12	1	1	5	2	1	2	2	1	12	2	2	2	12	10	3	7	2	6	0	8	8	1	7	0	2	1	1	11	0	8	4	4	3	6	7	1	0	6	7	1	2	1
30.1 to 31.1	1	1	3	10	2	17	11	3	8	5	9	1	4	7	14	2	0	0	16	3	4	13	6	20	0	13	1	4	0	2	0	0	12	0	14	4	1	17	4	3	2	0	1	5	5	1	1	7	5	9	3	7	12	10	0	0	1	12	1	1	5	2	1	2	2	1	12	2	2	2	12	10	3	7	2	6	0	8	8	1	7	0	2	1	1	11	0	8	4	4	3	6	7	1	0	6	7	1	2	1
30.2 to 31.2	1	1	3	10	2	17	11	3	8	5	9	1	4	7	14	2	0	0	16	3	4	13	6	20	0	13	1	4	0	2	0	0	12	0	14	4	1	17	4	3	2	0	1	5	5	1	1	7	5	9	3	7	12	10	0	0	1	12	1	1	5	2	1	2	2	1	12	2	2	2	12	10	3	7	2	6	0	8	8	1	7	0	2	1	1	11	0	8	4	4	3	6	7	1	0	6	7	1	2	1
30.3 to 31.3	1	1	3	10	2	17	11	3	8	5	9	1	4	7	14	2	0	0	16	3	4	13	6	20	0	13	1	4	0	2	0	0	12	0	14	4	1	17	4	3	2	0	1	5	5	1	1	7	5	9	3	7	12	10	0	0	1	12	1	1	5	2	1	2	2	1	12	2	2	2	12	10	3	7	2	6	0	8	8	1	7	0	2	1	1	11	0	8	4	4	3	6	7	1	0	6	7	1	2	1
30.4 to 31.4	1	0	1	10	1	13	11	1	6	0	4	0	4	3	13	2	0	0	16	0	0	0	6	10	0	13	0	0	0	0	0	0	12	0	14	3	0	17	4	3	2	0	1	2	1	1	1	1	1	9	3	7	8	0	0	0	0	8	1	1	4	0	1	0	0	0	4	1	2	0	8	10	3	7	2	2	0	8	5	1	7	0	2	0	0	11	0	7	3	0	3	4	0	1	0	0	0	0	0	0
30.5 to 31.5	1	0	1	10	1	13	11	1	6	0	4	0	4	3	13	2	0	0	16	0	0	0	6	10	0	13	0	0	0	0	0	0	12	0	14	3	0	17	4	3	2	0	1	2	1	1	1	1	1	9	3	7	8	0	0	0	0	8	1	1	4	0	1	0	0	0	4	1	2	0	8	10	3	7	2	2	0	8	5	1	7	0	2	0	0	11	0	7	3	0	3	4	0	1	0	0	0	0	0	0
30.6 to 31.6	1	0	1	10	1	13	11	1	6	0	4	0	4	3	13	2	0	0	16	0	0	0	6	10	0	13	0	0	0	0	0	0	12	0	14	3	0	17	4	3	2	0	1	2	1	1	1	1	1	9	3	7	8	0	0	0	0	8	1	1	4	0	1	0	0	0	4	1	2	0	8	10	3	7	2	2	0	8	5	1	7	0	2	0	0	11	0	7	3	0	3	4	0	1	0	0	0	0	0	0
30.7 to 31.7	1	0	1	10	1	13	11	1	6	0	4	0	4	3	13	2	0	0	16	0	0	0	6	10	0	13	0	0	0	0	0	0	12	0	14	3	0	17	4	3	2	0	1	2	1	1	1	1	1	9	3	7	8	0	0	0	0	8	1	1	4	0	1	0	0	0	4	1	2	0	8	10	3	7	2	2	0	8	5	1	7	0	2	0	0	11	0	7	3	0	3	4	0	1	0	0	0	0	0	0
30.8 to 31.8	4	14	6	14	2	4	10	0	8	24	14	4	1	11	23	19	6	15	2	7	32	1	8	6	2	8	1	5	13	3	4	2	7	24	1	6	1	3	20	8	3	2	26	3	24	0	7	10	0	14	0	8	6	5	10	0	10	0	13	3	3	1	20	1	5	17	3	5	1	1	36	8	2	6	7	33	14	14	25	7	0	0	37	16	4	10	8	10	0	2	22	3	31	25	23	3	6	2	0	20
30.9 to 31.9	4	14	6	14	2	4	10	0	8	24	14	4	1	11	23	19	6	15	2	7	32	1	8	6	2	8	1	5	13	3	4	2	7	24	1	6	1	3	20	8	3	2	26	3	24	0	7	10	0	14	0	8	6	5	10	0	10	0	13	3	3	1	20	1	5	17	3	5	1	1	36	8	2	6	7	33	14	14	25	7	0	0	37	16	4	10	8	10	0	2	22	3	31	25	23	3	6	2	0	20
31 to 32	4	14	6	14	2	4	10	0	8	24	14	4	1	11	23	19	6	15	2	7	32	1	8	6	2	8	1	5	13	3	4	2	7	24	1	6	1	3	20	8	3	2	26	3	24	0	7	10	0	14	0	8	6	5	10	0	10	0	13	3	3	1	20	1	5	17	3	5	1	1	36	8	2	6	7	33	14	14	25	7	0	0	37	16	4	10	8	10	0	2	22	3	31	25	23	3	6	2	0	20
31.1 to 32.1	4	14	6	14	2	4	10	0	8	24	14	4	1	11	23	19	6	15	2	7	32	1	8	6	2	8	1	5	13	3	4	2	7	24	1	6	1	3	20	8	3	2	26	3	24	0	7	10	0	14	0	8	6	5	10	0	10	0	13	3	3	1	20	1	5	17	3	5	1	1	36	8	2	6	7	33	14	14	25	7	0	0	37	16	4	10	8	10	0	2	22	3	31	25	23	3	6	2	0	20
31.2 to 32.2	4	14	6	14	2	4	10	0	8	24	14	4	1	11	23	19	6	15	2	7	32	1	8	6	2	8	1	5	13	3	4	2	7	24	1	6	1	3	20	8	3	2	26	3	24	0	7	10	0	14	0	8	6	5	10	0	10	0	13	3	3	1	20	1	5	17	3	5	1	1	36	8	2	6	7	33	14	14	25	7	0	0	37	16	4	10	8	10	0	2	22	3	31	25	23	3	6	2	0	20
31.3 to 32.3	4	14	6	14	2	4	10	0	8	24	14	4	1	11	23	19	6	15	2	7	32	1	8	6	2	8	1	5	13	3	4	2	7	24	1	6	1	3	20	8	3	2	26	3	24	0	7	10	0	14	0	8	6	5	10	0	10	0	13	3	3	1	20	1	5	17	3	5	1	1	36	8	2	6	7	33	14	14	25	7	0	0	37	16	4	10	8	10	0	2	22	3	31	25	23	3	6	2	0	20
31.4 to 32.4	4	14	6	14	2	4	10	0	8	24	14	4	1	11	23	19	6	15	2	7	32	1	8	6	2	8	1	5	13	3	4	2	7	24	1	6	1	3	20	8	3	2	26	3	24	0	7	10	0	14	0	8	6	5	10	0	10	0	13	3	3	1	20	1	5	17	3	5	1	1	36	8	2	6	7	33	14	14	25	7	0	0	37	16	4	10	8	10	0	2	22	3	31	25	23	3	6	2	0	20
31.5 to 32.5	4	14	6	14	2	4	10	0	8	24	14	4	1	11	23	19	6	15	2	7	32	1	8	6	2	8	1	5	13	3	4	2	7	24	1	6	1	3	20	8	3	2	26	3	24	0	7	10	0	14	0	8	6	5	10	0	10	0	13	3	3	1	20	1	5	17	3	5	1	1	36	8	2	6	7	33	14	14	25	7	0	0	37	16	4	10	8	10	0	2	22	3	31	25	23	3	6	2	0	20
31.6 to 32.6	4	14	6	14	2	4	10	0	8	24	14	4	1	11	23	19	6	15	2	7	32	1	8	6	2	8	1	5	13	3	4	2	7	24	1	6	1	3	20	8	3	2	26	3	24	0	7	10	0	14	0	8	6	5	10	0	10	0	13	3	3	1	20	1	5	17	3	5	1	1	36	8	2	6	7	33	14	14	25	7	0	0	37	16	4	10	8	10	0	2	22	3	31	25	23	3	6	2	0	20
31.7 to 32.7	4	14	6	14	2	4	10	0	8	24	14	4	1	11	23	19	6	15	2	7	32	1	8	6	2	8	1	5	13	3	4	2	7	24	1	6	1	3	20	8	3	2	26	3	24	0	7	10	0	14	0	8	6	5	10	0	10	0	13	3	3	1	20	1	5	17	3	5	1	1	36	8	2	6	7	33	14	14	25	7	0	0	37	16	4	10	8	10	0	2	22	3	31	25	23	3	6	2	0	20
31.8 to 32.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.9 to 32.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32 to 33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.1 to 33.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.2 to 33.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.3 to 33.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.4 to 33.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.5 to 33.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.6 to 33.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.7 to 33.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.8 to 33.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.9 to 33.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33 to 34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.1 to 34.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.2 to 34.2	0	13	2	5	7	3	19	2	8	1	2	0	0	2	0	7	0	0	0	3	0	1	2	0	0	0	0	5	0	0	0	0	2	8	0	0	0	0	0	1	0	0	0	0	3	0	0	1	5	0	2	1	5	11	5	0	1	13	1	0	5	1	0	0	8	1	1	1	0	4	1	0	0	0	0	0	0	0	2	0	0	0	3	1	19	1	0	0	0	0	0	0	4	8	0	0	6	0	1	0
33.3 to 34.3	0	13	2	5	7	3	19	2	8	1	2	0	0	2	0	7	0	0	0	3	0	1	2	0	0	0	0	5	0	0	0	0	2	8	0	0	0	0	0	1	0	0	0	0	3	0	0	1	5	0	2	1	5	11	5	0	1	13	1	0	5	1	0	0	8	1	1	1	0	4	1	0	0	0	0	0	0	0	2	0	0	0	3	1	19	1	0	0	0	0	0	0	4	8	0	0	6	0	1	0
33.4 to 34.4	1	22	3	5	8	3	19	2	8	1	2	0	1	2	2	7	0	0	2	3	0	3	3	3	1	1	0	5	0	1	4	3	4	8	0	1	0	6	2	5	0	7	0	0	4	0	0	1	5	2	3	5	7	12	5	0	1	13	2	2	5	1	0	6	9	1	1	3	0	4	3	8	7	1	0	7	1	1	4	0	0	1	4	2	19	2	1	1	0	0	11	0	4	10	4	6	9	0	1	0
33.5 to 34.5	1	22	3	5	8	3	19	2	8	1	2	0	1	2	2	7	0	0	2	3	0	3	3	3	1	1	0	5	0	1	4	3	4	8	0	1	0	6	2	5	0	7	0	0	4	0	0	1	5	2	3	5	7	12	5	0	1	13	2	2	5	1	0	6	9	1	1	3	0	4	3	8	7	1	0	7	1	1	4	0	0	1	4	2	19	2	1	1	0	0	11	0	4	10	4	6	9	0	1	0
33.6 to 34.6	1	22	3	5	8	3	19	2	8	1	2	0	1	2	2	7	0	0	2	3	0	3	3	3	1	1	0	5	0	1	4	3	4	8	0	1	0	6	2	5	0	7	0	0	4	0	0	1	5	2	3	5	7	12	5	0	1	13	2	2	5	1	0	6	9	1	1	3	0	4	3	8	7	1	0	7	1	1	4	0	0	1	4	2	19	2	1	1	0	0	11	0	4	10	4	6	9	0	1	0
33.7 to 34.7	1	22	16	6	8	3	21	3	12	1	9	2	1	4	5	16	0	0	2	7	9	27	6	4	31	2	0	11	0	2	5	3	16	23	0	1	1	6	7	9	0	9	0	0	8	0	0	2	13	2	5	5	7	20	6	12	1	16	6	5	6	12	11	6	19	1	11	3	1	5	14	8	7	1	0	9	1	1	4	0	0	1	7	20	46	3	1	10	15	0	16	0	10	16	17	7	14	0	5	0
33.8 to 34.8	1	22	16	6	8	3	21	3	12	1	9	2	1	4	5	16	0	0	2	7	9	27	6	4	31	2	0	11	0	2	5	3	16	23	0	1	1	6	7	9	0	9	0	0	8	0	0	2	13	2	5	5	7	20	6	12	1	16	6	5	6	12	11	6	19	1	11	3	1	5	14	8	7	1	0	9	1	1	4	0	0	1	7	20	46	3	1	10	15	0	16	0	10	16	17	7	14	0	5	0
33.9 to 34.9	1	22	16	6	8	3	21	3	12	1	9	2	1	4	5	16	0	0	2	7	9	27	6	4	31	2	0	11	0	2	5	3	16	23	0	1	1	6	7	9	0	9	0	0	8	0	0	2	13	2	5	5	7	20	6	12	1	16	6	5	6	12	11	6	19	1	11	3	1	5	14	8	7	1	0	9	1	1	4	0	0	1	7	20	46	3	1	10	15	0	16	0	10	16	17	7	14	0	5	0
34 to 35	1	22	16	6	8	3	21	3	12	1	9	2	1	4	5	16	0	0	2	7	9	27	6	4	31	2	0	11	0	2	5	3	16	23	0	1	1	6	7	9	0	9	0	0	8	0	0	2	13	2	5	5	7	20	6	12	1	16	6	5	6	12	11	6	19	1	11	3	1	5	14	8	7	1	0	9	1	1	4	0	0	1	7	20	46	3	1	10	15	0	16	0	10	16	17	7	14	0	5	0
34.1 to 35.1	1	22	16	6	8	3	21	3	12	1	9	2	1	4	5	16	0	0	2	7	9	27	6	4	31	2	0	11	0	2	5	3	16	23	0	1	1	6	7	9	0	9	0	0	8	0	0	2	13	2	5	5	7	20	6	12	1	16	6	5	6	12	11	6	19	1	11	3	1	5	14	8	7	1	0	9	1	1	4	0	0	1	7	20	46	3	1	10	15	0	16	0	10	16	17	7	14	0	5	0
34.2 to 35.2	1	9	14	1	1	0	2	1	4	0	7	2	1	2	5	9	0	0	2	4	9	26	4	4	31	2	0	6	0	2	5	3	14	15	0	1	1	6	7	8	0	9	0	0	5	0	0	1	8	2	3	4	2	9	1	12	0	3	5	5	1	11	11	6	11	0	10	2	1	1	13	8	7	1	0	9	1	1	2	0	0	1	4	19	27	2	1	10	15	0	16	0	6	8	17	7	8	0	4	0
34.3 to 35.3	1	9	14	1	1	0	2	1	4	0	7	2	1	2	5	9	0	0	2	4	9	26	4	4	31	2	0	6	0	2	5	3	14	15	0	1	1	6	7	8	0	9	0	0	5	0	0	1	8	2	3	4	2	9	1	12	0	3	5	5	1	11	11	6	11	0	10	2	1	1	13	8	7	1	0	9	1	1	2	0	0	1	4	19	27	2	1	10	15	0	16	0	6	8	17	7	8	0	4	0
34.4 to 35.4	10	3	14	1	7	0	12	6	4	0	10	3	0	2	8	9	0	0	1	4	10	24	4	4	39	2	0	6	7	2	1	1	13	16	0	4	1	2	7	8	6	11	2	1	7	0	4	2	9	3	2	4	6	25	6	12	0	14	17	3	1	11	12	11	21	0	11	13	8	1	15	7	2	15	2	4	2	3	2	0	0	0	3	18	27	16	0	18	15	0	13	0	6	16	17	1	22	0	4	0
34.5 to 35.5	10	3	14	1	7	0	12	6	4	0	10	3	0	2	8	9	0	0	1	4	10	24	4	4	39	2	0	6	7	2	1	1	13	16	0	4	1	2	7	8	6	11	2	1	7	0	4	2	9	3	2	4	6	25	6	12	0	14	17	3	1	11	12	11	21	0	11	13	8	1	15	7	2	15	2	4	2	3	2	0	0	0	3	18	27	16	0	18	15	0	13	0	6	16	17	1	22	0	4	0
34.6 to 35.6	10	3	14	1	7	0	12	6	4	0	10	3	0	2	8	9	0	0	1	4	10	24	4	4	39	2	0	6	7	2	1	1	13	16	0	4	1	2	7	8	6	11	2	1	7	0	4	2	9	3	2	4	6	25	6	12	0	14	17	3	1	11	12	11	21	0	11	13	8	1	15	7	2	15	2	4	2	3	2	0	0	0	3	18	27	16	0	18	15	0	13	0	6	16	17	1	22	0	4	0
34.7 to 35.7	10	3	1	0	7	0	10	5	0	0	3	1	0	0	5	0	0	0	1	0	1	0	1	3	9	1	0	0	7	1	0	1	1	1	0	4	0	2	2	4	6	9	2	1	3	0	4	1	1	3	0	4	6	17	5	0	0	11	13	0	0	0	1	11	11	0	1	13	7	0	4	7	2	15	2	2	2	3	2	0	0	0	0	0	0	15	0	9	0	0	8	0	0	10	4	0	17	0	0	0
