1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
3.5 to 4.5	157	192	194	165	202	205	248	248	213	226	206	129	139	261	173	156	98	141	201	238	149	157	192	194	165	202	205	248	248	213	226	206	129	139	261	173	156	98	141	201	238	149	157	192	194	165	202	205	248	248	213	226	206	129	139	261	173	156	98	141	201	238	149	157	192	194	165	202	205	248	248	213	226	206	129	139	261	173	156	98	141	201	238	149	157	192	194	165	202	205	248	248	213	226	206	129	139	261	173	156
3.6 to 4.6	140	290	332	307	249	328	328	285	245	356	299	190	114	367	178	196	101	162	293	320	184	140	290	332	307	249	328	328	285	245	356	299	190	114	367	178	196	101	162	293	320	184	140	290	332	307	249	328	328	285	245	356	299	190	114	367	178	196	101	162	293	320	184	140	290	332	307	249	328	328	285	245	356	299	190	114	367	178	196	101	162	293	320	184	140	290	332	307	249	328	328	285	245	356	299	190	114	367	178	196
3.7 to 4.7	140	290	332	307	249	328	328	285	245	356	299	190	114	367	178	196	101	162	293	320	184	140	290	332	307	249	328	328	285	245	356	299	190	114	367	178	196	101	162	293	320	184	140	290	332	307	249	328	328	285	245	356	299	190	114	367	178	196	101	162	293	320	184	140	290	332	307	249	328	328	285	245	356	299	190	114	367	178	196	101	162	293	320	184	140	290	332	307	249	328	328	285	245	356	299	190	114	367	178	196
3.8 to 4.8	175	297	288	389	236	339	374	244	292	365	286	272	149	403	132	209	154	185	342	344	272	175	297	288	389	236	339	374	244	292	365	286	272	149	403	132	209	154	185	342	344	272	175	297	288	389	236	339	374	244	292	365	286	272	149	403	132	209	154	185	342	344	272	175	297	288	389	236	339	374	244	292	365	286	272	149	403	132	209	154	185	342	344	272	175	297	288	389	236	339	374	244	292	365	286	272	149	403	132	209
3.9 to 4.9	103	186	239	329	145	255	297	142	209	239	206	234	86	257	104	164	153	152	249	262	244	103	186	239	329	145	255	297	142	209	239	206	234	86	257	104	164	153	152	249	262	244	103	186	239	329	145	255	297	142	209	239	206	234	86	257	104	164	153	152	249	262	244	103	186	239	329	145	255	297	142	209	239	206	234	86	257	104	164	153	152	249	262	244	103	186	239	329	145	255	297	142	209	239	206	234	86	257	104	164
4 to 5	103	186	239	329	145	255	297	142	209	239	206	234	86	257	104	164	153	152	249	262	244	103	186	239	329	145	255	297	142	209	239	206	234	86	257	104	164	153	152	249	262	244	103	186	239	329	145	255	297	142	209	239	206	234	86	257	104	164	153	152	249	262	244	103	186	239	329	145	255	297	142	209	239	206	234	86	257	104	164	153	152	249	262	244	103	186	239	329	145	255	297	142	209	239	206	234	86	257	104	164
4.1 to 5.1	101	218	203	303	182	235	293	123	227	250	188	203	88	277	125	149	152	175	250	244	224	101	218	203	303	182	235	293	123	227	250	188	203	88	277	125	149	152	175	250	244	224	101	218	203	303	182	235	293	123	227	250	188	203	88	277	125	149	152	175	250	244	224	101	218	203	303	182	235	293	123	227	250	188	203	88	277	125	149	152	175	250	244	224	101	218	203	303	182	235	293	123	227	250	188	203	88	277	125	149
4.2 to 5.2	101	218	153	253	150	185	243	100	177	200	157	153	88	263	83	149	111	142	200	198	184	101	218	153	253	150	185	243	100	177	200	157	153	88	263	83	149	111	142	200	198	184	101	218	153	253	150	185	243	100	177	200	157	153	88	263	83	149	111	142	200	198	184	101	218	153	253	150	185	243	100	177	200	157	153	88	263	83	149	111	142	200	198	184	101	218	153	253	150	185	243	100	177	200	157	153	88	263	83	149
4.3 to 5.3	133	256	183	253	159	208	255	129	200	223	207	167	132	311	83	199	142	155	217	214	234	133	256	183	253	159	208	255	129	200	223	207	167	132	311	83	199	142	155	217	214	234	133	256	183	253	159	208	255	129	200	223	207	167	132	311	83	199	142	155	217	214	234	133	256	183	253	159	208	255	129	200	223	207	167	132	311	83	199	142	155	217	214	234	133	256	183	253	159	208	255	129	200	223	207	167	132	311	83	199
4.4 to 5.4	150	297	266	275	199	308	262	202	200	251	299	267	167	377	128	279	192	184	289	277	312	150	297	266	275	199	308	262	202	200	251	299	267	167	377	128	279	192	184	289	277	312	150	297	266	275	199	308	262	202	200	251	299	267	167	377	128	279	192	184	289	277	312	150	297	266	275	199	308	262	202	200	251	299	267	167	377	128	279	192	184	289	277	312	150	297	266	275	199	308	262	202	200	251	299	267	167	377	128	279
