1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
2.9 to 3.9	146	137	194	153	114	165	129	229	150	151	219	148	177	116	199	175	196	211	224	161	184	110	201	205	157	178	132	172	151	219	148	177	116	199	175	196	211	224	161	184	110	201	205	157	178	132	172	151	219	148	177	116	199	175	196	211	224	161	184	110	201	205	157	178	132	172	151	219	148	177	116	199	175	196	211	224	161	184	110	201	205	157	178	132	172	151	219	148	177	116	199	175	196	211	224	161	184	110	201	205
3 to 4	146	135	250	193	164	165	134	212	149	158	221	166	186	135	219	198	212	190	254	182	190	131	210	191	167	186	159	195	158	221	166	186	135	219	198	212	190	254	182	190	131	210	191	167	186	159	195	158	221	166	186	135	219	198	212	190	254	182	190	131	210	191	167	186	159	195	158	221	166	186	135	219	198	212	190	254	182	190	131	210	191	167	186	159	195	158	221	166	186	135	219	198	212	190	254	182	190	131	210	191
3.1 to 4.1	171	135	248	224	198	208	184	205	211	211	255	179	183	161	253	237	252	220	315	217	232	180	208	249	210	212	182	201	211	255	179	183	161	253	237	252	220	315	217	232	180	208	249	210	212	182	201	211	255	179	183	161	253	237	252	220	315	217	232	180	208	249	210	212	182	201	211	255	179	183	161	253	237	252	220	315	217	232	180	208	249	210	212	182	201	211	255	179	183	161	253	237	252	220	315	217	232	180	208	249
3.2 to 4.2	181	171	261	233	200	216	216	203	214	236	258	213	191	179	288	255	285	228	340	240	251	177	235	250	201	231	186	200	236	258	213	191	179	288	255	285	228	340	240	251	177	235	250	201	231	186	200	236	258	213	191	179	288	255	285	228	340	240	251	177	235	250	201	231	186	200	236	258	213	191	179	288	255	285	228	340	240	251	177	235	250	201	231	186	200	236	258	213	191	179	288	255	285	228	340	240	251	177	235	250
3.3 to 4.3	214	208	305	259	217	220	243	238	264	280	293	253	234	213	316	283	314	247	364	258	280	208	264	254	250	253	194	209	280	293	253	234	213	316	283	314	247	364	258	280	208	264	254	250	253	194	209	280	293	253	234	213	316	283	314	247	364	258	280	208	264	254	250	253	194	209	280	293	253	234	213	316	283	314	247	364	258	280	208	264	254	250	253	194	209	280	293	253	234	213	316	283	314	247	364	258	280	208	264	254
3.4 to 4.4	192	181	305	246	203	185	243	216	264	252	275	253	200	213	290	254	277	226	331	224	246	208	228	215	215	253	178	209	252	275	253	200	213	290	254	277	226	331	224	246	208	228	215	215	253	178	209	252	275	253	200	213	290	254	277	226	331	224	246	208	228	215	215	253	178	209	252	275	253	200	213	290	254	277	226	331	224	246	208	228	215	215	253	178	209	252	275	253	200	213	290	254	277	226	331	224	246	208	228	215
3.5 to 4.5	152	135	230	233	178	150	216	170	246	253	227	228	156	166	251	220	259	170	269	204	164	178	207	187	205	242	153	167	253	227	228	156	166	251	220	259	170	269	204	164	178	207	187	205	242	153	167	253	227	228	156	166	251	220	259	170	269	204	164	178	207	187	205	242	153	167	253	227	228	156	166	251	220	259	170	269	204	164	178	207	187	205	242	153	167	253	227	228	156	166	251	220	259	170	269	204	164	178	207	187
3.6 to 4.6	163	159	224	233	195	154	220	221	245	256	246	239	172	193	259	271	259	176	290	216	185	203	230	201	224	258	173	176	256	246	239	172	193	259	271	259	176	290	216	185	203	230	201	224	258	173	176	256	246	239	172	193	259	271	259	176	290	216	185	203	230	201	224	258	173	176	256	246	239	172	193	259	271	259	176	290	216	185	203	230	201	224	258	173	176	256	246	239	172	193	259	271	259	176	290	216	185	203	230	201
3.7 to 4.7	206	173	181	220	207	160	224	261	258	210	224	219	168	198	263	264	264	188	263	211	212	228	207	191	236	226	180	172	210	224	219	168	198	263	264	264	188	263	211	212	228	207	191	236	226	180	172	210	224	219	168	198	263	264	264	188	263	211	212	228	207	191	236	226	180	172	210	224	219	168	198	263	264	264	188	263	211	212	228	207	191	236	226	180	172	210	224	219	168	198	263	264	264	188	263	211	212	228	207	191
3.8 to 4.8	197	161	169	220	207	151	194	230	248	185	221	190	150	180	248	264	245	174	238	211	187	199	207	178	228	216	153	143	185	221	190	150	180	248	264	245	174	238	211	187	199	207	178	228	216	153	143	185	221	190	150	180	248	264	245	174	238	211	187	199	207	178	228	216	153	143	185	221	190	150	180	248	264	245	174	238	211	187	199	207	178	228	216	153	143	185	221	190	150	180	248	264	245	174	238	211	187	199	207	178
3.9 to 4.9	215	199	145	256	220	174	193	209	273	188	208	225	158	188	248	292	258	171	194	180	191	215	223	168	231	245	158	169	188	208	225	158	188	248	292	258	171	194	180	191	215	223	168	231	245	158	169	188	208	225	158	188	248	292	258	171	194	180	191	215	223	168	231	245	158	169	188	208	225	158	188	248	292	258	171	194	180	191	215	223	168	231	245	158	169	188	208	225	158	188	248	292	258	171	194	180	191	215	223	168
4 to 5	215	190	91	218	177	158	179	198	264	189	189	211	164	175	221	293	232	162	173	146	188	195	197	151	201	232	131	125	189	189	211	164	175	221	293	232	162	173	146	188	195	197	151	201	232	131	125	189	189	211	164	175	221	293	232	162	173	146	188	195	197	151	201	232	131	125	189	189	211	164	175	221	293	232	162	173	146	188	195	197	151	201	232	131	125	189	189	211	164	175	221	293	232	162	173	146	188	195	197	151
4.1 to 5.1	175	193	113	177	124	127	137	171	220	153	150	181	160	155	194	255	205	129	132	123	161	149	190	99	178	190	111	115	153	150	181	160	155	194	255	205	129	132	123	161	149	190	99	178	190	111	115	153	150	181	160	155	194	255	205	129	132	123	161	149	190	99	178	190	111	115	153	150	181	160	155	194	255	205	129	132	123	161	149	190	99	178	190	111	115	153	150	181	160	155	194	255	205	129	132	123	161	149	190	99
4.2 to 5.2	165	157	92	137	107	116	105	163	188	119	142	147	136	128	155	232	172	102	107	95	136	137	160	78	164	160	102	108	119	142	147	136	128	155	232	172	102	107	95	136	137	160	78	164	160	102	108	119	142	147	136	128	155	232	172	102	107	95	136	137	160	78	164	160	102	108	119	142	147	136	128	155	232	172	102	107	95	136	137	160	78	164	160	102	108	119	142	147	136	128	155	232	172	102	107	95	136	137	160	78
4.3 to 5.3	132	120	48	111	90	112	78	128	138	75	107	107	93	94	127	204	143	83	83	77	107	106	131	74	115	138	94	99	75	107	107	93	94	127	204	143	83	83	77	107	106	131	74	115	138	94	99	75	107	107	93	94	127	204	143	83	83	77	107	106	131	74	115	138	94	99	75	107	107	93	94	127	204	143	83	83	77	107	106	131	74	115	138	94	99	75	107	107	93	94	127	204	143	83	83	77	107	106	131	74
4.4 to 5.4	132	120	48	111	90	112	78	128	138	75	107	107	93	94	127	204	143	83	83	77	107	106	131	74	115	138	94	99	75	107	107	93	94	127	204	143	83	83	77	107	106	131	74	115	138	94	99	75	107	107	93	94	127	204	143	83	83	77	107	106	131	74	115	138	94	99	75	107	107	93	94	127	204	143	83	83	77	107	106	131	74	115	138	94	99	75	107	107	93	94	127	204	143	83	83	77	107	106	131	74
4.5 to 5.5	170	141	74	128	126	156	92	124	194	106	122	119	103	115	166	234	163	120	111	102	128	130	161	90	123	149	110	123	106	122	119	103	115	166	234	163	120	111	102	128	130	161	90	123	149	110	123	106	122	119	103	115	166	234	163	120	111	102	128	130	161	90	123	149	110	123	106	122	119	103	115	166	234	163	120	111	102	128	130	161	90	123	149	110	123	106	122	119	103	115	166	234	163	120	111	102	128	130	161	90
4.6 to 5.6	166	145	80	158	125	179	109	96	245	112	110	135	101	112	158	188	189	140	142	85	146	111	159	75	121	171	101	138	112	110	135	101	112	158	188	189	140	142	85	146	111	159	75	121	171	101	138	112	110	135	101	112	158	188	189	140	142	85	146	111	159	75	121	171	101	138	112	110	135	101	112	158	188	189	140	142	85	146	111	159	75	121	171	101	138	112	110	135	101	112	158	188	189	140	142	85	146	111	159	75
4.7 to 5.7	116	116	76	115	113	149	88	47	199	109	77	115	89	91	125	152	149	108	128	61	94	70	143	72	85	142	79	107	109	77	115	89	91	125	152	149	108	128	61	94	70	143	72	85	142	79	107	109	77	115	89	91	125	152	149	108	128	61	94	70	143	72	85	142	79	107	109	77	115	89	91	125	152	149	108	128	61	94	70	143	72	85	142	79	107	109	77	115	89	91	125	152	149	108	128	61	94	70	143	72
4.8 to 5.8	127	125	89	139	136	167	92	67	219	117	87	125	97	100	142	166	154	108	146	92	99	79	154	91	86	148	99	112	117	87	125	97	100	142	166	154	108	146	92	99	79	154	91	86	148	99	112	117	87	125	97	100	142	166	154	108	146	92	99	79	154	91	86	148	99	112	117	87	125	97	100	142	166	154	108	146	92	99	79	154	91	86	148	99	112	117	87	125	97	100	142	166	154	108	146	92	99	79	154	91
4.9 to 5.9	92	70	81	103	104	131	76	65	174	89	75	81	70	74	89	101	105	75	137	82	89	55	114	77	68	106	60	70	89	75	81	70	74	89	101	105	75	137	82	89	55	114	77	68	106	60	70	89	75	81	70	74	89	101	105	75	137	82	89	55	114	77	68	106	60	70	89	75	81	70	74	89	101	105	75	137	82	89	55	114	77	68	106	60	70	89	75	81	70	74	89	101	105	75	137	82	89	55	114	77
5 to 6	92	61	79	101	97	111	59	65	157	81	66	77	55	60	81	77	101	75	118	82	86	54	107	70	68	94	60	60	81	66	77	55	60	81	77	101	75	118	82	86	54	107	70	68	94	60	60	81	66	77	55	60	81	77	101	75	118	82	86	54	107	70	68	94	60	60	81	66	77	55	60	81	77	101	75	118	82	86	54	107	70	68	94	60	60	81	66	77	55	60	81	77	101	75	118	82	86	54	107	70
5.1 to 6.1	78	58	50	89	93	89	51	59	139	64	56	72	43	54	74	54	82	67	98	70	68	45	86	64	42	86	49	56	64	56	72	43	54	74	54	82	67	98	70	68	45	86	64	42	86	49	56	64	56	72	43	54	74	54	82	67	98	70	68	45	86	64	42	86	49	56	64	56	72	43	54	74	54	82	67	98	70	68	45	86	64	42	86	49	56	64	56	72	43	54	74	54	82	67	98	70	68	45	86	64
5.2 to 6.2	78	63	72	106	112	93	68	67	139	69	74	83	67	77	88	74	106	70	106	77	68	47	101	88	42	89	57	56	69	74	83	67	77	88	74	106	70	106	77	68	47	101	88	42	89	57	56	69	74	83	67	77	88	74	106	70	106	77	68	47	101	88	42	89	57	56	69	74	83	67	77	88	74	106	70	106	77	68	47	101	88	42	89	57	56	69	74	83	67	77	88	74	106	70	106	77	68	47	101	88
5.3 to 6.3	78	68	72	107	124	100	86	83	158	76	87	83	75	86	99	86	113	70	116	77	70	48	111	100	48	107	62	67	76	87	83	75	86	99	86	113	70	116	77	70	48	111	100	48	107	62	67	76	87	83	75	86	99	86	113	70	116	77	70	48	111	100	48	107	62	67	76	87	83	75	86	99	86	113	70	116	77	70	48	111	100	48	107	62	67	76	87	83	75	86	99	86	113	70	116	77	70	48	111	100
5.4 to 6.4	78	68	72	107	124	100	86	83	158	76	87	83	75	86	99	86	113	70	116	77	70	48	111	100	48	107	62	67	76	87	83	75	86	99	86	113	70	116	77	70	48	111	100	48	107	62	67	76	87	83	75	86	99	86	113	70	116	77	70	48	111	100	48	107	62	67	76	87	83	75	86	99	86	113	70	116	77	70	48	111	100	48	107	62	67	76	87	83	75	86	99	86	113	70	116	77	70	48	111	100
5.5 to 6.5	20	47	43	80	75	56	60	70	91	36	57	56	54	65	42	51	62	29	88	38	46	18	57	64	36	72	44	40	36	57	56	54	65	42	51	62	29	88	38	46	18	57	64	36	72	44	40	36	57	56	54	65	42	51	62	29	88	38	46	18	57	64	36	72	44	40	36	57	56	54	65	42	51	62	29	88	38	46	18	57	64	36	72	44	40	36	57	56	54	65	42	51	62	29	88	38	46	18	57	64
