timing	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100
13.7 to 14.7	21	27	20	17	13	9	20	15	17	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15
13.8 to 14.8	21	27	20	17	13	9	20	15	17	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15
13.9 to 14.9	21	27	20	17	13	9	20	15	17	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15
14 to 15	21	27	20	17	13	9	20	15	17	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15	21	15	24	18	20	24	15	23	35	16	15	14	12	9	20	15	23	26	15
14.1 to 15.1	19	14	16	13	7	9	12	11	15	13	18	12	19	30	8	10	12	4	6	13	13	15	20	11	16	13	23	12	13	18	12	19	30	8	10	12	4	6	13	13	15	20	11	16	13	23	12	13	18	12	19	30	8	10	12	4	6	13	13	15	20	11	16	13	23	12	13	18	12	19	30	8	10	12	4	6	13	13	15	20	11	16	13	23	12	13	18	12	19	30	8	10	12	4	6	13	13	15	20	11
14.2 to 15.2	20	17	22	11	12	4	9	16	15	10	21	13	19	16	14	6	10	5	13	13	14	18	20	14	12	16	19	13	10	21	13	19	16	14	6	10	5	13	13	14	18	20	14	12	16	19	13	10	21	13	19	16	14	6	10	5	13	13	14	18	20	14	12	16	19	13	10	21	13	19	16	14	6	10	5	13	13	14	18	20	14	12	16	19	13	10	21	13	19	16	14	6	10	5	13	13	14	18	20	14
14.3 to 15.3	27	32	44	30	21	16	17	27	23	24	40	30	26	24	23	30	23	8	29	25	35	31	35	26	28	25	30	22	24	40	30	26	24	23	30	23	8	29	25	35	31	35	26	28	25	30	22	24	40	30	26	24	23	30	23	8	29	25	35	31	35	26	28	25	30	22	24	40	30	26	24	23	30	23	8	29	25	35	31	35	26	28	25	30	22	24	40	30	26	24	23	30	23	8	29	25	35	31	35	26
14.4 to 15.4	12	25	29	22	14	16	15	16	10	17	33	23	14	17	16	30	17	8	27	17	26	22	24	19	21	16	22	17	17	33	23	14	17	16	30	17	8	27	17	26	22	24	19	21	16	22	17	17	33	23	14	17	16	30	17	8	27	17	26	22	24	19	21	16	22	17	17	33	23	14	17	16	30	17	8	27	17	26	22	24	19	21	16	22	17	17	33	23	14	17	16	30	17	8	27	17	26	22	24	19
14.5 to 15.5	12	25	29	22	14	16	15	16	10	17	33	23	14	17	16	30	17	8	27	17	26	22	24	19	21	16	22	17	17	33	23	14	17	16	30	17	8	27	17	26	22	24	19	21	16	22	17	17	33	23	14	17	16	30	17	8	27	17	26	22	24	19	21	16	22	17	17	33	23	14	17	16	30	17	8	27	17	26	22	24	19	21	16	22	17	17	33	23	14	17	16	30	17	8	27	17	26	22	24	19
14.6 to 15.6	20	29	31	31	20	18	22	23	15	23	39	29	14	24	23	31	22	9	38	20	31	25	27	24	24	19	28	26	23	39	29	14	24	23	31	22	9	38	20	31	25	27	24	24	19	28	26	23	39	29	14	24	23	31	22	9	38	20	31	25	27	24	24	19	28	26	23	39	29	14	24	23	31	22	9	38	20	31	25	27	24	24	19	28	26	23	39	29	14	24	23	31	22	9	38	20	31	25	27	24
14.7 to 15.7	20	29	31	31	20	18	22	23	15	23	39	29	14	24	23	31	22	9	38	20	31	25	27	24	24	19	28	26	23	39	29	14	24	23	31	22	9	38	20	31	25	27	24	24	19	28	26	23	39	29	14	24	23	31	22	9	38	20	31	25	27	24	24	19	28	26	23	39	29	14	24	23	31	22	9	38	20	31	25	27	24	24	19	28	26	23	39	29	14	24	23	31	22	9	38	20	31	25	27	24
14.8 to 15.8	20	29	31	31	20	18	22	23	15	23	39	29	14	24	23	31	22	9	38	20	31	25	27	24	24	19	28	26	23	39	29	14	24	23	31	22	9	38	20	31	25	27	24	24	19	28	26	23	39	29	14	24	23	31	22	9	38	20	31	25	27	24	24	19	28	26	23	39	29	14	24	23	31	22	9	38	20	31	25	27	24	24	19	28	26	23	39	29	14	24	23	31	22	9	38	20	31	25	27	24
14.9 to 15.9	22	31	36	37	21	21	24	25	18	23	44	31	16	28	23	37	23	11	41	24	37	27	29	24	29	21	30	29	23	44	31	16	28	23	37	23	11	41	24	37	27	29	24	29	21	30	29	23	44	31	16	28	23	37	23	11	41	24	37	27	29	24	29	21	30	29	23	44	31	16	28	23	37	23	11	41	24	37	27	29	24	29	21	30	29	23	44	31	16	28	23	37	23	11	41	24	37	27	29	24
15 to 16	37	48	42	47	34	39	38	42	37	45	61	45	34	41	44	55	41	27	54	39	56	37	50	36	51	38	49	42	45	61	45	34	41	44	55	41	27	54	39	56	37	50	36	51	38	49	42	45	61	45	34	41	44	55	41	27	54	39	56	37	50	36	51	38	49	42	45	61	45	34	41	44	55	41	27	54	39	56	37	50	36	51	38	49	42	45	61	45	34	41	44	55	41	27	54	39	56	37	50	36
15.1 to 16.1	38	51	44	56	35	42	40	44	45	51	66	50	34	44	45	58	44	31	59	41	57	43	53	38	56	41	52	46	51	66	50	34	44	45	58	44	31	59	41	57	43	53	38	56	41	52	46	51	66	50	34	44	45	58	44	31	59	41	57	43	53	38	56	41	52	46	51	66	50	34	44	45	58	44	31	59	41	57	43	53	38	56	41	52	46	51	66	50	34	44	45	58	44	31	59	41	57	43	53	38
15.2 to 16.2	43	52	44	62	34	44	44	45	47	50	56	47	33	49	45	55	55	38	56	42	65	40	52	40	57	43	45	47	50	56	47	33	49	45	55	55	38	56	42	65	40	52	40	57	43	45	47	50	56	47	33	49	45	55	55	38	56	42	65	40	52	40	57	43	45	47	50	56	47	33	49	45	55	55	38	56	42	65	40	52	40	57	43	45	47	50	56	47	33	49	45	55	55	38	56	42	65	40	52	40
15.3 to 16.3	36	37	22	43	25	32	36	34	39	36	37	30	26	41	36	31	42	35	40	30	44	27	37	28	41	34	34	38	36	37	30	26	41	36	31	42	35	40	30	44	27	37	28	41	34	34	38	36	37	30	26	41	36	31	42	35	40	30	44	27	37	28	41	34	34	38	36	37	30	26	41	36	31	42	35	40	30	44	27	37	28	41	34	34	38	36	37	30	26	41	36	31	42	35	40	30	44	27	37	28
15.4 to 16.4	36	37	22	43	25	32	36	34	39	36	37	30	26	41	36	31	42	35	40	30	44	27	37	28	41	34	34	38	36	37	30	26	41	36	31	42	35	40	30	44	27	37	28	41	34	34	38	36	37	30	26	41	36	31	42	35	40	30	44	27	37	28	41	34	34	38	36	37	30	26	41	36	31	42	35	40	30	44	27	37	28	41	34	34	38	36	37	30	26	41	36	31	42	35	40	30	44	27	37	28
15.5 to 16.5	36	37	22	43	25	32	36	34	39	36	37	30	26	41	36	31	42	35	40	30	44	27	37	28	41	34	34	38	36	37	30	26	41	36	31	42	35	40	30	44	27	37	28	41	34	34	38	36	37	30	26	41	36	31	42	35	40	30	44	27	37	28	41	34	34	38	36	37	30	26	41	36	31	42	35	40	30	44	27	37	28	41	34	34	38	36	37	30	26	41	36	31	42	35	40	30	44	27	37	28
15.6 to 16.6	28	33	20	34	19	30	29	27	34	30	31	24	26	34	29	30	37	34	29	27	39	24	34	23	38	31	28	29	30	31	24	26	34	29	30	37	34	29	27	39	24	34	23	38	31	28	29	30	31	24	26	34	29	30	37	34	29	27	39	24	34	23	38	31	28	29	30	31	24	26	34	29	30	37	34	29	27	39	24	34	23	38	31	28	29	30	31	24	26	34	29	30	37	34	29	27	39	24	34	23
15.7 to 16.7	30	36	21	37	22	31	32	31	35	32	37	26	28	40	29	33	38	35	30	32	40	25	40	24	41	32	29	31	32	37	26	28	40	29	33	38	35	30	32	40	25	40	24	41	32	29	31	32	37	26	28	40	29	33	38	35	30	32	40	25	40	24	41	32	29	31	32	37	26	28	40	29	33	38	35	30	32	40	25	40	24	41	32	29	31	32	37	26	28	40	29	33	38	35	30	32	40	25	40	24
15.8 to 16.8	30	36	21	37	22	31	32	31	35	32	37	26	28	40	29	33	38	35	30	32	40	25	40	24	41	32	29	31	32	37	26	28	40	29	33	38	35	30	32	40	25	40	24	41	32	29	31	32	37	26	28	40	29	33	38	35	30	32	40	25	40	24	41	32	29	31	32	37	26	28	40	29	33	38	35	30	32	40	25	40	24	41	32	29	31	32	37	26	28	40	29	33	38	35	30	32	40	25	40	24
15.9 to 16.9	28	34	16	31	21	28	30	29	32	32	32	24	26	36	29	27	37	33	27	28	34	23	38	24	36	30	27	28	32	32	24	26	36	29	27	37	33	27	28	34	23	38	24	36	30	27	28	32	32	24	26	36	29	27	37	33	27	28	34	23	38	24	36	30	27	28	32	32	24	26	36	29	27	37	33	27	28	34	23	38	24	36	30	27	28	32	32	24	26	36	29	27	37	33	27	28	34	23	38	24
16 to 17	16	22	12	24	10	10	21	19	14	17	19	14	14	24	8	12	23	17	22	16	16	16	21	15	16	13	11	17	17	19	14	14	24	8	12	23	17	22	16	16	16	21	15	16	13	11	17	17	19	14	14	24	8	12	23	17	22	16	16	16	21	15	16	13	11	17	17	19	14	14	24	8	12	23	17	22	16	16	16	21	15	16	13	11	17	17	19	14	14	24	8	12	23	17	22	16	16	16	21	15
16.1 to 17.1	15	19	10	15	9	7	19	17	6	11	14	9	14	21	7	9	20	13	17	14	15	10	18	13	11	10	8	13	11	14	9	14	21	7	9	20	13	17	14	15	10	18	13	11	10	8	13	11	14	9	14	21	7	9	20	13	17	14	15	10	18	13	11	10	8	13	11	14	9	14	21	7	9	20	13	17	14	15	10	18	13	11	10	8	13	11	14	9	14	21	7	9	20	13	17	14	15	10	18	13
16.2 to 17.2	5	8	3	6	5	1	8	11	2	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4
16.3 to 17.3	5	8	3	6	5	1	8	11	2	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4
16.4 to 17.4	5	8	3	6	5	1	8	11	2	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4
16.5 to 17.5	5	8	3	6	5	1	8	11	2	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4	5	1	4	4	9	10	6	8	7	0	6	5	1	9	8	2	4	10	4
16.6 to 17.6	16	14	5	11	10	3	11	22	5	14	16	9	16	13	4	11	8	8	11	14	3	9	15	10	10	4	8	9	14	16	9	16	13	4	11	8	8	11	14	3	9	15	10	10	4	8	9	14	16	9	16	13	4	11	8	8	11	14	3	9	15	10	10	4	8	9	14	16	9	16	13	4	11	8	8	11	14	3	9	15	10	10	4	8	9	14	16	9	16	13	4	11	8	8	11	14	3	9	15	10
16.7 to 17.7	17	17	11	17	15	4	13	24	5	13	14	11	19	8	6	10	11	11	13	18	5	13	18	11	9	12	14	9	13	14	11	19	8	6	10	11	11	13	18	5	13	18	11	9	12	14	9	13	14	11	19	8	6	10	11	11	13	18	5	13	18	11	9	12	14	9	13	14	11	19	8	6	10	11	11	13	18	5	13	18	11	9	12	14	9	13	14	11	19	8	6	10	11	11	13	18	5	13	18	11
16.8 to 17.8	17	17	11	17	15	4	13	24	5	13	14	11	19	8	6	10	11	11	13	18	5	13	18	11	9	12	14	9	13	14	11	19	8	6	10	11	11	13	18	5	13	18	11	9	12	14	9	13	14	11	19	8	6	10	11	11	13	18	5	13	18	11	9	12	14	9	13	14	11	19	8	6	10	11	11	13	18	5	13	18	11	9	12	14	9	13	14	11	19	8	6	10	11	11	13	18	5	13	18	11
16.9 to 17.9	17	17	11	17	15	4	13	24	5	13	14	11	19	8	6	10	11	11	13	18	5	13	18	11	9	12	14	9	13	14	11	19	8	6	10	11	11	13	18	5	13	18	11	9	12	14	9	13	14	11	19	8	6	10	11	11	13	18	5	13	18	11	9	12	14	9	13	14	11	19	8	6	10	11	11	13	18	5	13	18	11	9	12	14	9	13	14	11	19	8	6	10	11	11	13	18	5	13	18	11
17 to 18	14	12	9	14	13	4	8	17	4	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8
17.1 to 18.1	14	12	9	14	13	4	8	17	4	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8
17.2 to 18.2	14	12	9	14	13	4	8	17	4	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8
17.3 to 18.3	14	12	9	14	13	4	8	17	4	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8	7	12	11	7	6	10	7	13	7	6	7	7	11	5	15	4	10	14	8
17.4 to 18.4	23	18	20	20	25	13	14	27	12	15	22	17	18	12	10	16	16	18	14	19	12	16	29	16	16	18	19	16	15	22	17	18	12	10	16	16	18	14	19	12	16	29	16	16	18	19	16	15	22	17	18	12	10	16	16	18	14	19	12	16	29	16	16	18	19	16	15	22	17	18	12	10	16	16	18	14	19	12	16	29	16	16	18	19	16	15	22	17	18	12	10	16	16	18	14	19	12	16	29	16
17.5 to 18.5	23	18	20	20	25	13	14	27	12	15	22	17	18	12	10	16	16	18	14	19	12	16	29	16	16	18	19	16	15	22	17	18	12	10	16	16	18	14	19	12	16	29	16	16	18	19	16	15	22	17	18	12	10	16	16	18	14	19	12	16	29	16	16	18	19	16	15	22	17	18	12	10	16	16	18	14	19	12	16	29	16	16	18	19	16	15	22	17	18	12	10	16	16	18	14	19	12	16	29	16
17.6 to 18.6	12	12	18	15	20	11	11	16	9	10	16	14	10	6	6	11	13	11	12	13	11	11	24	10	11	15	15	11	10	16	14	10	6	6	11	13	11	12	13	11	11	24	10	11	15	15	11	10	16	14	10	6	6	11	13	11	12	13	11	11	24	10	11	15	15	11	10	16	14	10	6	6	11	13	11	12	13	11	11	24	10	11	15	15	11	10	16	14	10	6	6	11	13	11	12	13	11	11	24	10
17.7 to 18.7	17	16	23	14	17	20	12	17	9	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19
17.8 to 18.8	17	16	23	14	17	20	12	17	9	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19
17.9 to 18.9	17	16	23	14	17	20	12	17	9	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19
18 to 19	17	16	23	14	17	20	12	17	9	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19
18.1 to 19.1	17	16	23	14	17	20	12	17	9	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19
18.2 to 19.2	17	16	23	14	17	20	12	17	9	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19	11	9	17	18	9	20	16	13	13	22	10	15	11	14	11	16	11	22	19
18.3 to 19.3	31	32	40	28	31	28	28	29	17	13	35	31	23	29	39	14	26	26	29	26	24	29	51	35	23	31	30	36	13	35	31	23	29	39	14	26	26	29	26	24	29	51	35	23	31	30	36	13	35	31	23	29	39	14	26	26	29	26	24	29	51	35	23	31	30	36	13	35	31	23	29	39	14	26	26	29	26	24	29	51	35	23	31	30	36	13	35	31	23	29	39	14	26	26	29	26	24	29	51	35
18.4 to 19.4	22	26	29	22	19	19	22	19	9	4	23	21	18	24	35	5	17	19	20	22	16	23	36	27	14	25	22	27	4	23	21	18	24	35	5	17	19	20	22	16	23	36	27	14	25	22	27	4	23	21	18	24	35	5	17	19	20	22	16	23	36	27	14	25	22	27	4	23	21	18	24	35	5	17	19	20	22	16	23	36	27	14	25	22	27	4	23	21	18	24	35	5	17	19	20	22	16	23	36	27
18.5 to 19.5	22	26	29	22	19	19	22	19	9	4	23	21	18	24	35	5	17	19	20	22	16	23	36	27	14	25	22	27	4	23	21	18	24	35	5	17	19	20	22	16	23	36	27	14	25	22	27	4	23	21	18	24	35	5	17	19	20	22	16	23	36	27	14	25	22	27	4	23	21	18	24	35	5	17	19	20	22	16	23	36	27	14	25	22	27	4	23	21	18	24	35	5	17	19	20	22	16	23	36	27
18.6 to 19.6	22	26	29	22	19	19	22	19	9	4	23	21	18	24	35	5	17	19	20	22	16	23	36	27	14	25	22	27	4	23	21	18	24	35	5	17	19	20	22	16	23	36	27	14	25	22	27	4	23	21	18	24	35	5	17	19	20	22	16	23	36	27	14	25	22	27	4	23	21	18	24	35	5	17	19	20	22	16	23	36	27	14	25	22	27	4	23	21	18	24	35	5	17	19	20	22	16	23	36	27
18.7 to 19.7	14	16	17	14	14	8	16	12	8	4	15	15	10	16	17	4	11	15	15	15	8	18	29	16	12	22	13	18	4	15	15	10	16	17	4	11	15	15	15	8	18	29	16	12	22	13	18	4	15	15	10	16	17	4	11	15	15	15	8	18	29	16	12	22	13	18	4	15	15	10	16	17	4	11	15	15	15	8	18	29	16	12	22	13	18	4	15	15	10	16	17	4	11	15	15	15	8	18	29	16
18.8 to 19.8	14	16	17	14	14	8	16	12	8	4	15	15	10	16	17	4	11	15	15	15	8	18	29	16	12	22	13	18	4	15	15	10	16	17	4	11	15	15	15	8	18	29	16	12	22	13	18	4	15	15	10	16	17	4	11	15	15	15	8	18	29	16	12	22	13	18	4	15	15	10	16	17	4	11	15	15	15	8	18	29	16	12	22	13	18	4	15	15	10	16	17	4	11	15	15	15	8	18	29	16
18.9 to 19.9	20	26	27	23	24	21	30	22	20	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25
19 to 20	20	26	27	23	24	21	30	22	20	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25
19.1 to 20.1	20	26	27	23	24	21	30	22	20	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25
19.2 to 20.2	20	26	27	23	24	21	30	22	20	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25	20	33	26	34	17	26	22	18	29	26	12	17	24	22	28	16	23	44	25
19.3 to 20.3	6	10	10	9	10	13	14	10	12	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9
19.4 to 20.4	6	10	10	9	10	13	14	10	12	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9
19.5 to 20.5	6	10	10	9	10	13	14	10	12	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9
19.6 to 20.6	6	10	10	9	10	13	14	10	12	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9
19.7 to 20.7	6	10	10	9	10	13	14	10	12	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9
19.8 to 20.8	6	10	10	9	10	13	14	10	12	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9	8	11	13	16	13	11	7	8	13	9	8	6	9	7	13	8	5	15	9
19.9 to 20.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20 to 21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.1 to 21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
