,model,lnL,AIC,AICc,timing,tree.no,delta,w
186,DensDep,45.5431963994533,-87.0863927989066,-86.9613927989066,NA,17,50.6215655010934,9.9888548157209e-12
187,fit_env,50.4725055075956,-94.9450110151911,-94.6923794362438,NA,17,42.8905788637562,4.76736187425652e-10
188,EB,69.8059826,-131.6119652,-131.1864333,NA17,18,3.6328092,0.0795792311710608
189,delta,68.24599167,-128.4919833,-128.0664514,NA17,18,6.7527911,0.0167226183264752
190,TS ,53.49564371,-100.9912874,-100.7359683,317,18,34.0832742,1.94341378345152e-08
191,TRC ,71.62467501,-135.24935,-134.8192425,86,18,0,0.48938903406909
192,SRC ,59.56908184,-113.1381637,-112.8828445,1111,18,21.936398,8.43773597193587e-06
193,OUS ,52.44871776,-94.89743552,-94.25227423,NAS 38.6897093393274,18,40.56696827,7.59712024100224e-10
194,OUMA ,54.03592951,-96.07185903,-95.15881555,NAMA 39.7354506418065,18,39.66042695,1.19536888345677e-09
195,OUMV ,56.26514202,-100.530284,-99.61724056,NAMV 52.373864202427,18,35.20200194,1.11080195766388e-08
196,OUMVA ,74.85843999,-135.71688,-134.4861108,NAMVA 35.7627402774208,18,0.333131699999996,0.414300640005474
197,DensDep,48.4881601045857,-92.9763202091714,-92.8513202091714,NA,18,41.9679222908286,3.77081911375797e-10
198,fit_env,52.2881580362387,-98.5763160724773,-98.32368449353,NA,18,36.49555800647,5.81760868590432e-09
199,EB,68.31357297,-128.6271459,-128.201614,NA18,19,7.1677597,0.0258032479398914
200,delta,66.20230957,-124.4046191,-123.9790872,NA18,19,11.3902865,0.00312438346694766
201,TS ,54.93609199,-103.872184,-103.6168648,318,19,31.7525089,1.1834881593211e-07
202,TRC ,71.89974063,-135.7994813,-135.3693737,75,19,0,0.929252243184253
203,SRC ,62.49822762,-118.9964552,-118.7411361,1112,19,16.6282376,0.000227697205924041
204,OUS ,54.12553654,-98.25107308,-97.60591179,NAS 39.4097355532359,19,37.76346191,5.86005990428875e-09
205,OUMA ,57.65875114,-103.3175023,-102.4044588,NAMA 39.2978944101064,19,32.9649149,6.4549561953496e-08
206,OUMV ,66.1409831,-120.2819662,-119.3689227,NAMV 36.8123270950047,19,16.000451,0.000311659112428471
207,OUMVA ,72.1860821,-130.3721642,-129.141395,NAMVA 35.8124464068255,19,6.22797870000002,0.0412805264048414
208,DensDep,51.5188342380835,-99.0376684761671,-98.9126684761671,NA,19,36.4567052238329,1.12631706597279e-08
209,fit_env,53.9144698107499,-101.8289396215,-101.576308042553,NA,19,33.793065657447,4.26641057680159e-08
210,EB,67.6543363,-127.3086726,-126.8831407,NA19,20,7.7570936,0.0158743849997351
211,delta,65.2066426,-122.4132852,-121.9877533,NA19,20,12.652481,0.00137302056366881
212,TS ,48.66609331,-91.33218661,-91.07686746,319,20,43.56336684,2.66356602215824e-10
213,TRC ,71.53517089,-135.0703418,-134.6402343,87,20,0,0.767588363057764
214,SRC ,56.22009064,-106.4401813,-106.1848621,1113,20,28.4553722,5.08303170462817e-07
215,OUS ,50.30579989,-90.61159979,-89.9664385,NAS 39.4854598485212,20,44.6737958,1.52875144741086e-10
216,OUMA ,72.24813991,-132.4962798,-131.5832363,NAMA 37.0111689298519,20,3.05699799999999,0.166459927346256
217,OUMV ,51.41462773,-90.82925547,-89.91621199,NAMV 52.0391477397623,20,44.72402231,1.49083758531512e-10
218,OUMVA ,72.17800512,-130.3560102,-129.125241,NAMVA 37.0111689202715,20,5.51499330000001,0.0487037950352455
219,DensDep,41.3729208432334,-78.7458416864669,-78.6208416864669,NA,20,56.0193926135331,5.25619944714944e-13
220,fit_env,47.9107769887909,-89.8215539775818,-89.5689223986344,NA,20,45.0713119013656,1.25319125774964e-10
221,EB,68.23687605,-128.4737521,-128.0482202,NA20,21,8.36932389999998,0.0112959327635005
222,delta,65.30787944,-122.6157589,-122.190227,NA20,21,14.2273171,0.000603774876527195
223,TS ,52.65391194,-99.30782388,-99.05250473,320,21,37.36503937,5.70929501720377e-09
224,TRC ,72.42382581,-136.8476516,-136.4175441,88,21,0,0.741818555200364
225,SRC ,62.90487041,-119.8097408,-119.5544217,93,21,16.8631224,0.000161628219664069
226,OUS ,52.83371367,-95.66742734,-95.02226605,NAS 42.6740630953566,21,41.39527805,7.61074682556355e-10
227,OUMA ,73.28613535,-134.5722707,-133.6592272,NAMA 40.6175430379929,21,2.75831689999998,0.186782759659757
228,OUMV ,69.29393225,-126.5878645,-125.674821,NAMV 40.617543045291,21,10.7427231,0.00344782338310972
229,OUMVA ,73.23842875,-132.4768575,-131.2460883,NAMVA 40.6175430406819,21,5.17145579999999,0.0558895140504045
230,DensDep,49.6576158789779,-95.3152317579559,-95.1902317579559,NA,21,41.2273123420441,8.27752622308284e-10
231,fit_env,52.4252812515684,-98.8505625031368,-98.5979309241894,NA,21,37.8196131758106,4.54855067181163e-09
232,EB,68.94728388,-129.8945678,-129.4690358,NA21,22,10.4473254,0.00515130390586795
233,delta,65.75086031,-123.5017206,-123.0761887,NA21,22,16.8401725,0.000210730822693216
234,TS ,60.44137221,-114.8827444,-114.6274253,321,22,25.2889359,3.08391501080662e-06
235,TRC ,74.17323437,-140.3464687,-139.9163612,102,22,0,0.956147861789032
236,SRC ,69.84878709,-133.6975742,-133.442255,1114,22,6.47410620000002,0.0375569883306425
237,OUS ,61.43226624,-112.8645325,-112.2193712,NAS 37.6497335226258,22,27.69699,9.25124317888611e-07
238,OUMA ,69.11517565,-126.2303513,-125.3173078,NAMA 36.3433849880099,22,14.5990534,0.000646220739363642
239,OUMV ,66.99021793,-121.9804359,-121.0673924,NAMV 36.3433849623022,22,18.8489688,7.71833258433467e-05
240,OUMVA ,69.12083429,-124.2416686,-123.0108994,NAMVA 36.3433851538039,22,16.9054618,0.000203962661905487
241,DensDep,58.4313137913254,-112.862627582651,-112.737627582651,NA,22,27.178733617349,1.19877600276042e-06
242,fit_env,58.6987701373458,-111.397540274692,-111.144908695744,NA,22,28.771452504256,5.40609320148099e-07
243,EB,68.42460293,-128.8492059,-128.4236739,NA22,23,9.36422619999999,0.00907309900748644
244,delta,65.71810217,-123.4362043,-123.0106724,NA22,23,14.7772277,0.000605811215180909
245,TS ,58.8569479,-111.7138958,-111.4585767,322,23,26.3293234,1.87858824535964e-06
246,TRC ,73.10900383,-138.2180077,-137.7879001,9,23,0,0.979876930296704
247,SRC ,67.20660827,-128.4132165,-128.1578974,101,23,9.63000270000001,0.00794406915842834
248,OUS ,59.52974131,-109.0594826,-108.4143213,NAS 37.8985844694933,23,29.3735788,4.09996302109681e-07
249,OUMA ,69.11817274,-126.2363455,-125.323302,NAMA 36.1919004971614,23,12.4645981,0.00192538882132756
250,OUMV ,58.43147954,-104.8629591,-103.9499156,NAMV 52.5721338503734,23,33.8379845,4.3989250199144e-08
251,OUMVA ,69.06280102,-124.125602,-122.8948328,NAMVA 36.1919778589442,23,14.8930673,0.000571719571433104
252,DensDep,56.0404637350398,-108.08092747008,-107.95592747008,NA,23,29.83197262992,3.26017553644707e-07
253,fit_env,57.0960267882003,-108.192053576401,-107.939421997453,NA,23,29.848478102547,3.2333808840859e-07
254,EB,70.70839956,-133.4167991,-132.9912672,NA23,24,9.84310399999998,0.00705775865140228
255,delta,67.26849741,-126.5369948,-126.1114629,NA23,24,16.7229083,0.000226326955286313
256,TS ,60.54946146,-115.0989229,-114.8436038,323,24,27.9907674,8.09006043684116e-07
257,TRC ,75.63223937,-143.2644787,-142.8343712,103,24,0,0.968433221109338
258,SRC ,69.48419234,-132.9683847,-132.7130655,1115,24,10.1213057,0.00614124002125632
259,OUS ,59.17716206,-108.3543241,-107.7091628,NAS 35.704920557943,24,35.1252084,2.28416560240783e-08
260,OUMA ,73.62747961,-135.2549592,-134.3419157,NAMA 35.0336760047623,24,8.49245550000001,0.0138661661032972
261,OUMV ,68.95669726,-125.9133945,-125.000351,NAMV 49.4003401140241,24,17.8340202,0.000129855813579695
262,OUMVA ,73.57865652,-133.157313,-131.9265438,NAMVA 35.0336886594005,24,10.9078274,0.00414443234398606
263,DensDep,57.2758357574976,-110.551671514995,-110.426671514995,NA,24,32.407699685005,8.88847196317992e-08
264,fit_env,58.2124684717445,-110.424936943489,-110.172305364542,NA,24,32.662065835458,7.82694350527927e-08
265,EB,69.01193887,-130.0238777,-129.5983458,NA24,25,8.3983303,0.0108485004699216
266,delta,66.47430688,-124.9486138,-124.5230818,NA24,25,13.4735943,0.000857610594481598
267,TS ,60.69749206,-115.3949841,-115.139665,324,25,22.8570111,7.86515106741515e-06
