model,lnL,AIC,AICc,delta,w,tree.no,timing
TRC,67.59558409,-127.1911682,-126.8762075,0,0.981424172,78,4
EB,66.89883434,-125.7976687,-125.4851687,0,0.618656755,79,NA
TRC,66.25722075,-124.5144415,-124.1994809,1.28568781,0.325286619,79,4
EB,64.96006054,-121.9201211,-121.6076211,1.181124081,0.345440218,80,NA
TRC,65.5518529,-123.1037058,-122.7887452,0,0.623520496,80,4
EB,65.89106994,-123.7821399,-123.4696399,1.556850182,0.298387753,81,NA
TRC,66.67072534,-125.3414507,-125.0264901,0,0.649900266,81,5
TRC,68.01623844,-128.0324769,-127.7175162,0,0.76513254,82,5
EB,67.4803363,-126.9606726,-126.6481726,0.997740853,0.204620706,83,NA
TRC,67.82958103,-127.6591621,-127.3442014,0.30171202,0.28979462,83,4
SRC,66.91670673,-127.8334135,-127.6459135,0,0.336981649,83,7
EB,67.32279232,-126.6455846,-126.3330846,0,0.52995545,84,NA
TRC,67.01132753,-126.0226551,-125.7076944,0.625390196,0.387648053,84,5
EB,66.23193494,-124.4638699,-124.1513699,0.975730409,0.327533295,85,NA
TRC,66.72103046,-125.4420609,-125.1271003,0,0.533497785,85,4
TRC,66.83641384,-125.6728277,-125.357867,0,0.743192582,86,4
EB,66.56389359,-125.1277872,-124.8152872,0.663616457,0.344041672,87,NA
TRC,66.89693213,-125.7938643,-125.4789036,0,0.479417113,87,4
TRC,67.18192214,-126.3638443,-126.0488836,0,0.768120078,88,4
EB,67.12633846,-126.2526769,-125.9401769,1.264713604,0.241132162,89,NA
TRC,67.75992558,-127.5198512,-127.2048905,0,0.453820605,89,4
SRC,65.77635358,-125.5527072,-125.3652072,1.839683359,0.180884788,89,7
EB,64.97653918,-121.9530784,-121.6405784,1.474885192,0.243464718,90,NA
TRC,65.71521209,-123.4304242,-123.1154635,0,0.508983008,90,4
TRC,66.53473507,-125.0694701,-124.7545095,0,0.775765269,91,4
TRC,66.62526841,-125.2505368,-124.9355762,0,0.668775769,92,4
EB,64.77405511,-121.5481102,-121.2356102,1.56355525,0.281819118,93,NA
TRC,65.55706305,-123.1141261,-122.7991655,0,0.615874411,93,4
EB,66.14333044,-124.2866609,-123.9741609,0,0.892236763,94,NA
EB,66.01766246,-124.0353249,-123.7228249,0.158013003,0.463930163,95,NA
TRC,66.09789927,-124.1957985,-123.8808379,0,0.502070492,95,4
EB,66.60302158,-125.2060432,-124.8935432,0,0.342739941,96,NA
TS,64.6596654,-123.3193308,-123.1318308,1.761712359,0.142041006,96,11
TRC,65.89487845,-123.7897569,-123.4747963,1.41874689,0.168611715,96,4
SRC,64.94253785,-123.8850757,-123.6975757,1.195967453,0.188479311,96,11
TRC,67.01000187,-126.0200037,-125.7050431,0,0.474192723,97,4
SRC,65.21161107,-124.4232221,-124.2357221,1.469320985,0.227455209,97,6
TRC,67.48112869,-126.9622574,-126.6472968,0,0.757880624,98,4
TRC,68.22248288,-128.4449658,-128.1300051,0,0.806735472,99,4
TRC,66.97305411,-125.9461082,-125.6311476,0,0.798220981,100,4
