,model,lnL,AIC,AICc,timing,tree.no,delta,w
23,fit_env,207.169557129875,-408.339114259749,-408.209384530019,NA,2,22.066517369981,9.23797871343021e-06
24,fit_bgb,209.839038354937,-413.678076709873,-413.548346980144,NA,2,16.727554919856,0.000133326943404897
25,EB,215.4543245,-422.908649,-422.6912577,NA2,3,4.17989820000003,0.0803322510285239
26,delta,212.8895268,-417.7790535,-417.5616622,NA2,3,9.30949370000002,0.00618034084003385
27,ts ,206.2062488,-406.4124976,-406.2820628,NA 112,3,20.5890931,2.19623363256659e-05
28,trc ,217.5448676,-427.0897351,-426.8711559,NA 101,3,0,0.649446376861389
29,src ,215.5996743,-425.1993486,-425.0689138,NA 101,3,1.8022421,0.263749350455115
30,ous ,205.2857567,-400.5715134,-400.2436445,54.16628803,3,26.6275114,1.07263673017831e-06
31,ouma ,204.5470869,-397.0941737,-396.6326353,37.03507767,3,30.2385206,1.7633234354747e-07
32,oumv ,209.9972512,-407.9945024,-407.532964,40.68425214,3,19.3381919,4.10495388116497e-05
33,oumva ,209.8393794,-405.6787587,-405.0599742,a 40.6842518572499,3,21.8111817,1.19207991364673e-05
34,DensDep,204.24010106793,-404.48020213586,-404.415686006827,NA,3,22.455469893173,8.63773680341511e-06
35,fit_env,204.697059994075,-403.394119988151,-403.264390258421,NA,3,23.606765641579,4.85734858427759e-06
36,fit_bgb,208.424855189747,-410.849710379493,-410.719980649764,NA,3,16.151175250236,0.000202004086202521
37,EB,215.8421007,-423.6842014,-423.4668101,NA3,4,2.82282250000003,0.142424645745082
38,delta,212.5965232,-417.1930464,-416.9756551,NA3,4,9.31397750000002,0.00554687972560166
39,ts ,206.5962856,-407.1925712,-407.0621364,NA 113,4,19.2274962,3.9026132546733e-05
40,trc ,217.2541059,-426.5082118,-426.2896326,NA 111,4,0,0.584188852461082
41,src ,215.4270253,-424.8540506,-424.7236158,NA 111,4,1.5660168,0.266991255800966
42,ous ,205.9042245,-401.8084491,-401.4805802,-1.13175884,4,24.8090524,2.3951680299311e-06
43,ouma ,207.0540619,-402.1081239,-401.6465854,-2.683246823,4,24.6430472,2.60245696939754e-06
44,oumv ,209.4106675,-406.8213351,-406.3597966,29.78301425,4,19.929836,2.74690958928398e-05
45,oumva ,209.7701282,-405.5402565,-404.921472,a 32.821964632993,4,21.3681606,1.33818496765073e-05
46,DensDep,205.235353549046,-406.470707098092,-406.406190969059,NA,4,19.883441630941,2.81137497487544e-05
47,fit_env,205.785892587453,-405.571785174906,-405.442055445177,NA,4,20.847577154823,1.7360387139144e-05
48,fit_bgb,209.508195418539,-413.016390837077,-412.886661107348,NA,4,13.402971492652,0.000718017427265354
49,EB,217.6862617,-427.3725233,-427.155132,NA4,5,0.771800100000007,0.303118031248115
50,delta,214.2260469,-420.4520938,-420.2347025,NA4,5,7.69222959999996,0.00952488189756923
51,ts ,212.5731846,-419.1463691,-419.0159343,NA 114,5,8.91099779999996,0.00517854133849289
52,trc ,217.3772286,-426.7544571,-426.5358779,NA 102,5,1.39105419999999,0.222403927475036
53,src ,217.0286835,-428.0573669,-427.9269321,NA 112,5,0,0.445867722510599
54,ous ,210.0733184,-410.1466369,-409.818768,13.43291922,5,18.1081641,5.21276516971433e-05
55,ouma ,215.7454393,-419.4908785,-419.02934,33.93092638,5,8.8975921,0.00521336891592227
