,model,lnL,AIC,AICc,timing,tree.no,delta,w
297,OUMA,67.01615636,-122.0323127,-121.3656461,OUMA 32.985400086514,16,5.95531072,0.021926825
298,OUMV,67.12729569,-122.2545914,-121.5879247,OUMV 29.0823008747439,16,5.73303212,0.024504336
299,OUMVA,68.01288383,-122.0257677,-121.1297677,OUMVA 29.1803525306433,16,6.19118912,0.019487468
300,DensDep,62.40200345,-120.8040069,-120.7116992,NA,16,6.609257608,0.015811497
305,BM,63.21468066,-120.4293613,-120.2433148,BM16,17,5.5477025,0.025154327
305,JN,64.61245881,-123.2249176,-123.0388711,NA,18,0,0.922858468
306,EB,67.05175865,-126.1035173,-125.7910173,EB16,17,0,0.40297768
306,NIG,59.94679987,-113.8935997,-113.7075532,NA,18,9.331317876,0.008686907
307,OU,63.21468066,-118.4293613,-118.1168613,OU16,17,7.674156,0.008686787
308,kappa,62.80102729,-117.6020546,-117.2895546,kappa16,17,8.5014627,0.005743966
309,delta,64.61119502,-121.22239,-120.90989,delta16,17,4.8811273,0.035104086
310,lambda,63.21468065,-118.4293613,-118.1168613,lambda16,17,7.674156,0.008686787
311,TS,62.58627217,-119.1725443,-118.9850443,TS 1113,17,6.805973,0.013408578
312,TRC,66.38059402,-124.761188,-124.4462274,TRC 412,17,1.3447899,0.205713871
313,SRC,65.4500471,-124.9000942,-124.7125942,SRC 75,17,1.0784231,0.235019767
314,BMS,64.42404596,-118.8480919,-118.375651,BMS 29.8101816711557,17,7.4153663,0.009886775
315,OUS,61.36181425,-112.7236285,-112.2511875,OUS 26.1244975335267,17,13.5398298,0.000462535
316,OUMA,66.11812801,-120.236256,-119.5695894,OUMA 30.2341792630656,17,6.2214279,0.017960362
317,OUMV,65.7070087,-119.4140174,-118.7473507,OUMV 30.2341817156408,17,7.0436666,0.011906064
318,OUMVA,66.75418304,-119.5083661,-118.6123661,OUMVA 30.2341823957711,17,7.1786512,0.011129014
319,DensDep,61.04195204,-118.0839041,-117.9915964,NA,17,7.799420913,0.008159401
320,BM,62.25262898,-118.505258,-118.3192114,BM17,18,5.3487409,0.031418611
321,EB,60.50562025,-113.0112405,-112.6987405,EB17,18,10.9692118,0.001891112
322,OU,62.25262899,-116.505258,-116.192758,OU17,18,7.4751943,0.010850094
322,JN,64.18191334,-122.3638267,-122.1777802,NA,19,0.978413024,0.26228961
323,kappa,61.39812073,-114.7962415,-114.4837415,kappa17,18,9.1842108,0.004616632
323,NIG,59.95439207,-113.9087841,-113.7227376,NA,19,9.433455566,0.003826414
324,delta,63.71604587,-119.4320917,-119.1195917,delta17,18,4.5483606,0.046879973
325,lambda,62.25262899,-116.505258,-116.192758,lambda17,18,7.4751943,0.010850094
