,model,lnL,AIC,AICc,timing,tree.no,delta,w
1324,OUMVA,55.75413383,-97.50826766,-96.71394142,OUMVA 16.1774558795931,78,22.62876428,7.63925750977572e-06
1325,JN,57.1334537779177,-108.266907555835,-108.101390314456,NA,78,11.241315385544,0.00226884202936833
1326,NIG,52.7023217765554,-99.4046435531109,-99.2391263117316,NA,78,20.1035793882684,2.7001511873114e-05
1327,BM,59.98734638,-113.9746928,-113.8091755,BM78,79,13.2014639,0.000996258891082435
1328,EB,59.73890451,-111.477809,-111.2000312,EB78,79,15.8106082,0.000270273660908333
1329,OU,59.98734638,-111.9746928,-111.696915,OU78,79,15.3137244,0.000346497950799565
1330,kappa,60.1813241,-112.3626482,-112.0848704,kappa78,79,14.925769,0.00042067249301651
1331,delta,-1e+200,2e+200,2e+200,delta78,79,2e+200,0
1332,lambda,59.98734638,-111.9746928,-111.696915,lambda78,79,15.3137244,0.000346497950799565
1333,DensDep,59.28625017,-114.5725003,-114.4903086,DensDep78,79,12.5203308,0.00140048474851752
1334,TS,60.91549656,-115.8309931,-115.6643265,TS 729,79,11.3463129,0.00251891278935039
1335,TRC,66.60330624,-125.2066125,-124.9268922,TRC 629,79,2.0837472,0.258555462389186
1336,SRC,66.58865301,-127.177306,-127.0106394,SRC 636,79,0,0.732881354308533
1337,BMS,61.01428907,-112.0285781,-111.6089977,BMS 13.5376897235233,79,15.4016417,0.000331596296497323
1338,OUS,60.31674033,-110.6334807,-110.2139002,OUS 13.6551594438036,79,16.7967392,0.000165069979903496
1339,OUMA,60.36430148,-108.728603,-108.1370537,OUMA 13.6041932426059,79,18.8735857,5.84368249084903e-05
1340,OUMV,61.21468038,-110.4293608,-109.8378115,OUMV 13.0367517496482,79,17.1728279,0.000136773347038186
1341,OUMVA,61.05068814,-108.1013763,-107.30705,OUMVA 13.2053310921129,79,19.7035894,3.85881179754963e-05
1342,JN,60.1109398463943,-114.221879692789,-114.056362451409,NA,79,12.954276948591,0.00112732249918017
1343,NIG,59.0891941045264,-112.178388209053,-112.012870967673,NA,79,14.997768432327,0.000405797752303919
1344,BM,60.29989073,-114.5997815,-114.4342642,BM79,80,5.9864961,0.0214729221007745
1345,EB,62.09570174,-116.1914035,-115.9136257,EB79,80,4.5071346,0.0449914942034365
1346,OU,60.29989074,-112.5997815,-112.3220037,OU79,80,8.0987566,0.00746826309124639
1347,kappa,60.44575312,-112.8915062,-112.6137285,kappa79,80,7.8070318,0.00864105648937024
1348,delta,60.98522684,-113.9704537,-113.6926759,delta79,80,6.7280844,0.0148203102500902
1349,lambda,60.29989071,-112.5997814,-112.3220036,lambda79,80,8.0987567,0.00746826271783327
1350,DensDep,59.85203736,-115.7040747,-115.6218829,DensDep79,80,4.79887739999999,0.0388847465505699
1351,TS,60.97632073,-115.9526415,-115.7859748,TS 115,80,4.63478549999999,0.042209613544248
1352,TRC,63.49648662,-118.9929732,-118.713253,TRC 410,80,1.7075073,0.182415509504365
1353,SRC,63.29371347,-120.5874269,-120.4207603,SRC 43,80,0,0.42839289531447
1354,BMS,62.13245986,-114.2649197,-113.8453393,BMS 12.2732123684196,80,6.57542099999999,0.0159958650458083
1355,OUS,61.20913102,-112.418262,-111.9986816,OUS 12.2730288013677,80,8.4220787,0.00635347180348599
1356,OUMA,61.97084413,-111.9416883,-111.350139,OUMA 13.8654635862879,80,9.0706213,0.00459390352671853
1357,OUMV,62.1321567,-112.2643134,-111.6727641,OUMV 12.2732211849782,80,8.7479962,0.00539807632613818
1358,OUMVA,62.27963266,-110.5592653,-109.7649391,OUMVA 12.8710003989323,80,10.6558212,0.00207950556059457
1359,JN,56.8492622210205,-107.698524442041,-107.533007200662,NA,80,12.887753099338,0.000681243281231232
1360,NIG,62.3578525207814,-118.715705041563,-118.550187800183,NA,80,1.870572499817,0.168132860689619
1361,BM,57.82552102,-109.651042,-109.4855248,BM80,81,7.92830880000001,0.00779791258871403
1362,EB,59.31682956,-110.6336591,-110.3558813,EB80,81,7.05795230000001,0.0120496345424364
1363,OU,57.82552102,-107.651042,-107.3732643,OU80,81,10.0405693,0.00271210702026244
1364,kappa,58.23176968,-108.4635394,-108.1857616,kappa80,81,9.228072,0.00407134935371713
1365,delta,58.29568539,-108.5913708,-108.313593,delta80,81,9.10024060000001,0.0043400687154859
1366,lambda,57.82552102,-107.651042,-107.3732643,lambda80,81,10.0405693,0.00271210702026244
1367,DensDep,57.32618619,-110.6523724,-110.5701806,DensDep80,81,6.843653,0.0134124580604043
1368,TS,58.05256755,-110.1051351,-109.9384684,TS 102,81,7.4753652,0.00977988652333317
1369,TRC,62.4898899,-116.9797798,-116.7000595,TRC 411,81,0.713774100000009,0.287471415529203
1370,SRC,61.79025011,-117.5805002,-117.4138336,SRC 44,81,0,0.410760566322657
1371,BMS,58.57180511,-107.1436102,-106.7240298,BMS 1.78776299150886,81,10.6898038,0.00196032167769358
1372,OUS,57.9115715,-105.823143,-105.4035626,OUS 13.1749712407323,81,12.010271,0.00101295822046844
1373,OUMA,58.88352686,-105.7670537,-105.1755044,OUMA 12.2640786017603,81,12.2383292,0.000903793730409223
1374,OUMV,58.46168318,-104.9233664,-104.3318171,OUMV 12.6963963218944,81,13.0820165,0.000592740981427659
1375,OUMVA,58.42590185,-102.8518037,-102.0574775,OUMVA 11.2770615434236,81,15.3563561,0.000190107121381277
1376,JN,58.4525049796897,-110.905009959379,-110.739492718,NA,81,6.67434088200001,0.0145973505059095
1377,NIG,61.1905845733474,-116.381169146695,-116.215651905316,NA,81,1.19818169468401,0.225635222086235
1378,BM,58.6750644,-111.3501288,-111.1846115,BM81,82,7.2324464,0.0138649882300623
1379,EB,59.93455683,-111.8691137,-111.5913359,EB81,82,6.825722,0.016991768657402
1380,OU,58.6750644,-109.3501288,-109.072351,OU81,82,9.34470690000001,0.00482223049909936
1381,kappa,59.01035243,-110.0207049,-109.7429271,kappa81,82,8.6741308,0.00674313284123597
1382,delta,59.07799257,-110.1559851,-109.8782074,delta81,82,8.53885050000001,0.00721501867205401
1383,lambda,58.6750644,-109.3501288,-109.072351,lambda81,82,9.34470690000001,0.00482223049909936
1384,DensDep,58.28802242,-112.5760448,-112.4938531,DensDep81,82,5.92320480000001,0.026681958627327
1385,TS,58.92377872,-111.8475574,-111.6808908,TS 730,82,6.7361671,0.0177699082715892
1386,TRC,62.41833708,-116.8366742,-116.5569539,TRC 630,82,1.86010400000001,0.203473958812676
1387,SRC,62.2918623,-118.5837246,-118.4170579,SRC 637,82,0,0.515733433458247
1388,BMS,60.77126103,-111.5425221,-111.1229416,BMS 17.2699789219292,82,7.2941163,0.01344398615684
1389,OUS,60.54665585,-111.0933117,-110.6737313,OUS 17.2835094198609,82,7.7433266,0.0107394806378758
1390,OUMA,60.5521353,-109.1042706,-108.5127213,OUMA 17.2573275414843,82,9.90433660000001,0.00364523826215898
1391,OUMV,60.77146037,-109.5429207,-108.9513714,OUMV 17.2833490892768,82,9.4656865,0.0045391818209912
1392,OUMVA,60.77421102,-107.548422,-106.7540958,OUMVA 17.2554848400212,82,11.6629621,0.00151302200729812
1393,JN,60.8892902508911,-115.778580501782,-115.613063260403,NA,82,2.80399463959701,0.126924536666185
1394,NIG,59.0938289760558,-112.187657952112,-112.022140710732,NA,82,6.394917189268,0.021075925879858
1395,BM,59.5229104,-113.0458208,-112.8803036,BM82,83,10.27192,0.00382842620186574
1396,EB,61.39998607,-114.7999721,-114.5221944,EB82,83,8.6300292,0.0087006627889224
1397,OU,59.5229104,-111.0458208,-110.768043,OU82,83,12.3841806,0.00133152314050162
1398,kappa,59.53346445,-111.0669289,-110.7891511,kappa82,83,12.3630725,0.00134565052171167
1399,delta,60.10080635,-112.2016127,-111.9238349,delta82,83,11.2283887,0.0023731530110843
1400,lambda,59.52291031,-111.0458206,-110.7680428,lambda82,83,12.3841808,0.00133152300734931
1401,DensDep,58.58715128,-113.1743026,-113.0921108,DensDep82,83,10.0601128,0.0042561176943028
1402,TS,59.76718266,-113.5343653,-113.3676986,TS 813,83,9.784525,0.00488491216799524
1403,TRC,64.98301003,-121.9660201,-121.6862998,TRC 631,83,1.4659238,0.312764936060191
1404,SRC,64.65944512,-123.3188902,-123.1522236,SRC 638,83,0,0.650937613222942
1405,BMS,59.88940886,-109.7788177,-109.3592373,BMS 16.357468767417,83,13.7929863,0.000658309993005236
1406,OUS,59.66364362,-109.3272872,-108.9077068,OUS 18.3579277995736,83,14.2445168,0.000525269090374628
1407,OUMA,59.663642,-107.327284,-106.7357347,OUMA 18.2481950982062,83,16.4164889,0.00017731443658341
1408,OUMV,59.92984212,-107.8596842,-107.2681349,OUMV 17.9491346890319,83,15.8840887,0.000231394659260801
1409,OUMVA,59.80574795,-105.6114959,-104.8171697,OUMVA 15.7729912667495,83,18.3350539,6.79411666514585e-05
1410,JN,59.4358698175709,-112.871739635142,-112.706222393762,NA,83,10.446001206238,0.00350928812063621
1411,NIG,59.3040751963347,-112.608150392669,-112.44263315129,NA,83,10.70959044871,0.00307596471662183
1412,BM,59.98986645,-113.9797329,-113.8142157,BM83,84,11.4358023,0.00211591005224373
1413,EB,62.27166916,-116.5433383,-116.2655605,EB83,84,8.98445749999999,0.00720775409891428
1414,OU,59.98986645,-111.9797329,-111.7019551,OU83,84,13.5480629,0.000735911585917342
1415,kappa,59.99902769,-111.9980554,-111.7202776,kappa83,84,13.5297404,0.000742684432434397
1416,delta,59.75360682,-111.5072136,-111.2294359,delta83,84,14.0205821,0.000581057886072462
1417,lambda,59.98986644,-111.9797329,-111.7019551,lambda83,84,13.5480629,0.000735911585917342
1418,DensDep,59.55465698,-115.109314,-115.0271222,DensDep83,84,10.2228958,0.00388040005275837
1419,TS,61.21108481,-116.4221696,-116.255503,TS 98,84,8.99451499999999,0.00717159908893418
1420,TRC,65.90789071,-123.8157814,-123.5360611,TRC 534,84,1.7139569,0.273255622899202
1421,SRC,65.70834235,-125.4166847,-125.250018,SRC 639,84,0,0.643798735472718
1422,BMS,61.53128585,-113.0625717,-112.6429913,BMS 14.6453850746627,84,12.6070267,0.00117806446130131
1423,OUS,61.27181225,-112.5436245,-112.1240441,OUS 15.1889524624425,84,13.1259739,0.000908826751572756
1424,OUMA,60.86903344,-109.7380669,-109.1465176,OUMA 15.6459810620993,84,16.1035004,0.000205078172082476
1425,OUMV,61.53136643,-111.0627329,-110.4711836,OUMV 14.6451768248346,84,14.7788344,0.000397710452277812
1426,OUMVA,61.56094943,-109.1218989,-108.3275726,OUMVA 14.6452413086065,84,16.9224454,0.000136171991983783
1427,JN,56.1037963272531,-106.207592654506,-106.042075413127,NA,84,19.207942586873,4.34308553058137e-05
1428,NIG,63.2817669640473,-120.563533928095,-120.398016686715,NA,84,4.852001313285,0.0569051301603641
1429,BM,58.65108451,-111.302169,-111.1366518,BM84,85,12.4242672,0.00139594404363623
1430,EB,58.13848449,-108.276969,-107.9991912,EB84,85,15.5617278,0.000290788412869951
1431,OU,58.65108451,-109.302169,-109.0243912,OU84,85,14.5365278,0.000485508064917434
1432,kappa,58.7820542,-109.5641084,-109.2863306,kappa84,85,14.2745884,0.000553446781881456
1433,delta,57.93683318,-107.8736664,-107.5958886,delta84,85,15.9650304,0.00023768460343307
1434,lambda,58.65108451,-109.302169,-109.0243912,lambda84,85,14.5365278,0.000485508064917434
1435,DensDep,57.81271446,-111.6254289,-111.5432371,DensDep84,85,12.0176819,0.00171063315862109
1436,TS,59.16813631,-112.3362726,-112.169606,TS 53,85,11.391313,0.00233975920489048
1437,TRC,64.97493065,-121.9498613,-121.670141,TRC 535,85,1.890778,0.27051174587765
1438,SRC,64.86379283,-123.7275857,-123.560919,SRC 529,85,0,0.696247026280958
1439,BMS,59.7743533,-109.5487066,-109.1291262,BMS 12.4710072355946,85,14.4317928,0.000511610400657013
1440,OUS,58.7537049,-107.5074098,-107.0878294,OUS 14.1938177169395,85,16.4730896,0.000184364541084517
1441,OUMA,58.97338376,-105.9467675,-105.3552182,OUMA 13.7264375675612,85,18.2057008,7.75256926251897e-05
1442,OUMV,59.89573069,-107.7914614,-107.1999121,OUMV 12.4710935822666,85,16.3610069,0.00019499157434905
