model,lnL,AIC,AICc,timing,tree.no,delta,w,group
OU,60.15645626,-112.3129125,-112.0351347,OU38,39,13.4788321,0.000799075,birds
OUMA,59.5336674,-107.0673348,-106.4757855,OUMA 13.9055106486838,39,19.0381813,4.96E-05,birds
OUMV,60.61950381,-109.2390076,-108.6474583,OUMV 13.6355572581044,39,16.8665085,0.00014688,birds
OUMVA,60.28578311,-106.5715662,-105.77724,OUMVA 13.5597870200097,39,19.7367268,3.50E-05,birds
OUS,59.51971579,-109.0394316,-108.6198512,OUS 13.4496380522344,39,16.8941156,0.000144867,birds
SRC,65.84031676,-125.6806335,-125.5139668,SRC 621,39,0,0.67527194,birds
TRC,65.96123442,-123.9224688,-123.6427486,TRC 617,39,1.8712182,0.264940794,birds
TS,60.13157742,-114.2631548,-114.0964882,TS 716,39,11.4174786,0.002239777,birds
BM,58.96476849,-111.929537,-111.7640197,BM39,40,11.2158058,0.002556632,birds
BMS,59.55505512,-109.1101102,-108.6905298,BMS 15.6629983888005,40,14.2892957,0.000549881,birds
delta,59.5379557,-111.0759114,-110.7981336,delta39,40,12.1816919,0.001577352,birds
DensDep,58.54503681,-113.0900736,-113.0078818,DensDep39,40,9.9719437,0.004761781,birds
EB,60.73502378,-113.4700476,-113.1922698,EB39,40,9.7875557,0.005221663,birds
fit_env,58.67986086,-111.3597217,-111.1942045,NA,40,11.78562102,0.001961415,birds
JN,60.71104325,-115.4220865,-115.2565693,NA,40,7.7232562,0.014657697,birds
kappa,59.13395464,-110.2679093,-109.9901315,kappa39,40,12.989694,0.001053109,birds
lambda,58.96476847,-109.9295369,-109.6517592,lambda39,40,13.3280663,0.000889194,birds
NIG,58.03984576,-110.0796915,-109.9141743,NA,40,13.0656512,0.001013863,birds
OU,58.96476849,-109.929537,-109.6517592,OU39,40,13.3280663,0.000889194,birds
OUMA,60.21623712,-108.4324742,-107.8409249,OUMA 14.5385221346775,40,15.1389006,0.000359566,birds
OUMV,59.86852738,-107.7370548,-107.1455055,OUMV 14.7249333963206,40,15.83432,0.000253963,birds
OUMVA,61.24332023,-108.4866405,-107.6923142,OUMVA 14.7249118342572,40,15.2875113,0.000333817,birds
OUS,59.12402397,-108.2480479,-107.8284675,OUS 14.9034878444512,40,15.151358,0.000357334,birds
SRC,64.57324606,-123.1464921,-122.9798255,SRC 622,40,0,0.696866388,birds
TRC,64.65219483,-121.3043897,-121.0246694,TRC 618,40,1.9551561,0.262175899,birds
TS,59.89578416,-113.7915683,-113.6249017,TS 717,40,9.3549238,0.006482666,birds
BM,58.04517691,-110.0903538,-109.9248366,BM40,41,7.5267774,0.008531083,birds
BMS,58.27782949,-106.555659,-106.1360786,BMS 19.4335351398353,41,11.3155354,0.001283175,birds
delta,58.59307178,-109.1861436,-108.9083658,delta40,41,8.5432482,0.005131925,birds
DensDep,57.13736716,-110.2747343,-110.1925425,DensDep40,41,7.2590715,0.009752945,birds
EB,59.62948971,-111.2589794,-110.9812016,EB40,41,6.4704124,0.014467414,birds
fit_env,57.12411634,-108.2482327,-108.0827154,NA,41,8.713095758,0.006816388,birds
JN,60.67137115,-115.3427423,-115.1772251,NA,41,2.2743889,0.117908694,birds
kappa,58.30800383,-108.6160077,-108.3382299,kappa40,41,9.1133841,0.003859019,birds
lambda,58.04517695,-108.0903539,-107.8125761,lambda40,41,9.6390379,0.002967103,birds
NIG,61.80856561,-117.6171312,-117.451614,NA,41,0,0.367640294,birds
OU,58.04517695,-108.0903539,-107.8125761,OU40,41,9.6390379,0.002967103,birds
OUMA,57.85074753,-103.7014951,-103.1099458,OUMA 20.3778029900375,41,14.3416682,0.000282598,birds
OUMV,58.48243284,-104.9648657,-104.3733164,OUMV 19.4333719212236,41,13.0782976,0.000531504,birds
OUMVA,58.3616736,-102.7233472,-101.929021,OUMVA 18.1415034802569,41,15.522593,0.000156579,birds
OUS,57.85038669,-105.7007734,-105.281193,OUS 20.3961604525635,41,12.170421,0.000836854,birds
SRC,61.48123895,-116.9624779,-116.7958112,SRC 71,41,0.6558028,0.264860586,birds
TRC,62.21779225,-116.4355845,-116.1558642,TRC 619,41,1.2957498,0.192333356,birds
TS,57.77226191,-109.5445238,-109.3778571,TS 87,41,8.0737569,0.006489766,birds
BM,58.86924471,-111.7384894,-111.5729722,BM41,42,8.123422,0.009003335,birds
BMS,59.3786111,-108.7572222,-108.3376418,BMS 14.6460494291747,42,11.3587524,0.001785913,birds
delta,-1.00E+200,2.00E+200,2.00E+200,delta41,42,2.00E+200,0,birds
DensDep,58.32636879,-112.6527376,-112.5705458,DensDep41,42,7.1258484,0.014825992,birds
EB,58.53050935,-109.0610187,-108.7832409,EB41,42,10.9131533,0.002231624,birds
fit_env,58.39373441,-110.7874688,-110.6219516,NA,42,9.074442626,0.006723742,birds
JN,61.69133638,-117.3826728,-117.2171555,NA,42,2.4792387,0.151363879,birds
kappa,58.85747294,-109.7149459,-109.4371681,kappa41,42,10.2592261,0.003094706,birds
lambda,58.86924463,-109.7384893,-109.4607115,lambda41,42,10.2356827,0.003131352,birds
NIG,57.25037933,-108.5007587,-108.3352414,NA,42,11.3611528,0.001783771,birds
OU,58.86924471,-109.7384894,-109.4607117,OU41,42,10.2356825,0.003131352,birds
OUMA,59.1113251,-106.2226502,-105.6311009,OUMA 14.858201090955,42,14.0652933,0.000461469,birds
OUMV,59.37817108,-106.7563422,-106.1647929,OUMV 14.6460125474169,42,13.5316013,0.000602604,birds
OUMVA,59.37819995,-104.7563999,-103.9620737,OUMVA 14.6460125515901,42,15.7343205,0.000200317,birds
OUS,59.11132182,-108.2226436,-107.8030632,OUS 15.3305262134769,42,11.893331,0.00136703,birds
SRC,62.93153042,-119.8630608,-119.6963942,SRC 623,42,0,0.522855994,birds
TRC,63.33704692,-118.6740938,-118.3943736,TRC 514,42,1.3020206,0.272679136,birds
TS,59.11296361,-112.2259272,-112.0592606,TS 68,42,7.6371336,0.011481526,birds
BM,57.15065867,-108.3013173,-108.1358001,BM42,43,9.9866528,0.002843004,birds
BMS,57.89861869,-105.7972374,-105.377657,BMS 17.4066487013096,43,12.7447959,0.000715903,birds
delta,57.58942438,-107.1788488,-106.901071,delta42,43,11.2213819,0.001533414,birds
DensDep,56.9897259,-109.9794518,-109.89726,DensDep42,43,8.2251929,0.006859203,birds
EB,58.58924032,-109.1784806,-108.9007029,EB42,43,9.22175,0.004167485,birds
fit_env,57.10089535,-108.2017907,-108.0362735,NA,43,9.835155849,0.005110272,birds
JN,59.96283675,-113.9256735,-113.7601563,NA,43,4.3622966,0.047325037,birds
kappa,57.48886016,-106.9777203,-106.6999426,kappa42,43,11.4225103,0.001386708,birds
lambda,57.15065867,-106.3013173,-106.0235396,lambda42,43,12.0989133,0.000988794,birds
NIG,62.14398509,-118.2879702,-118.1224529,NA,43,0,0.419132784,birds
OU,57.15065867,-106.3013173,-106.0235396,OU42,43,12.0989133,0.000988794,birds
OUMA,57.13533367,-102.2706673,-101.679118,OUMA 19.0852470878152,43,16.4433349,0.000112649,birds
OUMV,57.84776161,-103.6955232,-103.1039739,OUMV 18.6605561863091,43,15.018479,0.000229684,birds
OUMVA,59.53316615,-105.0663323,-104.2720061,OUMVA 17.9783455540785,43,13.8504468,0.000411875,birds
OUS,57.20635343,-104.4127069,-103.9931264,OUS 17.4066446951799,43,14.1293265,0.000358267,birds
SRC,62.01904799,-118.038096,-117.8714293,SRC 72,43,0.2510236,0.369694126,birds
TRC,62.06757389,-116.1351478,-115.8554275,TRC 7,43,2.2670254,0.134919064,birds
TS,58.22662038,-110.4532408,-110.2865741,TS 718,43,7.8358788,0.008333207,birds
BM,60.82529708,-115.6505942,-115.4850769,BM43,44,8.5411714,0.009483742,birds
BMS,61.8064694,-113.6129388,-113.1933584,BMS 12.6482333290007,44,10.8328899,0.003015361,birds
delta,61.38179559,-114.7635912,-114.4858134,delta43,44,9.5404349,0.005754299,birds
DensDep,60.46017604,-116.9203521,-116.8381603,DensDep43,44,7.188088,0.01865512,birds
