model,lnL,AIC,AICc,timing,tree.no,delta,w,group
BM,61.91828044,-117.8365609,-117.6505144,BM68,69,5.9566355,0.024282605,marsupials
BMS,63.22453108,-116.4490622,-115.9766212,BMS 15.4770374496175,69,7.6305287,0.010515114,marsupials
delta,63.41280751,-118.825615,-118.513115,delta68,69,5.0940349,0.037377187,marsupials
DensDep,60.05705372,-116.1141074,-116.0217998,NA,69,7.585350149,0.010755346,marsupials
EB,65.95982495,-123.9196499,-123.6071499,EB68,69,0,0.477267906,marsupials
fit_bgb,62.58931521,-119.1786304,-118.9925839,NA,69,4.614565987,0.047642775,marsupials
fit_env,60.51841932,-115.0368386,-114.8507921,NA,69,8.756357776,0.006306937,marsupials
JN,62.38665313,-118.7733063,-118.5872597,NA,69,0,0.388019832,marsupials
kappa,61.37163668,-114.7432734,-114.4307734,kappa68,69,9.1763765,0.00485442,marsupials
lambda,61.91828074,-115.8365615,-115.5240615,lambda68,69,8.0830884,0.00838575,marsupials
NIG,59.46621635,-112.9324327,-112.7463862,NA,69,5.840873553,0.020918202,marsupials
OU,61.91828075,-115.8365615,-115.5240615,OU68,69,8.0830884,0.00838575,marsupials
OUMA,61.48722142,-110.9744428,-110.3077762,OUMA 35.6555635570129,69,13.2993737,0.000617789,marsupials
OUMV,63.32843743,-114.6568749,-113.9902082,OUMV 28.7572264627958,69,9.6169417,0.003894663,marsupials
OUMVA,63.21508927,-112.4301785,-111.5341785,OUMVA 30.9131552046269,69,12.0729714,0.001140643,marsupials
OUS,60.4762761,-110.9525522,-110.4801113,OUS 46.7501761224823,69,13.1270386,0.000673383,marsupials
SRC,64.24769018,-122.4953804,-122.3078804,SRC 820,69,1.2992695,0.249246716,marsupials
TRC,64.70377792,-121.4075558,-121.0925952,TRC 439,69,2.5145547,0.135748055,marsupials
TS,62.01968689,-118.0393738,-117.8518738,TS 1155,69,5.7552761,0.026854675,marsupials
BM,60.20782477,-114.4156495,-114.229603,BM69,70,8.7322109,0.008490698,marsupials
BMS,59.52781078,-109.0556216,-108.5831806,BMS 14.0828379704425,70,14.3786333,0.000504473,marsupials
delta,61.77987221,-115.5597444,-115.2472444,delta69,70,7.7145695,0.01412282,marsupials
DensDep,57.0991269,-110.1982538,-110.1059461,NA,70,12.8558678,0.001080196,marsupials
EB,64.65551679,-121.3110336,-120.9985336,EB69,70,1.9632803,0.250494391,marsupials
fit_bgb,59.34037483,-112.6807497,-112.4947032,NA,70,10.46711075,0.003616162,marsupials
fit_env,57.31075106,-108.6215021,-108.4354556,NA,70,14.52635829,0.000476834,marsupials
JN,60.52523808,-115.0504762,-114.8644296,NA,70,7.055489255,0.01895733,marsupials
kappa,60.2210407,-112.4420814,-112.1295814,kappa69,70,10.8322325,0.002971184,marsupials
lambda,60.20782476,-112.4156495,-112.1031495,lambda69,70,10.8586644,0.002932175,marsupials
NIG,58.32833654,-110.6566731,-110.4706266,NA,70,11.44929232,0.002107051,marsupials
OU,60.20782477,-112.4156495,-112.1031495,OU69,70,10.8586644,0.002932175,marsupials
OUMA,59.55110764,-107.1022153,-106.4355486,OUMA 16.0872787600528,70,16.5262653,0.00017238,marsupials
OUMV,60.82802405,-109.6560481,-108.9893814,OUMV 28.081122683098,70,13.9724325,0.000618079,marsupials
OUMVA,60.05208741,-106.1041748,-105.2081748,OUMVA 31.8504576412609,70,17.7536391,9.33E-05,marsupials
OUS,57.40753199,-104.815064,-104.342623,OUS 46.6041339488891,70,18.6191909,6.05E-05,marsupials
SRC,61.88003356,-117.7600671,-117.5725671,SRC 516,70,5.3892468,0.045170909,marsupials
TRC,65.63838725,-123.2767745,-122.9618139,TRC 440,70,0,0.668526931,marsupials
TS,58.67375129,-111.3475026,-111.1600026,TS 1156,70,11.8018113,0.001829735,marsupials
BM,62.75398535,-119.5079707,-119.3219242,BM70,71,8.2420342,0.007977358,marsupials
BMS,66.69277394,-123.3855479,-122.9131069,BMS 27.5689760256438,71,4.6508515,0.048047909,marsupials
delta,64.1144586,-120.2289172,-119.9164172,delta70,71,7.6475412,0.010738697,marsupials
DensDep,63.1610607,-122.3221214,-122.2298137,NA,71,5.334144684,0.03414281,marsupials
EB,65.12970455,-122.2594091,-121.9469091,EB70,71,5.6170493,0.029639257,marsupials
fit_bgb,65.44980993,-124.8996199,-124.7135733,NA,71,2.850385058,0.10928122,marsupials
fit_env,64.01888673,-122.0377735,-121.851727,NA,71,5.712231445,0.029333432,marsupials
JN,65.68421789,-125.3684358,-125.1823893,NA,71,0,0.978227872,marsupials
kappa,62.92287878,-117.8457576,-117.5332576,kappa70,71,10.0307008,0.003261783,marsupials
lambda,62.75398528,-117.5079706,-117.1954706,lambda70,71,10.3684878,0.002754898,marsupials
NIG,61.33056362,-116.6611272,-116.4750807,NA,71,8.707308538,0.01257975,marsupials
OU,62.75398535,-117.5079707,-117.1954707,OU70,71,10.3684877,0.002754898,marsupials
OUMA,66.49721439,-120.9944288,-120.3277621,OUMA 16.0824447599315,71,7.2361963,0.013190887,marsupials
OUMV,66.90405304,-121.8081061,-121.1414394,OUMV 29.3911237832078,71,6.422519,0.019813527,marsupials
OUMVA,67.78599782,-121.5719956,-120.6759956,OUMVA 28.3421812180363,71,6.8879628,0.015699721,marsupials
OUS,63.13369691,-116.2673938,-115.7949529,OUS 65.7431262782499,71,11.7690055,0.001367688,marsupials
SRC,66.87572921,-127.7514584,-127.5639584,SRC 719,71,0,0.491579843,marsupials
TRC,67.01604817,-126.0320963,-125.7171357,TRC 520,71,1.8468227,0.195236769,marsupials
TS,65.49672333,-124.9934467,-124.8059467,TS 1157,71,2.7580117,0.123793954,marsupials
BM,62.52717767,-119.0543553,-118.8683088,BM71,72,6.3502513,0.026576145,marsupials
BMS,62.35909007,-114.7181801,-114.2457392,BMS 26.0686132775139,72,10.9728209,0.002634594,marsupials
delta,64.05376499,-120.10753,-119.79503,delta71,72,5.4235301,0.042240294,marsupials
DensDep,59.28524237,-114.5704847,-114.478177,NA,72,10.74038305,0.002959286,marsupials
EB,66.76553006,-125.5310601,-125.2185601,EB71,72,0,0.635962536,marsupials
fit_bgb,61.91414162,-117.8282832,-117.6422367,NA,72,7.576323379,0.015010611,marsupials
fit_env,59.60408832,-113.2081766,-113.0221301,NA,72,12.19642997,0.001512598,marsupials
JN,63.90598114,-121.8119623,-121.6259158,NA,72,0,0.675745654,marsupials
kappa,62.52716331,-117.0543266,-116.7418266,kappa71,72,8.4767335,0.009177666,marsupials
lambda,62.52717764,-117.0543553,-116.7418553,lambda71,72,8.4767048,0.009177798,marsupials
NIG,61.7127878,-117.4255756,-117.2395291,NA,72,4.386386684,0.075386138,marsupials
OU,62.52717767,-117.0543553,-116.7418553,OU71,72,8.4767048,0.009177798,marsupials
OUMA,59.81042653,-107.6208531,-106.9541864,OUMA 32.5406910626981,72,18.2643737,6.88E-05,marsupials
OUMV,62.27463612,-112.5492722,-111.8826056,OUMV 27.2751799664102,72,13.3359545,0.000808287,marsupials
OUMVA,62.35157552,-110.703151,-109.807151,OUMVA 25.4041965251603,72,15.4114091,0.000286343,marsupials
OUS,59.66278211,-109.3255642,-108.8531233,OUS 65.743126240408,72,16.3654368,0.000177714,marsupials
SRC,63.70278932,-121.4055786,-121.2180786,SRC 720,72,4.0004815,0.086047451,marsupials
TRC,65.43874019,-122.8774804,-122.5625198,TRC 441,72,2.6560403,0.168530966,marsupials
TS,61.06829493,-116.1365899,-115.9490899,TS 1158,72,9.2694702,0.006174356,marsupials
BM,61.51010704,-117.0202141,-116.8341676,BM72,73,6.523963,0.02229803,marsupials
BMS,59.31367694,-108.6273539,-108.1549129,BMS 30.331182588178,73,15.2032177,0.000290797,marsupials
delta,63.08420443,-118.1684089,-117.8559089,delta72,73,5.5022217,0.037165056,marsupials
DensDep,56.56086229,-109.1217246,-109.0294169,NA,73,14.32871371,0.000450284,marsupials
EB,65.8353153,-123.6706306,-123.3581306,EB72,73,0,0.582005453,marsupials
fit_bgb,59.15919128,-112.3183826,-112.132336,NA,73,11.22579456,0.002220997,marsupials
fit_env,56.59278471,-107.1855694,-106.9995229,NA,73,16.3586077,0.000170977,marsupials
JN,61.67062894,-117.3412579,-117.1552114,NA,73,2.468481223,0.110517127,marsupials
kappa,61.510284,-115.020568,-114.708068,kappa72,73,8.6500626,0.007701757,marsupials
lambda,61.51010706,-115.0202141,-114.7077141,lambda72,73,8.6504165,0.007700395,marsupials
NIG,62.63867616,-119.2773523,-119.0913058,NA,73,0.53238679,0.290969289,marsupials
OU,61.51010706,-115.0202141,-114.7077141,OU72,73,8.6504165,0.007700395,marsupials
OUMA,60.2715384,-108.5430768,-107.8764101,OUMA 31.7195840174586,73,15.4817205,0.000252996,marsupials
OUMV,61.05853992,-110.1170798,-109.4504132,OUMV 30.3311866663293,73,13.9077174,0.000555782,marsupials
OUMVA,60.93776412,-107.8755282,-106.9795282,OUMVA 30.3311821715156,73,16.3786024,0.000161569,marsupials
OUS,56.77613719,-103.5522744,-103.0798334,OUS 45.7319202819655,73,20.2782972,2.30E-05,marsupials
SRC,61.69928908,-117.3985782,-117.2110782,SRC 721,73,6.1470524,0.026922264,marsupials
TRC,65.19406839,-122.3881368,-122.0731761,TRC 442,73,1.2849545,0.306127771,marsupials
TS,57.96699206,-109.9339841,-109.7464841,TS 1159,73,13.6116465,0.000644459,marsupials
BM,63.70767455,-121.4153491,-121.2293026,BM73,74,7.3048611,0.010853622,marsupials
BMS,66.70877605,-123.4175521,-122.9451112,BMS 30.5466204825071,74,5.5890525,0.025595156,marsupials
delta,63.61893358,-119.2378672,-118.9253672,delta73,74,9.6087965,0.0034299,marsupials
DensDep,62.94382849,-121.887657,-121.7953493,NA,74,6.73881442,0.014404234,marsupials
EB,67.94622545,-127.8924509,-127.5799509,EB73,74,0.9542128,0.259776847,marsupials
fit_bgb,66.09346432,-126.1869286,-126.0008821,NA,74,2.533281573,0.109444595,marsupials
fit_env,63.29388385,-120.5877677,-120.4017212,NA,74,8.132442502,0.007476374,marsupials
JN,61.9820581,-117.9641162,-117.7780697,NA,74,1.882943905,0.122127145,marsupials
kappa,63.62178163,-119.2435633,-118.9310633,kappa73,74,9.6031004,0.003439683,marsupials
lambda,63.70767458,-119.4153492,-119.1028492,lambda73,74,9.4313145,0.003748187,marsupials
NIG,62.90745495,-119.8149099,-119.6288634,NA,74,0.032150206,0.308110819,marsupials
OU,63.70767458,-119.4153492,-119.1028492,OU73,74,9.4313145,0.003748187,marsupials
OUMA,67.75769923,-123.5153985,-122.8487318,OUMA 33.1457507696314,74,5.6854319,0.024390981,marsupials
OUMV,67.6892246,-123.3784492,-122.7117825,OUMV 30.5467768099854,74,5.8223812,0.022776716,marsupials
OUMVA,68.35306264,-122.7061253,-121.8101253,OUMVA 30.5467776960857,74,6.7240384,0.014511046,marsupials
OUS,63.53353186,-117.0670637,-116.5946228,OUS 41.8100665534542,74,11.9395409,0.001069465,marsupials
SRC,67.36083183,-128.7216637,-128.5341637,SRC 722,74,0,0.418605681,marsupials
TRC,67.45140521,-126.9028104,-126.5878498,TRC 73,74,1.9463139,0.158186138,marsupials
TS,64.89242501,-123.78485,-123.59735,TS 1160,74,4.9368137,0.035464157,marsupials
BM,64.53428061,-123.0685612,-122.8825147,BM74,75,6.5312967,0.015120006,marsupials
BMS,68.1000519,-126.2001038,-125.7276629,BMS 27.8375703106479,75,3.6861485,0.062714512,marsupials
delta,66.12575361,-124.2515072,-123.9390072,delta74,75,5.4748042,0.025642856,marsupials
DensDep,63.70026012,-123.4005202,-123.3082126,NA,75,6.105598845,0.018706437,marsupials
EB,68.86315569,-129.7263114,-129.4138114,EB74,75,0,0.396100168,marsupials
fit_bgb,66.929647,-127.859294,-127.6732475,NA,75,1.740563905,0.152731853,marsupials
fit_env,64.30944326,-122.6188865,-122.43284,NA,75,6.980971401,0.013121054,marsupials
JN,66.36067094,-126.7213419,-126.5352954,NA,75,0,0.634866141,marsupials
kappa,64.12867385,-120.2573477,-119.9448477,kappa74,75,9.4689637,0.003480532,marsupials
lambda,64.53428057,-121.0685611,-120.7560611,lambda74,75,8.6577503,0.005221538,marsupials
NIG,63.96560655,-121.9312131,-121.7451666,NA,75,4.790128785,0.05787872,marsupials
OU,64.53428062,-121.0685612,-120.7560612,OU74,75,8.6577502,0.005221538,marsupials
OUMA,64.83958532,-117.6791706,-117.012504,OUMA 33.1255011532656,75,12.4013074,0.000803333,marsupials
OUMV,68.14302666,-124.2860533,-123.6193867,OUMV 26.8636027158772,75,5.7944247,0.021855547,marsupials
OUMVA,68.1269524,-122.2539048,-121.3579048,OUMVA 26.8634628702471,75,8.0559066,0.007054839,marsupials
OUS,63.89940036,-117.7988007,-117.3263598,OUS 24.1180566908794,75,12.0874516,0.000939828,marsupials
SRC,67.44879996,-128.8975999,-128.7100999,SRC 723,75,0.7037115,0.278609561,marsupials
TRC,67.44896891,-126.8979378,-126.5829772,TRC 74,75,2.8308342,0.09618275,marsupials
TS,65.95169694,-125.9033939,-125.7158939,TS 1161,75,3.6979175,0.062346553,marsupials
BM,61.09113379,-116.1822676,-115.9962211,BM75,76,6.6488866,0.018560558,marsupials
BMS,63.35456362,-116.7091272,-116.2366863,BMS 28.0502106565404,76,6.4084214,0.020931839,marsupials
delta,62.54028443,-117.0805689,-116.7680689,delta75,76,5.8770388,0.027302075,marsupials
DensDep,59.6304693,-115.2609386,-115.1686309,NA,76,7.476476795,0.012271061,marsupials
EB,65.47880386,-122.9576077,-122.6451077,EB75,76,0,0.51567777,marsupials
fit_bgb,62.90600232,-119.8120046,-119.6259581,NA,76,3.019149576,0.107456244,marsupials
fit_env,59.90863409,-113.8172682,-113.6312217,NA,76,9.013886023,0.006009823,marsupials
JN,61.16876549,-116.337531,-116.1514845,NA,76,3.252551137,0.100631739,marsupials
kappa,61.1437444,-114.2874888,-113.9749888,kappa75,76,8.6701189,0.006755944,marsupials
lambda,61.09113379,-114.1822676,-113.8697676,lambda75,76,8.7753401,0.006409697,marsupials
NIG,60.41994896,-114.8398979,-114.6538514,NA,76,4.750184194,0.047591357,marsupials
OU,61.0911338,-114.1822676,-113.8697676,OU75,76,8.7753401,0.006409697,marsupials
OUMA,64.2944025,-116.588805,-115.9221383,OUMA 30.9914972440476,76,6.7229694,0.017885626,marsupials
OUMV,64.46493229,-116.9298646,-116.2631979,OUMV 28.050307440622,76,6.3819098,0.021211154,marsupials
OUMVA,65.76676549,-117.533531,-116.637531,OUMVA 31.1115544174073,76,6.0075767,0.025577006,marsupials
OUS,59.75689433,-109.5137887,-109.0413477,OUS 46.5355104568086,76,13.60376,0.00057327,marsupials
SRC,63.3677417,-120.7354834,-120.5479834,SRC 724,76,2.0971243,0.180714772,marsupials
TRC,63.92617148,-119.852343,-119.5373823,TRC 443,76,3.1077254,0.109029599,marsupials
TS,61.59475639,-117.1895128,-117.0020128,TS 1162,76,5.6430949,0.030689932,marsupials
BM,65.72898612,-125.4579722,-125.2719257,BM76,77,6.1111975,0.00956748,marsupials
BMS,70.66921692,-131.3384338,-130.8659929,BMS 29.1401800288031,77,0.5171303,0.156867813,marsupials
delta,66.87489395,-125.7497879,-125.4372879,delta76,77,5.9458353,0.010392153,marsupials
DensDep,65.97085295,-127.9417059,-127.8493982,NA,77,3.533724996,0.034712718,marsupials
EB,67.92984815,-127.8596963,-127.5471963,EB76,77,3.8359269,0.029844638,marsupials
fit_bgb,69.42625265,-132.8525053,-132.6664588,NA,77,0,0.313737599,marsupials
fit_env,66.55380641,-127.1076128,-126.9215663,NA,77,4.4615569,0.025857635,marsupials
JN,61.40421606,-116.8084321,-116.6223856,NA,77,4.767855607,0.045474988,marsupials
kappa,66.03706356,-124.0741271,-123.7616271,kappa76,77,7.6214961,0.004496146,marsupials
lambda,65.74854891,-123.4970978,-123.1845978,lambda76,77,8.1985254,0.003369303,marsupials
NIG,63.78814386,-121.5762877,-121.3902412,NA,77,0,0.493286563,marsupials
OU,65.74854891,-123.4970978,-123.1845978,OU76,77,8.1985254,0.003369303,marsupials
OUMA,71.90817539,-131.8163508,-131.1496841,OUMA 31.7448907973335,77,0.2334391,0.180774264,marsupials
OUMV,71.28414645,-130.5682929,-129.9016262,OUMV 29.1402632347004,77,1.481497,0.096855497,marsupials
OUMVA,72.26903365,-130.5380673,-129.6420673,OUMVA 29.1402629188465,77,1.7410559,0.085067129,marsupials
OUS,66.32540054,-122.6508011,-122.1783601,OUS 23.6658981656185,77,9.2047631,0.002037222,marsupials
SRC,68.78531162,-131.5706232,-131.3831232,SRC 725,77,0,0.20315488,marsupials
TRC,68.90196614,-129.8039323,-129.4889717,TRC 111,77,1.8941515,0.078798416,marsupials
TS,68.08341961,-130.1668392,-129.9793392,TS 1163,77,1.403784,0.100693036,marsupials
BM,61.85298622,-117.7059724,-117.5199259,BM77,78,9.3562816,0.009123595,marsupials
BMS,37.34444071,-64.68888142,-64.21644047,BMS 29.0693299551564,78,62.65976703,2.43E-14,marsupials
delta,37.26969516,-66.53939033,-66.22689033,delta77,78,60.64931717,6.64E-14,marsupials
DensDep,40.46137673,-76.92275346,-76.83044577,NA,78,50.04576173,1.33E-11,marsupials
EB,36.74916581,-65.49833163,-65.18583163,EB77,78,61.69037587,3.94E-14,marsupials
fit_bgb,37.98508486,-69.97016971,-69.7841232,NA,78,57.0920843,4.01E-13,marsupials
fit_env,40.63306261,-75.26612522,-75.08007871,NA,78,51.79612879,5.66E-12,marsupials
JN,62.72500502,-119.45001,-119.2639635,NA,78,0.078742166,0.370157,marsupials
kappa,61.85298622,-115.7059724,-115.3934724,kappa77,78,11.4827351,0.00315074,marsupials
lambda,61.85298622,-115.7059724,-115.3934724,lambda77,78,11.4827351,0.00315074,marsupials
NIG,59.61801793,-113.2360359,-113.0499894,NA,78,6.292716347,0.016559172,marsupials
OU,61.85298622,-115.7059724,-115.3934724,OU77,78,11.4827351,0.00315074,marsupials
OUMA,46.81648604,-81.63297208,-80.96630541,OUMA 29.0696919781711,78,45.90990209,1.05E-10,marsupials
OUMV,47.18937651,-82.37875301,-81.71208635,OUMV 31.5118024422576,78,45.16412115,1.53E-10,marsupials
OUMVA,47.64442565,-81.2888513,-80.3928513,OUMVA 31.9630973516262,78,46.4833562,7.91E-11,marsupials
OUS,37.59775347,-65.19550693,-64.72306599,OUS 46.5118771894818,78,62.15314151,3.13E-14,marsupials
SRC,48.41996446,-90.83992893,-90.65242893,SRC 821,78,36.22377857,1.34E-08,marsupials
TRC,67.59558409,-127.1911682,-126.8762075,TRC 444,78,0,0.981424172,marsupials
TS,42.02070094,-78.04140188,-77.85390188,TS 311,78,49.02230562,2.22E-11,marsupials
BM,61.98907146,-117.9781429,-117.7920964,BM78,79,7.6930723,0.013210467,marsupials
BMS,55.4017462,-100.8034924,-100.3310515,BMS 26.0714261662182,79,25.1541172,2.13E-06,marsupials
delta,63.77630685,-119.5526137,-119.2401137,delta78,79,6.245055,0.027249035,marsupials
DensDep,53.06004354,-102.1200871,-102.0277794,NA,79,23.45738932,4.99E-06,marsupials
EB,66.89883434,-125.7976687,-125.4851687,EB78,79,0,0.61865367,marsupials
fit_bgb,54.77915818,-103.5583164,-103.3722699,NA,79,22.11289884,1.00E-05,marsupials
fit_env,52.95115624,-99.90231247,-99.71626596,NA,79,25.76890274,1.61E-06,marsupials
JN,63.24728545,-120.4945709,-120.3085244,NA,79,6.702115004,0.025036009,marsupials
kappa,61.98907142,-115.9781428,-115.6656428,kappa78,79,9.8195259,0.004562098,marsupials
lambda,61.98907146,-115.9781429,-115.6656429,lambda78,79,9.8195258,0.004562099,marsupials
NIG,60.58335377,-115.1667075,-114.980661,NA,79,12.02997838,0.001744353,marsupials
OU,61.98907146,-115.9781429,-115.6656429,OU78,79,9.8195258,0.004562099,marsupials
OUMA,55.83928662,-99.67857325,-99.01190658,OUMA 24.6613326389461,79,26.47326212,1.10E-06,marsupials
OUMV,55.46281715,-98.9256343,-98.25896763,OUMV 29.1631688682697,79,27.22620107,7.57E-07,marsupials
OUMVA,55.56432099,-97.12864199,-96.23264199,OUMVA 29.1631675164101,79,29.25252671,2.75E-07,marsupials
OUS,53.36305128,-96.72610256,-96.25366162,OUS 65.7431263969635,79,29.23150708,2.78E-07,marsupials
SRC,60.05134832,-114.1026966,-113.9151966,SRC 517,79,11.5699721,0.001901341,marsupials
TRC,66.25722075,-124.5144415,-124.1994809,TRC 445,79,1.2856878,0.325284999,marsupials
TS,54.03956029,-102.0791206,-101.8916206,TS 1164,79,23.5935481,4.66E-06,marsupials
BM,60.00676516,-114.0135303,-113.8274838,BM79,80,8.9612614,0.007062128,marsupials
BMS,53.49187998,-96.98375996,-96.51131901,BMS 26.9743969238511,80,26.27742619,1.23E-06,marsupials
delta,61.68657279,-115.3731456,-115.0606456,delta79,80,7.7280996,0.013083178,marsupials
DensDep,51.62118698,-99.24237397,-99.15006628,NA,80,23.63867892,4.59E-06,marsupials
EB,64.96006054,-121.9201211,-121.6076211,EB79,80,1.1811241,0.34543863,marsupials
fit_bgb,53.2266062,-100.4532124,-100.2671659,NA,80,22.52157931,8.12E-06,marsupials
fit_env,51.38762223,-96.77524446,-96.58919795,NA,80,26.19954725,1.29E-06,marsupials
JN,61.88716823,-117.7743365,-117.58829,NA,80,2.832470344,0.098968915,marsupials
kappa,57.85997741,-107.7199548,-107.4074548,kappa79,80,15.3812904,0.000284999,marsupials
lambda,60.00676522,-112.0135304,-111.7010304,lambda79,80,11.0877148,0.002438833,marsupials
NIG,61.98912114,-117.9782423,-117.7921958,NA,80,2.628564527,0.10959138,marsupials
OU,60.00676541,-112.0135308,-111.7010308,OU79,80,11.0877144,0.002438834,marsupials
OUMA,53.79430272,-95.58860545,-94.92193878,OUMA 24.3131368461549,80,27.86680642,5.54E-07,marsupials
OUMV,53.5276649,-95.0553298,-94.38866313,OUMV 28.9081353546516,80,28.40008207,4.24E-07,marsupials
OUMVA,53.58890074,-93.17780147,-92.28180147,OUMVA 28.9079941088752,80,30.50694373,1.48E-07,marsupials
OUS,51.65394507,-93.30789014,-92.8354492,OUS 65.7431262629705,80,29.953296,1.95E-07,marsupials
SRC,59.79771316,-113.5954263,-113.4079263,SRC 822,80,9.3808189,0.005725716,marsupials
TRC,65.5518529,-123.1037058,-122.7887452,TRC 446,80,0,0.623517637,marsupials
TS,52.21222969,-98.42445938,-98.23695938,TS 1165,80,24.55178582,2.91E-06,marsupials
BM,54.63466716,-103.2693343,-103.0832878,BM80,81,21.9432023,1.12E-05,marsupials
BMS,57.39294097,-104.7858819,-104.313441,BMS 28.9584926264562,81,20.7130491,2.07E-05,marsupials
delta,62.39599422,-116.7919884,-116.4794884,delta80,81,8.5470017,0.009054702,marsupials
DensDep,54.69712116,-105.3942423,-105.3019346,NA,81,19.72455546,3.39E-05,marsupials
EB,65.89106994,-123.7821399,-123.4696399,EB80,81,1.5568502,0.298377647,marsupials
fit_bgb,57.05631164,-108.1126233,-107.9265768,NA,81,17.09991334,0.000126203,marsupials
fit_env,54.63682357,-103.2736471,-103.0876006,NA,81,21.93888947,1.12E-05,marsupials
JN,66.54398516,-127.0879703,-126.9019238,NA,81,0,0.976790974,marsupials
kappa,58.8905879,-109.7811758,-109.4686758,kappa80,81,15.5578143,0.000271954,marsupials
lambda,60.642737,-113.285474,-112.972974,lambda80,81,12.0535161,0.001568355,marsupials
NIG,61.67253036,-117.3450607,-117.1590142,NA,81,9.742909615,0.007484378,marsupials
OU,60.64273716,-113.2854743,-112.9729743,OU80,81,12.0535158,0.001568355,marsupials
OUMA,55.93200689,-99.86401378,-99.19734711,OUMA 24.2550155354236,81,25.82914299,1.60E-06,marsupials
OUMV,57.38926265,-102.7785253,-102.1118586,OUMV 28.958520069846,81,22.9146315,6.87E-06,marsupials
OUMVA,57.43669903,-100.8733981,-99.97739806,OUMVA 28.9585253315023,81,25.04909204,2.36E-06,marsupials
OUS,54.76278974,-99.52557948,-99.05313854,OUS 50.7909885874369,81,25.97335156,1.49E-06,marsupials
SRC,62.79792648,-119.595853,-119.408353,SRC 726,81,5.6181371,0.039162377,marsupials
TRC,66.67072534,-125.3414507,-125.0264901,TRC 521,81,0,0.649878262,marsupials
TS,55.91985543,-105.8397109,-105.6522109,TS 1166,81,19.3742792,4.03E-05,marsupials
BM,61.68856777,-117.3771355,-117.191089,BM81,82,10.5264272,0.003954311,marsupials
BMS,63.80213645,-117.6042729,-117.131832,BMS 27.6305840250326,82,10.5856842,0.00383887,marsupials
delta,63.35837756,-118.7167551,-118.4042551,delta81,82,9.3132611,0.007252814,marsupials
DensDep,59.97341819,-115.9468364,-115.8545287,NA,82,11.86298751,0.002026938,marsupials
EB,61.639002,-115.278004,-114.965504,EB81,82,12.7520122,0.001299545,marsupials
fit_bgb,62.50306141,-119.0061228,-118.8200763,NA,82,8.897439882,0.008940128,marsupials
fit_env,60.4899409,-114.9798818,-114.7938353,NA,82,12.92368091,0.001204916,marsupials
JN,63.84959788,-121.6991958,-121.5131492,NA,82,0,0.731687398,marsupials
kappa,61.21012863,-114.4202573,-114.1077573,kappa81,82,13.6097589,0.000846319,marsupials
lambda,61.68856774,-115.3771355,-115.0646355,lambda81,82,12.6528807,0.001365581,marsupials
NIG,59.67497805,-113.3499561,-113.1639096,NA,82,8.349239668,0.011254112,marsupials
OU,61.68856777,-115.3771355,-115.0646355,OU81,82,12.6528807,0.001365581,marsupials
OUMA,64.71584366,-117.4316873,-116.7650206,OUMA 32.5336738895913,82,10.9524956,0.003195592,marsupials
OUMV,64.62539637,-117.2507927,-116.5841261,OUMV 27.6306134580488,82,11.1333901,0.002919245,marsupials
OUMVA,65.62903775,-117.2580755,-116.3620755,OUMVA 31.0673162086949,82,11.3554407,0.002612479,marsupials
OUS,60.07423033,-110.1484607,-109.6760197,OUS 22.3782120876866,82,18.0414965,9.23E-05,marsupials
SRC,65.60835303,-125.2167061,-125.0292061,SRC 518,82,2.6883101,0.19911151,marsupials
TRC,68.01623844,-128.0324769,-127.7175162,TRC 522,82,0,0.763581658,marsupials
TS,62.19200613,-118.3840123,-118.1965123,TS 1167,82,9.5210039,0.00653726,marsupials
BM,62.85778122,-119.7155624,-119.5295159,BM82,83,8.1163976,0.005731335,marsupials
BMS,66.64784059,-123.2956812,-122.8232402,BMS 27.4890958185867,83,4.8226733,0.029749449,marsupials
delta,63.53287176,-119.0657435,-118.7532435,delta82,83,8.89267,0.003887679,marsupials
DensDep,62.82217107,-121.6443421,-121.5520344,NA,83,6.093879057,0.015755787,marsupials
EB,67.4803363,-126.9606726,-126.6481726,EB82,83,0.9977409,0.201396745,marsupials
fit_bgb,65.04893884,-124.0978777,-123.9118312,NA,83,3.734082338,0.050214578,marsupials
fit_env,63.57536011,-121.1507202,-120.9646737,NA,83,6.681239788,0.012112595,marsupials
JN,61.47782665,-116.9556533,-116.7696068,NA,83,6.38261681,0.025393392,marsupials
kappa,63.11441398,-118.228828,-117.916328,kappa82,83,9.7295855,0.00255833,marsupials
lambda,62.85778121,-117.7155624,-117.4030624,lambda82,83,10.2428511,0.001979257,marsupials
NIG,61.71252009,-117.4250402,-117.2389937,NA,83,5.913229937,0.032110478,marsupials
OU,62.85778122,-117.7155624,-117.4030624,OU82,83,10.2428511,0.001979257,marsupials
OUMA,67.53638241,-123.0727648,-122.4060982,OUMA 33.0808591999243,83,5.2398153,0.024148919,marsupials
OUMV,67.15128215,-122.3025643,-121.6358976,OUMV 28.6572963314015,83,6.0100159,0.016430499,marsupials
OUMVA,67.55470045,-121.1094009,-120.2134009,OUMVA 27.4894561807798,83,7.4325126,0.008067882,marsupials
OUS,62.72466968,-115.4493394,-114.9768984,OUS 33.080892342476,83,12.6690151,0.000588393,marsupials
SRC,66.91670673,-127.8334135,-127.6459135,SRC 727,83,0,0.331672245,marsupials
