group,model,lnL,AIC,AICc,timing,tree.no,delta,w
agamidae,EB,68.72264687,-129.4452937,-129.0197618,NA15,16,6.7876108,0.028405403
agamidae,delta,66.65853116,-125.3170623,-124.8915304,NA15,16,10.9158422,0.003605512
agamidae,TS,50.9569944,-95.9139888,-95.65866965,315,16,40.14870295,1.62E-09
agamidae,TRC,72.11874005,-136.2374801,-135.8073726,74,16,0,0.845886155
agamidae,SRC,60.57933546,-115.1586709,-114.9033518,1110,16,20.9040208,2.44E-05
agamidae,OUS,53.73885993,-97.47771987,-96.83255858,NAS 39.1232469822449,16,38.97481402,2.91E-09
agamidae,OUMA,72.09661636,-132.1932327,-131.2801892,NAMA 38.3557388168334,16,4.5271834,0.087952165
agamidae,OUMV,68.33868166,-124.6773633,-123.7643198,NAMV 38.3557392829259,16,12.0430528,0.002052089
agamidae,OUMVA,72.24673912,-130.4934782,-129.262709,NAMVA 38.3557389587523,16,6.5446636,0.032074232
agamidae,DensDep,46.89661869,-89.79323738,-89.66823738,NA,16,46.13913522,8.10E-11
agamidae,fit_env,51.1419525,-96.28390501,-96.03127343,NA,16,39.77609917,1.95E-09
agamidae,EB,68.89487435,-129.7897487,-129.3642168,NA16,17,8.2187415,0.016112834
agamidae,delta,67.01860341,-126.0372068,-125.6116749,NA16,17,11.9712834,0.002467845
agamidae,TS,50.70238532,-95.40477063,-95.14945148,316,17,42.43350682,5.99E-10
agamidae,TRC,73.00653293,-138.0130659,-137.5829583,85,17,0,0.981406618
agamidae,SRC,60.66237084,-115.3247417,-115.0694225,92,17,22.5135358,1.27E-05
agamidae,OUS,50.30450794,-90.60901587,-89.96385458,NAS 52.7065302296863,17,47.61910372,4.48E-11
agamidae,OUMA,56.78876638,-101.5775328,-100.6644893,NAMA 52.082855004693,17,36.918469,9.44E-09
agamidae,OUMV,55.63635631,-99.27271263,-98.35966915,NAMV 51.8340989032845,17,39.22328915,2.98E-09
agamidae,OUMVA,58.05765921,-102.1153184,-100.8845492,NAMVA 52.0828559945482,17,36.6984091,1.05E-08
agamidae,DensDep,45.5431964,-87.0863928,-86.9613928,NA,17,50.6215655,9.99E-12
agamidae,fit_env,50.47250551,-94.94501102,-94.69237944,NA,17,42.89057886,4.77E-10
agamidae,EB,69.8059826,-131.6119652,-131.1864333,NA17,18,3.6328092,0.079579231
agamidae,delta,68.24599167,-128.4919833,-128.0664514,NA17,18,6.7527911,0.016722618
agamidae,TS,53.49564371,-100.9912874,-100.7359683,317,18,34.0832742,1.94E-08
agamidae,TRC,71.62467501,-135.24935,-134.8192425,86,18,0,0.489389034
agamidae,SRC,59.56908184,-113.1381637,-112.8828445,1111,18,21.936398,8.44E-06
agamidae,OUS,52.44871776,-94.89743552,-94.25227423,NAS 38.6897093393274,18,40.56696827,7.60E-10
agamidae,OUMA,54.03592951,-96.07185903,-95.15881555,NAMA 39.7354506418065,18,39.66042695,1.20E-09
agamidae,OUMV,56.26514202,-100.530284,-99.61724056,NAMV 52.373864202427,18,35.20200194,1.11E-08
agamidae,OUMVA,74.85843999,-135.71688,-134.4861108,NAMVA 35.7627402774208,18,0.3331317,0.41430064
agamidae,DensDep,48.4881601,-92.97632021,-92.85132021,NA,18,41.96792229,3.77E-10
agamidae,fit_env,52.28815804,-98.57631607,-98.32368449,NA,18,36.49555801,5.82E-09
agamidae,EB,68.31357297,-128.6271459,-128.201614,NA18,19,7.1677597,0.025803248
agamidae,delta,66.20230957,-124.4046191,-123.9790872,NA18,19,11.3902865,0.003124383
agamidae,TS,54.93609199,-103.872184,-103.6168648,318,19,31.7525089,1.18E-07
agamidae,TRC,71.89974063,-135.7994813,-135.3693737,75,19,0,0.929252243
agamidae,SRC,62.49822762,-118.9964552,-118.7411361,1112,19,16.6282376,0.000227697
agamidae,OUS,54.12553654,-98.25107308,-97.60591179,NAS 39.4097355532359,19,37.76346191,5.86E-09
agamidae,OUMA,57.65875114,-103.3175023,-102.4044588,NAMA 39.2978944101064,19,32.9649149,6.45E-08
agamidae,OUMV,66.1409831,-120.2819662,-119.3689227,NAMV 36.8123270950047,19,16.000451,0.000311659
agamidae,OUMVA,72.1860821,-130.3721642,-129.141395,NAMVA 35.8124464068255,19,6.2279787,0.041280526
agamidae,DensDep,51.51883424,-99.03766848,-98.91266848,NA,19,36.45670522,1.13E-08
agamidae,fit_env,53.91446981,-101.8289396,-101.576308,NA,19,33.79306566,4.27E-08
agamidae,EB,67.6543363,-127.3086726,-126.8831407,NA19,20,7.7570936,0.015874385
agamidae,delta,65.2066426,-122.4132852,-121.9877533,NA19,20,12.652481,0.001373021
agamidae,TS,48.66609331,-91.33218661,-91.07686746,319,20,43.56336684,2.66E-10
agamidae,TRC,71.53517089,-135.0703418,-134.6402343,87,20,0,0.767588363
agamidae,SRC,56.22009064,-106.4401813,-106.1848621,1113,20,28.4553722,5.08E-07
agamidae,OUS,50.30579989,-90.61159979,-89.9664385,NAS 39.4854598485212,20,44.6737958,1.53E-10
agamidae,OUMA,72.24813991,-132.4962798,-131.5832363,NAMA 37.0111689298519,20,3.056998,0.166459927
agamidae,OUMV,51.41462773,-90.82925547,-89.91621199,NAMV 52.0391477397623,20,44.72402231,1.49E-10
agamidae,OUMVA,72.17800512,-130.3560102,-129.125241,NAMVA 37.0111689202715,20,5.5149933,0.048703795
agamidae,DensDep,41.37292084,-78.74584169,-78.62084169,NA,20,56.01939261,5.26E-13
agamidae,fit_env,47.91077699,-89.82155398,-89.5689224,NA,20,45.0713119,1.25E-10
agamidae,EB,68.23687605,-128.4737521,-128.0482202,NA20,21,8.3693239,0.011295933
agamidae,delta,65.30787944,-122.6157589,-122.190227,NA20,21,14.2273171,0.000603775
agamidae,TS,52.65391194,-99.30782388,-99.05250473,320,21,37.36503937,5.71E-09
agamidae,TRC,72.42382581,-136.8476516,-136.4175441,88,21,0,0.741818555
agamidae,SRC,62.90487041,-119.8097408,-119.5544217,93,21,16.8631224,0.000161628
agamidae,OUS,52.83371367,-95.66742734,-95.02226605,NAS 42.6740630953566,21,41.39527805,7.61E-10
agamidae,OUMA,73.28613535,-134.5722707,-133.6592272,NAMA 40.6175430379929,21,2.7583169,0.18678276
agamidae,OUMV,69.29393225,-126.5878645,-125.674821,NAMV 40.617543045291,21,10.7427231,0.003447823
agamidae,OUMVA,73.23842875,-132.4768575,-131.2460883,NAMVA 40.6175430406819,21,5.1714558,0.055889514
agamidae,DensDep,49.65761588,-95.31523176,-95.19023176,NA,21,41.22731234,8.28E-10
agamidae,fit_env,52.42528125,-98.8505625,-98.59793092,NA,21,37.81961318,4.55E-09
agamidae,EB,68.94728388,-129.8945678,-129.4690358,NA21,22,10.4473254,0.005151304
agamidae,delta,65.75086031,-123.5017206,-123.0761887,NA21,22,16.8401725,0.000210731
agamidae,TS,60.44137221,-114.8827444,-114.6274253,321,22,25.2889359,3.08E-06
agamidae,TRC,74.17323437,-140.3464687,-139.9163612,102,22,0,0.956147862
agamidae,SRC,69.84878709,-133.6975742,-133.442255,1114,22,6.4741062,0.037556988
agamidae,OUS,61.43226624,-112.8645325,-112.2193712,NAS 37.6497335226258,22,27.69699,9.25E-07
