,model,lnL,AIC,AICc,timing,tree.no,delta,w
94,src ,214.5762361,-423.1524721,-423.0220373,NA 102,6,0.0826988000000028,0.394076036691136
95,bms ,211.7098694,-413.4197388,-413.09187,35.91370315,6,10.0128661000001,0.00274961314490843
96,ous ,207.7176783,-405.4353566,-405.1074877,17.25302729,6,17.9972484,5.07557217894432e-05
97,ouma ,211.7852103,-411.5704206,-411.1088822,33.0980549,6,11.9958539,0.00102016698757367
98,oumv ,211.570763,-411.141526,-410.6799875,32.93395455,6,12.4247486,0.000823261801315542
99,oumva ,212.2887541,-410.5775083,-409.9587238,a 35.9973477803788,6,13.1460123000001,0.000574007467712063
100,DensDep,206.785633614973,-409.571267229945,-409.506751100913,NA,6,13.597984999087,0.000457902398019297
101,JN,205.590287683162,-405.180575366323,-405.050845636593,NA,6,18.053890463407,4.9338431673173e-05
102,NIG,196.814894918913,-387.629789837827,-387.500060108097,NA,6,35.604675991903,7.62220607701051e-09
103,BM,211.3340389,-416.6680777,-416.538348,NA6,7,16.272929956182,0.00018129481147809
104,EB,218.5945387,-429.1890774,-428.9716861,NA6,7,3.83959185618198,0.0908344182986477
105,OU,211.3340389,-414.6680777,-414.4506864,NA6,7,18.360591556182,6.3834493767856e-05
106,kappa,211.2870607,-414.5741214,-414.3567301,NA6,7,18.454547856182,6.09050167955508e-05
107,delta,215.7581694,-423.5163389,-423.2989476,NA6,7,9.51233035618196,0.00532636501683905
108,lambda,211.3340388,-414.6680776,-414.4506863,NA6,7,18.360591656182,6.38344905761307e-05
109,ts ,211.9494965,-417.8989929,-417.7685581,NA 116,7,15.042719856182,0.000335368373113317
110,trc ,219.0222919,-430.0445838,-429.8260046,NA 104,7,2.98527335618201,0.139239785151853
111,src ,217.7492347,-429.4984694,-429.3680347,NA 113,7,3.44324325618197,0.110743040800612
112,bms ,218.2146025,-426.4292051,-426.1013362,9.044627047,7,6.70994175618199,0.0216252869033337
113,ous ,212.6866811,-415.3733623,-415.0454934,9.040318364,7,17.765784556182,8.59441097981725e-05
114,ouma ,218.6487055,-425.297411,-424.8358726,9.251054833,7,7.97540535618197,0.0114860300645757
115,oumv ,214.3394509,-416.6789019,-416.2173634,28.70060012,7,16.593914556182,0.000154413211234157
116,oumva ,215.6523992,-417.3047983,-416.6860138,a 32.5228273960182,7,16.125264156182,0.000195186868349867
117,DensDep,210.130563365467,-416.261126730934,-416.196610601901,NA,7,16.614667354281,0.00015281924226673
118,JN,219.470503842956,-432.941007685911,-432.811277956182,NA,7,0,0.619451369274284
119,NIG,203.869323035,-401.73864607,-401.60891634027,NA,7,31.202361615912,1.03872475334242e-07
120,BM,210.4159042,-414.8318084,-414.7020786,NA7,8,16.2823671,0.000186421286872325
121,EB,218.1651072,-428.3302143,-428.112823,NA7,8,2.87162269999999,0.152265547059186
122,OU,210.4159042,-412.8318084,-412.6144171,NA7,8,18.3700286,6.56395457378596e-05
123,kappa,210.4758024,-412.9516047,-412.7342134,NA7,8,18.2502323,6.96913701355641e-05
124,delta,215.3655144,-422.7310288,-422.5136375,NA7,8,8.47080819999996,0.00926304906101643
125,lambda,210.4159041,-412.8318083,-412.614417,NA7,8,18.3700287,6.56395424558816e-05
126,ts ,207.3340947,-408.6681894,-408.5377546,NA 117,8,22.4466911,8.54928022923671e-06
127,trc ,219.6015125,-431.203025,-430.9844457,NA 112,8,0,0.6399802821304
128,src ,217.3842928,-428.7685855,-428.6381508,NA 114,8,2.34629489999998,0.198004531482493
129,bms ,211.4533749,-412.9067498,-412.5788809,7.723973388,8,18.4055648,6.44835560083119e-05
130,ous ,208.217665,-406.43533,-406.1074611,-1.747361332,8,24.8769846,2.53628483191004e-06
131,ouma ,208.6847872,-405.3695744,-404.9080359,-0.10896615,8,26.0764098,1.39234273000423e-06
132,oumv ,210.5071368,-409.0142737,-408.5527352,33.29864636,8,22.4317105,8.61355732980093e-06
133,oumva ,210.526018,-407.052036,-406.4332514,a 33.1622475317801,8,24.5511943,2.98498731033063e-06
134,DensDep,206.166050985822,-408.332101971645,-408.267585842613,NA,8,22.716859857387,7.46901191770709e-06
135,JN,206.278625069538,-406.557250139075,-406.427520409345,NA,8,24.556925290655,2.9764460864032e-06
136,NIG,203.543116253306,-401.086232506611,-400.956502776881,NA,8,30.027942923119,1.93055258831308e-07
137,BM,213.9195711,-421.8391422,-421.7094125,NA8,9,8.35923560000003,0.00405202925813439
138,EB,219.1430197,-430.2860394,-430.0686481,NA8,9,0,0.264763137894442
139,OU,213.9195711,-419.8391422,-419.6217509,NA8,9,10.4468972,0.00142673270303055
140,kappa,214.272513,-420.5450259,-420.3276346,NA8,9,9.74101350000001,0.00203059500704573
141,delta,218.6410304,-429.2820607,-429.0646694,NA8,9,1.0039787,0.160267814576362
