,model,lnL,AIC,AICc,timing,tree.no,delta,w
1444,SRC,70.60804646,-135.2160929,-134.9607738,912,90,10.1896276,0.004279811
1445,BMS,73.6316836,-137.2633672,-136.6182059,NAS 33.159989930649,90,8.5321955,0.009802377
1446,OUS,70.88009785,-131.7601957,-131.1150344,NAS 34.1074330415936,90,14.035367,0.000625652
1447,OUMA,79.03172246,-146.0634449,-145.1504014,NAMA 34.0102373090788,90,0,0.698351573
1448,OUMV,66.91447003,-121.8289401,-120.9158966,NAMV 49.9925204299077,90,24.2345048,3.82E-06
1449,OUMVA,79.01942933,-144.0388587,-142.8080894,NAMVA 34.01023743514,90,2.342312,0.216494829
1450,DensDep,64.94346556,-125.8869311,-125.7619311,NA,90,19.3884703,4.30E-05
1451,BM,59.67948867,-113.3589773,-113.1063458,NA90,91,29.0776269,2.40E-07
1452,EB,72.5048128,-137.0096256,-136.5840937,NA90,91,5.599879,0.030086442
1453,OU,70.81152998,-133.62306,-133.1975281,NA90,91,8.9864446,0.005533341
1454,kappa,71.6145184,-135.2290368,-134.8035049,NA90,91,7.3804678,0.012351534
1455,delta,71.27362124,-134.5472425,-134.1217106,NA90,91,8.0622621,0.008783571
1456,lambda,70.81152998,-133.62306,-133.197528,90,91,8.9864447,0.005533341
1457,TS,62.45784673,-118.9156935,-118.6603743,390,91,23.5235984,3.86E-06
1458,TRC,75.30704009,-142.6140802,-142.1839727,51,91,0,0.494730983
1459,SRC,67.61142361,-129.2228472,-128.9675281,6,91,13.2164446,0.000667505
1460,BMS,74.62522508,-139.2504502,-138.6052889,NAS 42.2783763932772,91,3.5786838,0.082654746
1461,OUS,64.35309636,-118.7061927,-118.0610314,NAS 42.9985739961927,91,24.1229413,2.86E-06
1462,OUMA,76.95743845,-141.9148769,-141.0018334,NAMA 42.2783616058807,91,1.1821393,0.273949695
1463,OUMV,67.57255191,-123.1451038,-122.2320603,NAMV 54.6928512382851,91,19.9519124,2.30E-05
1464,OUMVA,76.95378623,-139.9075725,-138.6768032,NAMVA 42.2786126545423,91,3.5071695,0.08566372
1465,DensDep,62.76126212,-121.5225242,-121.3975242,NA,91,20.7864485,1.52E-05
